Category,Question,Code Question,QuestionImage,Answer,Code Answer,AnswerImage,Color,WrongAnswer1,WrongAnswer2,WrongAnswer3
DSAG,What does best-case time complexity measure?,-,-,The minimum time an algorithm could take for the easiest possible input.,-,-,-,The fastest runtime the hardware can achieve.,The expected runtime averaged over all inputs.,The slowest runtime for any input.
DSAG,What does average-case time complexity measure?,-,-,"The expected running time over all possible inputs, assuming a probability distribution.",-,-,-,The worst-case runtime divided by 2.,The runtime for the input the programmer thinks is typical.,The runtime of the algorithm when constants are ignored.
DSAG,Why is worst-case analysis often preferred?,-,-,It guarantees performance bounds regardless of input.,-,-,-,Worst-case always equals average-case complexity.,Worst-case only applies to recursive algorithms.,Worst-case complexity automatically gives best-case complexity too.
DSAG,What is the average-case complexity of linear search?,-,-,"O(n), because on average half the elements are checked.",-,-,-,"O(1), because the element could be at index 0.","O(log n), because probability reduces the search space.","O(n²), because all pairs of elements might need checking."
DSAG,What is the worst-case complexity of binary search?,-,-,O(log n).,-,-,-,O(n).,O(1).,O(n log n).
DSAG,What is the average-case complexity of binary search?,-,-,O(log n).,-,-,-,"O(n), because half the array is checked.","O(1), because the pivot is in the middle.","O(n²), because recursive calls happen repeatedly."
DSAG,What does amortized complexity measure?,-,-,The average cost per operation over a sequence of operations.,-,-,-,The runtime averaged over many random inputs.,The worst-case runtime of a single operation.,The best-case runtime assuming perfectly ordered input.
DSAG,When is amortized analysis useful?,-,-,When most operations are cheap but some are occasionally expensive.,-,-,-,When every operation always takes the same amount of time.,When you want to guarantee the worst-case runtime of every operation.,When analyzing only recursive algorithms.
DSAG,Give an example of an algorithm with amortized O(1) operations.,-,-,Dynamic array push_back (like std::vector or List<T>).,-,-,-,Heap insertion in a binary heap.,Binary search on a sorted array.,Merge sort on an array.
DSAG,How does amortized O(1) work for dynamic array insertion?,-,-,Most inserts take O(1); resizing takes O(n) but happens rarely enough that the average cost per insert stays constant.,-,-,-,Every insert is O(1) because resizing never happens.,"Resizing is O(log n), so inserts are logarithmic.",The insert cost decreases as the array gets bigger.
DSAG,What are the three common methods of amortized analysis?,-,-,"Aggregate method, accounting method, and potential method.",-,-,-,"Recursive method, iterative method, and probabilistic method.","Lower bound, tight bound, and upper bound methods.","Divide-and-conquer, greedy, and dynamic programming methods."
DSAG,What’s the amortized complexity of inserting n elements into a dynamic array that doubles when full?,-,-,"O(n) total time, which is O(1) amortized per insertion.",-,-,-,"O(n²) total time, which is O(n) amortized per insertion.","O(log n) total time, which is O(1/log n) amortized per insertion.","O(n log n) total time, which is O(log n) amortized per insertion."
DSAG,What is the difference between average-case and amortized complexity?,-,-,Average-case is expected time over all inputs; amortized is average time over a sequence of operations on one input.,-,-,-,They are identical for all algorithms.,Amortized complexity is always worse than average-case complexity.,Average-case complexity ignores input distribution completely.
DSAG,Why is amortized analysis important for data structures?,-,-,It ensures performance stability for operations even when some individual operations are occasionally expensive.,-,-,-,It guarantees the best-case time for all operations.,It eliminates worst-case scenarios entirely.,It only applies to algorithms that use recursion.
DSAG,Give another example of amortized O(1) behavior besides dynamic arrays.,-,-,Stack push and pop operations in an array-based stack.,-,-,-,Breadth-first search on a graph.,Matrix multiplication using the standard algorithm.,Merge sort’s merging phase.
DSAG,What is the amortized complexity of enqueue and dequeue in a two-stack queue implementation?,-,-,O(1) amortized for both enqueue and dequeue.,-,-,-,O(n²) amortized for both operations.,O(log n) amortized for both operations.,O(n log n) amortized for both operations.
DSAG,Which type of complexity is best for guaranteeing real-time performance?,-,-,Worst-case complexity.,-,-,-,Best-case complexity.,Amortized complexity.,Average-case complexity only.
DSAG,Which type of complexity is most realistic for expected behavior in general-purpose apps?,-,-,Average-case complexity.,-,-,-,Worst-case complexity.,Best-case complexity.,"Amortized complexity, regardless of workload."
DSAG,"Which type of complexity gives a balanced, long-term cost view for repeated operations?",-,-,Amortized complexity.,-,-,-,Best-case complexity.,Space complexity only.,Worst-case complexity because it’s pessimistic.
DSAG,What does the aggregate method mean in amortized analysis?,-,-,Total cost of n operations divided by n gives the amortized cost per operation.,-,-,-,The sum of the worst-case costs only.,The maximum cost of any single operation in the sequence.,Counting only the cheapest operations in the sequence.
DSAG,What’s the amortized cost of doubling array capacity each time it’s full?,-,-,O(1) amortized per insertion.,-,-,-,O(n²) per insertion.,O(log n) per insertion.,O(n) amortized per insertion.
DSAG,What is the main takeaway from amortized analysis?,-,-,Occasional expensive operations don’t break overall efficiency if they are sufficiently rare.,-,-,-,Worst-case time becomes irrelevant in all analyses.,All operations must be constant-time in the worst case.,The algorithm must be recursive to use amortized analysis.
DSAG,What is the defining characteristic of an array’s memory layout?,-,-,Elements are stored in a contiguous block of memory.,-,-,-,Elements are allocated in random positions but indexed with a hash.,Elements are always stored on the stack only.,Each element stores a pointer to the next element.
DSAG,What is the difference between static and dynamic arrays?,-,-,Static arrays have fixed size; dynamic arrays grow via heap allocation.,-,-,-,Static arrays store values on disk.,Dynamic arrays cannot store primitive types.,Static arrays are slower due to fixed size.
DSAG,"Why can C++ raw arrays not resize, but vector can?",-,-,vector reallocates when capacity is exceeded.,-,-,-,vector stores elements in non-contiguous memory.,Raw arrays secretly double size at runtime.,Compiler resizes raw arrays automatically.
DSAG,What happens during dynamic array resizing?,-,-,New larger memory block allocated; copy elements; free old block.,-,-,-,Old block grows without moving memory.,Only metadata updates; data stays same.,Elements reallocate individually.
DSAG,Why is dynamic array insertion amortized O(1)?,-,-,Most inserts are O(1); resizes are rare.,-,-,-,Resizing never exceeds O(1).,Dynamic arrays preallocate infinite capacity.,Inserts get faster as size grows.
DSAG,What happens indexing out of bounds in C++ vs C#?,-,-,C++: UB; C#: throws IndexOutOfRangeException.,-,-,-,Both always crash.,C++ wraps indices.,C# returns default value.
DSAG,Why do arrays generally have better CPU cache locality than linked lists?,-,-,Sequential memory improves caching.,-,-,-,Linked lists disable caching.,Arrays stored in CPU registers.,Linked lists share same cache line.
DSAG,Why does C# enforce array bounds checking at runtime?,-,-,Managed runtime prioritizes safety.,-,-,-,C# stores arrays in kernel memory.,C++ checks bounds only in debug.,C# arrays immutable.
DSAG,How does the .NET CLR internally store the length of a C# array?,-,-,In object header before first element.,-,-,-,Inside each element.,In global runtime table.,At array tail.
DSAG,"What is a string in low-level terms, independent of any specific programming language?",-,-,"A sequence of characters stored contiguously, often ending with '\0'.",-,-,-,A linked list of characters stored randomly.,A hash table mapping indices to characters.,A structure storing each character as a separate heap object.
DSAG,Why are strings immutable in C#?,-,-,"To ensure safety, allow interning, and prevent side effects.",-,-,-,Because immutable types use less memory.,Because CLR cannot modify heap objects.,Because strings are stored in ROM.
DSAG,How does string concatenation behave in C#?,-,-,Creates a new string each time.,-,-,-,Modifies original string.,Updates only last character.,Uses one global buffer.
DSAG,Why is StringBuilder recommended over string concatenation in C#?,-,-,Uses a mutable internal buffer.,-,-,-,Stores chars on stack.,Compresses repeated chars.,Uses GPU for speed.
DSAG,Why does calling string.Replace() in C# always create a new string instead of modifying the original one?,-,-,Strings immutable → new allocation.,-,-,-,Uses pointer arithmetic.,Sorts characters.,Mutates changed chars only.
DSAG,Why should the expression s += value be avoided inside a loop in C#?,-,-,Allocates new string each time → O(n^2).,-,-,-,Forces GC every iteration.,Reverses characters.,Locks thread.
DSAG,"Why is it possible to reverse a string in place in C++, but not in C#?",-,-,C++ mutable; C# requires char[].,-,-,-,C# doesn't allow arrays.,C++ stores chars in linked list.,C# strings in registers.
DSAG,What is the difference in performance cost between substring operations in C++ and C#?,-,-,C++ may copy; C# always allocates.,-,-,-,Both reuse memory always.,C# uses rope structure.,C++ uses GPU memory.
DSAG,What is string interning in the context of .NET and C#?,-,-,Dedup identical literals to share instance.,-,-,-,Compressing strings.,Uppercasing characters.,Storing reversed strings.
DSAG,Why is string interning beneficial in C#?,-,-,Saves memory and speeds equality.,-,-,-,Eliminates all allocations.,Makes all compares O(1).,Forces immutability.
DSAG,Why is std::string in C++ considered unsafe for multithreaded modifications?,-,-,Mutable → data races.,-,-,-,Stored in thread-local storage.,Resizes across threads.,Copies to every thread.
DSAG,What does StringBuilder do internally in C#?,-,-,Growable buffer with minimal reallocations.,-,-,-,Linked list of chars.,Rewrites buffer each append.,Stores in 2D matrix.
DSAG,"Why is it impossible to modify a C# string in place, such as reversing it directly?",-,-,Immutable → cannot modify chars.,-,-,-,C# forbids arrays.,Stored in GPU VRAM.,Char sizes vary.
DSAG,What steps must be taken if you want to modify individual characters of a string in C#?,-,-,"Convert to char[], modify, recreate.",-,-,-,Unlock using fixed.,Flush CLR cache.,Enable unsafe globally.
DSAG,Why is using a raw char* pointer in C or C++ considered dangerous,-,-,"Risk of overruns, UB, leaks.",-,-,-,Cannot point to heap.,Frees memory automatically.,Deletes object on assignment.
DSAG,Why is UTF-16 relevant to how C# stores its strings internally?,-,-,Strings store UTF-16 code units.,-,-,-,Each char stores Unicode index.,Strings use UTF-8.,Each char 32-bit.
DSAG,Why can substring operations in C++ be unexpectedly costly depending on implementation details?,-,-,May trigger reallocation based on SSO.,-,-,-,Starts hashing 10x more.,Writes to CPU registers.,Reorders bytes randomly.
DSAG,What does in-place array reversal mean in algorithm design?,-,-,Reversing the elements inside the same array without using extra memory. The original array is modified directly.,-,-,-,Creating a new reversed array and discarding the old one.,Reversing only half of the array in memory.,Writing the reversed array to disk instead of RAM.
DSAG,"In array reversal, why is the two-pointer technique commonly used?",-,-,Because it swaps elements from both ends and converges toward the center in O(n) time.,-,-,-,Because it reduces memory access to O(log n).,Because it sorts the array automatically.,Because it avoids using loops entirely.
DSAG,What are the time and space complexities of in-place array reversal?,-,-,Time complexity is O(n) and space complexity is O(1).,-,-,-,"Time O(n²), space O(n).","Time O(1), space O(n).","Time O(log n), space O(log n)."
DSAG,Why does array reversal require swapping until the two pointers meet or cross?,-,-,Because swapping beyond the midpoint would undo the reversal.,-,-,-,Because arrays become unstable after midpoint.,Because CPU caches cannot handle second half swaps.,Because memory becomes non-contiguous after midpoint.
DSAG,"In C++, how is array reversal implemented using pointer arithmetic?",-,-,By swapping *left and *right while incrementing left and decrementing right.,-,-,-,By reallocating the array in reverse order.,By using delete on the original array.,By shifting elements instead of swapping.
DSAG,"In C#, how is in-place array reversal typically implemented?",-,-,By using two indices and swapping elements with a temporary variable.,-,-,-,By reassigning the array reference.,By using garbage collection.,By creating a linked list internally.
DSAG,Why is array reversal a good introduction to two-pointer techniques?,-,-,Because it demonstrates symmetric pointer movement and value swapping.,-,-,-,Because it requires recursion.,Because it uses dynamic programming.,Because it is a sorting algorithm.
DSAG,What error occurs if you only move one pointer during array reversal?,-,-,The array will not be fully reversed.,-,-,-,The array will be reversed twice.,The program will crash immediately.,The compiler will optimize the other pointer movement.
DSAG,Why should array reversal usually be done in-place instead of using a new array?,-,-,To reduce extra memory usage from O(n) to O(1).,-,-,-,Because new arrays have slower lookup speed.,Because compilers forbid extra arrays.,Because new arrays break cache locality entirely.
DSAG,"In the problem ""Reverse String"", what algorithmic pattern is being tested?",-,-,The two-pointer pattern for in-place reversal.,-,-,-,Hash map traversal.,Sliding window technique.,Dynamic programming.
DSAG,Why does reversing an array of length 0 or 1 do nothing?,-,-,Because there are no two distinct indices to swap.,-,-,-,Because such arrays are immutable.,Because single-element arrays cannot be accessed.,Because the compiler skips the function automatically.
DSAG,What happens if array reversal swaps elements beyond the midpoint?,-,-,The array returns to its original order or becomes incorrectly modified.,-,-,-,The array becomes partially sorted.,The array doubles in size.,The array deletion is triggered.
DSAG,Why is recursion usually avoided for array reversal in interviews?,-,-,Because it adds unnecessary stack space compared to an iterative solution.,-,-,-,Because recursion is slower in C++.,Because recursion cannot reverse arrays.,Because recursion changes array values.
DSAG,Why is in-place array reversal considered a basic building block in algorithms?,-,-,"Because it is used in array rotation, word reversal, and many other transformations.",-,-,-,Because it replaces most sorting algorithms.,Because it eliminates the need for loops.,Because it compresses memory.
DSAG,What does array rotation to the right by k positions mean?,-,-,Each element moves k positions to the right and wraps around from the end to the front.,-,-,-,Shifting elements right and discarding the last k values.,Reversing the entire array k times.,Sorting the array in reverse order.
DSAG,Why do array rotation algorithms compute k modulo n?,-,-,Because rotating by n or multiples of n leaves the array unchanged.,-,-,-,To reduce memory usage.,To improve CPU cache efficiency.,To convert the array into a circular buffer.
DSAG,What are the time and space complexities of in-place array rotation using the reversal algorithm?,-,-,Time complexity is O(n) and space complexity is O(1).,-,-,-,Time complexity is O(n²) and space complexity is O(1).,Time complexity is O(log n) and space complexity is O(n).,Time complexity is O(n) and space complexity is O(n).
DSAG,How does the reversal algorithm perform array rotation?,-,-,"It reverses the whole array, then reverses two segments to achieve the final rotated order.",-,-,-,It reverses only the first k elements.,It swaps adjacent elements repeatedly.,It uses recursion to rebuild the array.
DSAG,Why is repeated single-step shifting inefficient for array rotation?,-,-,Because it results in O(n × k) time complexity.,-,-,-,Because it causes memory fragmentation.,Because it increases stack memory usage.,Because compilers cannot optimize it.
DSAG,"In the problem ""Rotate Array"", what algorithmic concept is being tested?",-,-,In-place array rotation using index manipulation and the reversal algorithm.,-,-,-,Sliding window technique.,Hash map indexing.,Dynamic programming.
DSAG,Why is array rotation considered a circular shift operation?,-,-,Because elements that move past the end reappear at the beginning.,-,-,-,Because arrays are physically stored in circular memory.,Because modulo operations are optional.,Because rotation always ends at index zero.
DSAG,"In C++, how can array rotation be implemented without allocating extra memory?",-,-,By using pointer arithmetic and the reversal method.,-,-,-,By reallocating the array dynamically.,By copying the data into a linked list.,By repeatedly using new and delete.
DSAG,"In C#, how is safe array rotation typically implemented?",-,-,By using index-based element swapping with runtime bounds checking.,-,-,-,By using unsafe pointers directly.,By modifying the garbage collector.,By treating arrays as stack objects.
DSAG,Why must the modulo operator be used in correct array rotation implementations?,-,-,To correctly handle cases where k is larger than the array length.,-,-,-,To speed up pointer arithmetic.,To reduce CPU instructions.,To enable multithreading.
DSAG,How does array rotation preserve the relative order of elements?,-,-,Because all elements shift uniformly by the same offset.,-,-,-,Because rotation automatically sorts elements locally.,Because CPU caching fixes ordering.,Because pointers automatically realign.
DSAG,Why is array rotation important in systems like circular buffers?,-,-,Because it simulates cyclic behavior without physically moving memory.,-,-,-,Because it reduces memory size.,Because it resets all memory addresses.,Because it avoids memory allocation.
DSAG,What happens when rotating an array of length zero or one?,-,-,The array remains unchanged.,-,-,-,The array becomes null.,The array doubles in size.,The array gets reversed automatically.
DSAG,What is a common beginner mistake when implementing array rotation algorithms?,-,-,Forgetting to apply k modulo n before rotating.,-,-,-,Declaring arrays as const.,Using temporary variables.,Using while loops instead of for loops.
DSAG,Why should array rotation algorithms avoid allocating new arrays?,-,-,To keep space complexity at O(1) and reduce memory overhead.,-,-,-,Because new arrays reduce arithmetic speed.,Because new arrays cannot store rotated data.,Because memory allocation breaks pointer arithmetic.
DSAG,What is the two-pointer technique in array processing algorithms?,-,-,Using two indices that move through the array to solve a problem in one pass.,-,-,-,Using recursion to process arrays.,Using two separate arrays to store results.,Scanning the array multiple times with nested loops.
DSAG,Why is the two-pointer technique especially effective when working with sorted arrays?,-,-,Because sorted order lets pointers skip unnecessary comparisons and move only forward.,-,-,-,Because sorted arrays use less memory.,Because sorted arrays eliminate the need for loops.,Because sorting automatically removes duplicates.
DSAG,"In a two-pointer algorithm, what is the conceptual role of the fast pointer?",-,-,To scan ahead and search for values that satisfy a condition.,-,-,-,To always move at twice the speed.,To track memory allocation.,To mark elements for deletion and free memory blocks.
DSAG,"In a two-pointer algorithm, what is the conceptual role of the slow pointer?",-,-,To track where valid elements should be placed or compacted.,-,-,-,To skip invalid memory regions.,To count how many iterations have occurred.,To permanently remove elements from the array.
DSAG,Why does using two pointers often reduce time complexity compared to nested loops?,-,-,"Because each pointer scans the array only once, resulting in linear time.",-,-,-,Because pointers run in parallel threads.,Because it removes all loop overhead.,Because it shifts complexity to the compiler.
DSAG,How does the two-pointer technique allow efficient in-place modification of arrays?,-,-,By reusing the same array memory without allocating extra space.,-,-,-,By storing intermediate results in cache.,By creating temporary arrays internally.,By flushing old values from RAM.
DSAG,Why does the slow pointer in compaction problems represent the boundary of valid elements?,-,-,Because all elements before the slow pointer have already been validated.,-,-,-,Because it always points to the last element.,Because it counts the total number of duplicates.,Because it controls memory deallocation.
