Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
传来,chuánlái,"verb: (of sound, smell, etc.) to come through / to be heard from afar",厨房传来饭菜的香味和笑声。,Delicious smells and laughter came from the kitchen.,Literary,Descriptive/narrative verb: “a sound/smell/news comes from somewhere.” Often used in storytelling: 远处传来声音.,Band3,1.2,18
从来,cónglái,adverb: always (in the past) / never (when used with negative),我从来没有看过这么奇怪的东西。,I’ve never seen something this strange before.,Everyday,,Band3,1.2,19
从前,cóngqián,noun/adverb: once upon a time / in the past,从前有一个聪明的国王。,"Once upon a time, there was a wise king.",Literary,Story/narrative time word: “in the past / once upon a time.” More story-like than 以前.,Band3,1.2,20
合作,hézuò,"verb: to cooperate / to collaborate
noun: cooperation",两个团队正在合作开发新产品，这次合作对双方都很重要。,The two teams are working together to develop a new product — this cooperation is important for both sides.,Everyday / Neutral Formal,"Natural in normal chat, but slightly organized: projects, games, teamwork, business. I would mark Everyday if your rule is “can say naturally in chat.”",Band3,1.2,21
连忙,liánmáng,adverb: hurriedly / promptly,听到有人喊他，他连忙跑过去。,"When he heard someone call him, he hurried over.",Literary,Narrative action word: “hurriedly / promptly.” Common in stories: 他连忙跑过去.,Band3,1.2,22
同意,tóngyì,verb: to agree / to approve,大家一致同意这个方案。,Everyone agreed on the plan.,Everyday,,Band3,1.2,23
愿望,yuànwàng,noun: wish / desire,她的生日愿望是考上理想的大学。,Her birthday wish is to get into her dream university.,Literary,Emotional/reflective noun: “wish/desire.” More narrative or heartfelt than 想法 / 目标.,Band3,1.2,24
总是,zǒngshì,adverb: always,他总是忘记带钥匙。,He always forgets to bring his keys.,Everyday,,Band3,1.2,25
伙伴,huǒbàn,noun: partner; companion; teammate,他是我最信任的伙伴。,He is the partner I trust the most.,Literary,Warm/narrative word for “partner/companion.” More story-like or relationship-flavored than 朋友 / 同伴.,Band4,1.2,26
集合,jíhé,verb: to gather; to assemble / noun: collection; set,老师让大家马上集合。,The teacher told everyone to gather immediately.,Everyday,,Band4,1.2,27
重要,zhòngyào,important,家人对我来说最重要,Family is the most important to me.,Everyday,,Band1,1.3,28
使用,shǐyòng,Use.,请使用手机扫描二维码。,Please use your phone to scan the QR code.,Neutral Formal,"Polished version of 用. Natural in instructions, signs, apps, work, school, but slightly more formal than casual speech.",Band2,1.3,36
必须,bǐxú,Must,你必须每天练习中文。,You must practice Chinese every day.,Everyday,,Band2,1.3,29
不过,búguò,"Conjunction: however, but: Used to connect two clauses and introduce a soft twist, a minor exception, or a gentle catch to your main statement.
Adverb: only, just, merely: Placed directly before an amount, number, or status to intentionally downplay it and make it sound small, cheap, or unimportant.",这里的菜很好吃，不过价格不过五块钱。,"The food here is delicious, but the price is only five dollars.",Discursive,"Contrast connector: “but / however.” Softer and more conversational than 然而, but still mainly used to connect ideas.",Band2,1.3,30
当时,dāngshí,at that time,我当时不知道该怎么办,"At that time, I didn’t know what to do.",Everyday,,Band2,1.3,31
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。","What you said makes a lot of sense.
He never listens to reason.",Everyday,,Band2,1.3,32
面前,miànqián,in front of,他站在老师面前不敢说话,He stood in front of the teacher and didn’t dare to speak.,Everyday,,Band2,1.3,33
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,My little brother is in Grade 3 and just started learning to write essays.,Everyday,,Band2,1.3,34
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,"I have many hobbies, one of which is drawing.",Discursive,Used to structure information: “among them / of which.” More explanatory than casual baseline.,Band2,1.3,35
讨论,tǎolùn,discuss,我们一起讨论一下这个问题。,Let’s discuss this problem together.,Everyday,,Band2,1.3,37
味道,wèidào,noun: taste / smell / flavor,这道菜味道很特别，有点辣但很好吃。,This dish has a unique flavor—it’s a bit spicy but delicious.,Everyday,,Band2,1.3,38
习惯,xíguàn,Habit,我已经习惯早起了。,I’m already used to getting up early.,Everyday,,Band2,1.3,39
到达,dàodá,verb: to arrive / to reach,火车准时到达了北京站。,The train arrived at Beijing Station on time.,Neutral Formal,"Polished version of 到. Common in travel, transport, and written sentences.",Band3,1.3,43
比较,bǐjiào,relatively / to compare (adverb and verb),今天比较冷。请比较这两张照片。,It’s relatively cold today. Please compare these two photos.,Everyday,,Band3,1.3,40
曾经,céngjīng,adverb: once / previously,我曾经来过这里，还拍了很多照片。,I’ve been here before and even took many photos.,Literary,"More reflective/narrative version of “once / previously.” In daily speech, 以前 is usually more plain.",Band3,1.3,41
错误,cuòwù,"noun: mistake / error
adjective: incorrect / mistaken",他的做法是错误的，这个错误可能带来严重后果。,"His approach is incorrect, and this mistake could lead to serious consequences.",Neutral Formal,"Polished noun for “mistake/error.” In casual chat, people often say 错 / 搞错 / 问题.",Band3,1.3,42
到底,dàodǐ,"adverb: after all / exactly / in the end
used for emphasis in questions",你到底想说什么？我到底该相信谁？,What exactly are you trying to say? Who should I believe in the end?,Everyday,Common emphatic/question word: 到底怎么回事？ Natural in speech.,Band3,1.3,44
丰富,fēngfù,"adjective: rich / abundant
verb: to enrich",阅读可以丰富你的知识，也让你的生活更加丰富。,Reading can enrich your knowledge and make your life more abundant.,Neutral Formal,Complete adjective meaning “rich/abundant.” More polished than 很多 / 多.,Band3,1.3,45
工具,gōngjù,noun: tool / instrument,修车需要各种工具。,Fixing a car requires all kinds of tools.,Everyday,,Band3,1.3,46
观察,guānchá,verb: to observe,科学家正在仔细观察实验结果。,The scientists are carefully observing the experiment results.,Neutral Formal,"More precise than 看. Used for careful watching, study, analysis, children’s learning, science, etc.",Band3,1.3,47
果然,guǒrán,adverb: as expected / sure enough,他说今天会下雨，果然下午就下了。,"He said it would rain today, and sure enough, it rained in the afternoon.",Everyday,,Band3,1.3,48
好奇,hàoqí,adjective: curious,孩子对一切新鲜事物都充满好奇。,Children are full of curiosity about new things.,Everyday,,Band3,1.3,49
互相,hùxiāng,adverb: each other / mutually,朋友之间应该互相尊重。,Friends should respect each other.,Everyday,,Band3,1.3,50
建议,jiànyì,"verb: to suggest / to recommend
noun: suggestion",我建议你早点休息，这也是医生的建议。,I suggest you get some rest — it’s also what the doctor recommends.,Everyday,,Band3,1.3,51
结束,jiéshù,"Verb: to end / to finish
Noun: end / conclusion (contextual, not used as a standalone noun in casual speech)",会议已经结束，大家可以离开了。,"The meeting has ended, and everyone may leave now.",Everyday,,Band3,1.3,52
精彩,jīngcǎi,Adjective: brilliant / wonderful / splendid,这场表演真是太精彩了，观众全场鼓掌。,The performance was absolutely brilliant — the audience applauded nonstop.,Literary,Descriptive/evaluative word meaning “wonderful/exciting.” Adds expressive color.,Band3,1.3,53
精神,jīngshén,"Noun: spirit / energy / vitality
Adjective: lively / energetic",他今天精神很好，工作时也表现出了很强的团队精神。,He’s full of energy today and showed great team spirit at work.,Neutral Formal,"Abstract noun/adjective: spirit, mental state, energy. Common, but conceptually more abstract than baseline words.",Band3,1.3,54
纪念,jìniàn,"verb: to commemorate
noun: souvenir / remembrance",这枚纪念币是为了纪念祖父而制作的。,This commemorative coin was made to honor my grandfather.,Neutral Formal,"Specific word for commemorate/remembrance. Usable in normal speech, but more polished/specific than basic everyday words.",Band3,1.3,55
决定,juédìng,"verb: to decide
noun: decision",他决定辞职，这个决定让很多人吃惊,"He decided to resign, and that decision surprised many people.",Everyday,,Band3,1.3,56
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",虽然过程很困难，但我们还是克服了所有困难。,"Although the process was difficult, we overcame all the difficulties.",Neutral Formal,"Polished word for difficulty. In casual speech, 难 / 不容易 / 麻烦 may be more basic.",Band3,1.3,57
立刻,lìkè,adverb: immediately / at once,我立刻给他回了电话。,I called him back immediately.,Neutral Formal,"More polished than 马上. Still common, but slightly more written/serious.",Band3,1.3,58
美食,měishí,noun: delicious food / gourmet food,台湾是著名的美食天堂。,Taiwan is a famous paradise for food lovers.,Literary,Descriptive/appreciative word for good food/cuisine. More flavorful than plain 食物 / 吃的.,Band3,1.3,59
书架,shūjià,noun: bookshelf,书架上摆满了各种各样的书。,The bookshelf is filled with all kinds of books.,Everyday,,Band3,1.3,60
支持,zhīchí,"verb: to support
noun: support",大家都支持他的决定，他感受到了强烈的支持。,"Everyone supports his decision, and he felt strong support.",Everyday,,Band3,1.3,61
周围,zhōuwéi,noun: surroundings / nearby area,他家周围有很多超市和餐馆。,There are many supermarkets and restaurants around his house.,Neutral Formal,"More precise than 看. Used for careful watching, study, analysis, children’s learning, science, etc.",Band3,1.3,62
注意,zhùyì,verb: to pay attention to / to take care,开车时要注意安全。,Pay attention to safety while driving.,Everyday,,Band3,1.3,63
阅读,yuèdú,"This is more formal and refers to the act of reading and comprehending. You’ll see this word on exams or when talking about ""reading"" as a hobby or a cognitive process.",每天坚持阅读不仅能增长知识，也能提升表达能力。,Reading every day not only expands your knowledge but also improves your communication.,Neutral Formal,"Polished version of 看 / 看书. Common in school, exams, apps, and hobbies.",Band4,1.3,68
的确,díquè,adverb: indeed; really; truly,他说的话的确很有道理。,What he said really makes sense.,Everyday,,Band4,1.3,64
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,他竟然一个人完成了整个项目。,He actually completed the whole project by himself — amazing!,Everyday,,Band4,1.3,65
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,The poster for this movie is very eye-catching.,Everyday,,Band4,1.3,66
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,I ran into an old friend at the mall yesterday.,Everyday,,Band4,1.3,67
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,"It started raining, so we decided to eat indoors instead.",Literary,Descriptive/evaluative word meaning “wonderful/exciting.” Adds expressive color.,Band4,1.3,69
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,There are no secrets between us.,Neutral Formal,"Abstract noun/adjective: spirit, mental state, energy. Common, but conceptually more abstract than baseline words.",Band4,1.3,70
欣赏,xīnshǎng,verb: to appreciate; to admire; to enjoy,我很欣赏他的工作态度。,I really admire his work attitude.,Neutral Formal,"Specific word for commemorate/remembrance. Usable in normal speech, but more polished/specific than basic everyday words.",Band5,1.3,71
珍惜,zhēnxī,verb: to treasure / to cherish,我们要珍惜现在拥有的一切。,We should cherish everything we have now.,Everyday,,Band5,1.3,72
愉快,yúkuài,"adjective: happy; pleasant; delightful. . It describes a peaceful, pleasant, and smooth state of mind or a harmonious atmosphere.",我们度过了一个非常愉快的周末。,We spent a very pleasant weekend.,Neutral Formal,Polished pleasant/happy word. Common in greetings and set phrases like 周末愉快 / 合作愉快; less casual than 开心 / 高兴.,Band6,1.3,75
户外,hùwài,noun: outdoors / adjective: outdoor,很多人喜欢参加户外活动。,Many people like participating in outdoor activities.,Neutral Formal,,Band6,1.3,73
礼堂,lǐtáng,noun: auditorium; assembly hall,学校的礼堂可以容纳很多学生。,The school auditorium can hold many students.,Neutral Formal,,Band6,1.3,74
表示,biǎoshì,"To Express
Usage: Use this when you are ""showing"" or ""indicating"" something, often through a gesture, an official statement, or a specific action. It can also mean ""to represent.""",他表示了他的担忧,He expressed his concern,Literary,,Unknown,1.3,76
家人,jiārén,family,我很想念我的家人,I really miss my family.,Everyday,,Band1,1.4,77
介绍,jièshào,"verb: to introduce

noun: introduction",老师先做了自我介绍，然后介绍了今天的课程安排。,"The teacher first introduced herself, then introduced the day’s lesson plan.",Everyday,,Band1,1.4,78
不同,bùtóng,different (formal),我们有不同的看法,We have different opinions.,Everyday,,Band2,1.4,83
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,Everyday,,Band2,1.4,79
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,"I like many sports, for example, basketball and swimming.",Discursive,,Band2,1.4,80
不但,búdàn,not only,他不但聪明，而且非常勤奋,"He is not only intelligent, but also very hardworking",Discursive,,Band2,1.4,81
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,"Instead of hesitating, it’s better to just try once.",Discursive,,Band2,1.4,82
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,Let the past stay in the past.,Everyday,,Band2,1.4,84
结果,jiéguǒ,Result,比赛的结果很令人满意。,The result of the match was very satisfying.,Discursive,,Band2,1.4,85
旅游,lǚyóu,Travel,我打算去中国旅游。,I plan to travel to China,Everyday,,Band2,1.4,86
校长,xiàozhǎng,Principal,校长在大会上发了言。,The principal spoke at the assembly.,Everyday,,Band2,1.4,87
样子,yàngzi,appearance / manner / pattern / model,你看他的样子，好像生病了。,Look at him—he seems sick.,Everyday,,Band2,1.4,88
爱心,àixīn,compassion / caring heart,她是一位充满爱心的老师。,She is a very compassionate teacher.,Literary,,Band3,1.4,89
保持,bǎochí,to maintain / to keep ( maintaining a state or condition.),请保持安静。,Please keep quiet.,Neutral Formal,,Band3,1.4,90
才能,cáinéng,"noun: talent / ability
conjunction: only then can...",有绘画才能，努力之后才能成功。,"He has artistic talent, but only with effort can he succeed.",Discursive,,Band3,1.4,91
成长,chéngzhǎng,"verb: to grow up
noun: growth / development",孩子的成长需要时间和关爱。,A child’s growth requires time and love.,Literary,,Band3,1.4,92
充满,chōngmǎn,verb: to be full of / to be filled with (abstract or emotional),她的脸上充满了幸福的笑容。,Her face was full of a joyful smile.,Literary,,Band3,1.4,93
代表,dàibiǎo,"noun: representative
verb: to represent",他是学生会的代表，代表全体同学发言,He is the student council representative and speaks on behalf of all students.,Neutral Formal,,Band3,1.4,94
环境,huánjìng,noun: environment / surroundings,学习环境对效率有很大影响。,The learning environment greatly affects efficiency.,Everyday,,Band3,1.4,95
坚持,jiānchí,verb: to persist / to insist,只要你坚持下去，终会看到成果,"As long as you persist, you will eventually see results.",Neutral Formal,,Band3,1.4,96
批评,pīpíng,"verb: to criticize
noun: criticism",他批评了我的工作态度，这番批评让我反思了很多。,He criticized my attitude toward work — and that criticism made me reflect deeply,Neutral Formal,,Band3,1.4,97
其实,qíshí,adverb: actually / in fact,他看起来很冷静，其实心里很紧张。,"He looks calm, but in fact, he’s quite nervous.",Everyday,,Band3,1.4,98
舞台,wǔtái,noun: stage (literal and metaphorical),她走上舞台，开始了自己的舞台人生。,She stepped onto the stage and began her life in the spotlight.,Everyday,,Band3,1.4,99
主意,zhǔyi,noun: idea / plan / decision,这是个好主意，我们就这么做吧！,That’s a great idea — let’s go with it!,Everyday,,Band3,1.4,100
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,She always likes to share delicious food and her happy mood.,Everyday,,Band5,1.4,101
惭愧,cánkuì,adjective: ashamed / embarrassed (for one's mistake or unworthiness),面对老师的信任，他感到非常惭愧，因为自己没完成作业。,"Facing the teacher’s trust, he felt very ashamed for not completing the homework.",Literary,,Band7,1.4,102
地点,dìdiǎn,"location. This is used when referring to a specific spot where an event happens. It emphasizes the ""where"" of a plan or an occurrence.",会议将在市中心的一个新地点举行,The meeting will take place at a new location downtown.,Neutral Formal,,Band1,1.5,103
地图,dìtú,Map,我用地图找到了那家饭店,I used a map to find that restaurant,Everyday,,Band1,1.5,104
哪些,nǎxiē,which,你喜欢哪些电影？,Which movies do you like?,Everyday,,Band1,1.5,105
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,He is an experienced Chinese teacher.,Protocol,,Band2,1.5,114
打算,dǎsuàn,"verb: To plan or To intend
noun: A plan or Intention",我打算下个月去旅行。,I plan to travel next month.,Everyday,,Band2,1.5,106
答应,dāying,promise,你答应过我的！,You promised me!,Everyday,,Band2,1.5,107
方便,fāngbiàn,convenient,你什么时候方便见面？,When is it convenient for you to meet?,Everyday,,Band2,1.5,108
放心,fàngxīn,Don't worry,你放心，我会帮你的,"Don’t worry, I’ll help you.",Everyday,,Band2,1.5,109
感谢,gǎnxiè,"Verb: to thank / to express gratitude (an act of acknowledging a favor, help, or kind gesture)
Noun: gratitude / thanks",我非常感谢你对我的帮助。请接受我最真诚的感谢。,I am very grateful for your help. Please accept my most sincere gratitude.,Neutral Formal,,Band2,1.5,110
故意,gùyì,deliberately,他不是故意打破杯子的。,He didn’t break the cup on purpose.,Everyday,,Band2,1.5,111
交给,jiāogěi,"verb: to hand over / to give to. Use this when you are finishing a task or putting someone in charge of something. It implies a ""submission"" or ""assignment.""",请把作业交给老师。,Please hand your homework to the teacher.,Everyday,,Band2,1.5,112
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,It’s quiet in the classroom; everyone is studying.,Everyday,,Band2,1.5,113
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",The transportation in this city is very convenient. The traffic during rush hour is very congested,Everyday,,Band2,1.5,115
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,Neutral Formal,Broader institutional/abstract noun for education; more formal than 学习/教.,Band2,1.5,116
家长,jiāzhǎng,parent,学校邀请家长来开会。,The school invited the parents to a meeting.,Protocol,School/institutional role label for parents or guardians.,Band2,1.5,117
节目,jiémù,program,我最喜欢那个歌唱节目。,My favorite is that singing program.,Everyday,,Band2,1.5,118
经过,jīngguò,to pass by; after going through; process,我每天上学都会经过那家咖啡店。,I pass by that coffee shop every day on my way to school.,Everyday,,Band2,1.5,119
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,What’s your opinion on this issue?,Everyday,,Band2,1.5,120
满意,mǎnyì,Satisfied,客人对服务很满意。,The customer is very satisfied with the service.,Everyday,,Band2,1.5,121
观看,guānkàn,"verb: to watch (a performance, film, match, etc.) （formal）",我们一起观看了那部纪录片。,We watched that documentary together.,Official,"Formal/reportive version of 看; often used for performances, films, matches, or organized viewing.",Band3,1.5,125
打破,dǎpò,"verb: to break (physically or abstractly, like a record or silence)",他打破了沉默，也打破了世界纪录,He broke the silence — and the world record too.,Everyday,,Band3,1.5,122
方式,fāngshì,noun: method / way / style,我们可以用不同的方式解决这个问题。,We can solve this problem in different ways.,Neutral Formal,"More structured than 方法/怎么做; common in explanation, comparison, and written descriptions.",Band3,1.5,123
各种,gèzhǒng,noun/phrase: various kinds / all sorts of,商店里有各种各样的商品。,There are all sorts of goods in the store.,Everyday,,Band3,1.5,124
关系,guānxì,"noun: relationship / connection
verb (colloquial): to affect / to have to do with",他们的关系很好，这件事和他没有任何关系。,"They have a good relationship, and this matter has nothing to do with him.",Everyday,,Band3,1.5,126
观众,guānzhòng,noun: audience / spectators,观众们为表演者热烈鼓掌。,The audience gave the performers enthusiastic applause.,Everyday,,Band3,1.5,127
进步,jìnbù,"Noun: progress / improvement
Verb: to improve / to make progress",他的中文有了明显的进步。,His Chinese has clearly improved.,Everyday,,Band3,1.5,128
开放,kāifàng,"verb: to open up (access, markets, doors, etc.)
adjective: open-minded / liberal",这个国家正在逐步开放市场，社会也变得更开放了。,"This country is gradually opening its markets, and society is becoming more open-minded.",Neutral Formal,"More polished/abstract than 开; often used for policies, places, attitudes, systems, or public access.",Band3,1.5,129
美好,měihǎo,"adjective: beautiful / wonderful (used for abstract things like memories, future)",我们一起度过了美好的时光。,"We spent some wonderful moments together.

",Literary,Descriptive and positive; adds an idealized or emotional feeling beyond plain 好.,Band3,1.5,130
美术,měishù,"noun: fine arts (painting, sculpture, etc.)",她在大学学的是美术专业。,She studied fine arts in university.,Everyday,,Band3,1.5,131
面对,miànduì,verb: to face / to confront,我们要勇敢面对现实。,We must face reality with courage.,Neutral Formal,"More structured than 遇到/看到; often used for problems, reality, pressure, or situations.",Band3,1.5,132
内容,nèiróng,"noun: content (of speech, writing, work, etc.)",这本书的内容非常有深度。,The content of this book is very profound.,Everyday,,Band3,1.5,133
公众,gōngzhòng,noun: the public,新的政策将向公众公布，征求意见。,The new policy will be announced to the public for feedback.,Official,"Refers to “the public” in reports, notices, public communication, and institutional contexts.",Band6,1.5,134
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,I go online every night to look things up.,Everyday,,Band1,1.6,135
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,He has a wealth of knowledge in history.,Everyday,,Band1,1.6,136
生活,shēnghuó,Life,他在城市里过着很简单的生活。,He lives a simple life in the city.,Everyday,,Band2,1.6,137
实现,shíxiàn,– to achieve / to realize,他终于实现了自己的梦想。,He finally achieved his dream.,Neutral Formal,"Polished verb for “realize/achieve,” often used with goals, dreams, plans, or systems.",Band2,1.6,138
想法,xiǎngfǎ,idea; opinion;thought,你的想法很有意思。,Your idea is very interesting.,Everyday,"想法 (xiǎngfǎ) is a noun that means ""idea,"" ""opinion,"" or ""way of thinking,"" and it is commonly used to express what someone thinks about a situation or a plan (e.g., “这是一个好想法” — This is a good idea).",Band2,1.6,139
心情,xīnqíng,mood,他今天心情不好,He’s in a bad mood today.,Everyday,,Band2,1.6,140
游客,yóukè,tourist,这个城市每年吸引很多游客。,This city attracts many tourists every year.,Everyday,,Band2,1.6,141
真正,zhēnzhèng,real / true,真正的朋友会在你需要时帮助你。,A true friend helps you when you need it.,Neutral Formal,More emphatic/precise than 真; common in explanation and written-style statements.,Band2,1.6,142
年纪,niánjì,noun: age (of a person),她虽然年纪大了，但身体还很好。,"Although she’s old, she’s still in good health.",Everyday,,Band3,1.6,143
情况,qíngkuàng,noun: situation / condition / circumstances,我们必须先了解实际情况，再做决定。,We need to understand the actual situation before making a decision.,Everyday,,Band3,1.6,144
庆祝,qìngzhù,verb: to celebrate,我们打算举行聚会来庆祝他的生日。,We plan to hold a party to celebrate his birthday.,Everyday,,Band3,1.6,145
伤心,shāngxīn,adjective: sad / heartbroken,听到这个消息，她非常伤心。,She was heartbroken when she heard the news.,Everyday,,Band3,1.6,146
设计,shèjì,"verb: to design
noun: design / plan",她设计的这款家具在外观设计上非常新颖。,The furniture she designed is very innovative in design.,Neutral Formal,"Can be everyday, but more often used for planned creation, systems, products, art, or arrangements.",Band3,1.6,147
适合,shìhé,verb: to suit / to be suitable for,这份工作很适合你的性格。,This job suits your personality well.,Everyday,,Band3,1.6,148
幸福,xìngfú,"adjective: to be deeply happy / to be blessed / to be full of bliss
noun: deep happiness / well-being / bliss
verb: to make someone happy (less common, used in poetic contexts",他们过着幸福的生活，每天都感到很幸福。,They live a happy life and feel happiness every day.,Literary,Emotion/value-heavy word for happiness or blessedness; more reflective than 开心/高兴. Note that for all use cases its long-term. It describes a lasting condition or phase of life.,Band3,1.6,149
演员,yǎnyuán,noun: actor / actress,他是一位经验丰富的演员。,He is an experienced actor.,Everyday,,Band3,1.6,150
一切,yíqiè,noun/pronoun: everything / all,为了给女儿买到一切想玩的玩具，他愿意付出自己的一切。看到女儿开心的笑容，他觉得现在的一切都值得了。,"In order to buy his daughter every single toy she wants to play with, he is willing to give up his everything. Seeing his daughter’s happy smile, he feels that everything right now is worth it.",Literary,"Broad, sweeping word meaning “everything/all”; often used in emotional, reflective, or narrative sentences.",Band3,1.6,151
由于,yóuyú,conjunction: due to / because of,由于天气不好，活动被取消了。,The event was canceled due to bad weather.,Discursive,Formal cause connector; more written/structured than 因为.,Band3,1.6,152
整齐,zhěngqí,adjective: neat / orderly / well-organized,学生们穿着整齐地排成一排。,The students lined up neatly in uniform.,Everyday,,Band3,1.6,153
只好,zhǐhǎo,adverb: have no choice but to / be forced to,车错过了，我们只好步行回家。,"We missed the bus, so we had no choice but to walk home.",Everyday,,Band3,1.6,154
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,He greeted me warmly when he saw me on the street.,Everyday,,Band4,1.6,155
清理,qīnglǐ,verb: to clean up / to clear out,他正在清理房间，把不用的东西都扔掉了。,He’s cleaning the room and threw out everything unnecessary.,Everyday,,Band5,1.6,156
报名,bàomíng,sign up,你报名参加比赛了吗？,Did you sign up for the competition?,Everyday,,Band2,1.7,157
服务,fúwù,service,这家饭店的服务很好,我们的工作是为客户服务,Neutral Formal,"Common word, but often used in customer, public, institutional, or system contexts.",Band2,1.7,158
改变,gǎibiàn,change,你不想改变一下自己吗？,Don’t you want to change yourself a bit?,Everyday,,Band2,1.7,159
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,"Next, we will discuss the marketing strategy.",Discursive,"Structures sequence in speech, presentations, explanations, or instructions.",Band2,1.7,160
目的,mùdì,objective,我们这次旅行的目的是放松一下。,The purpose of this trip is to relax.,Neutral Formal,Abstract noun for purpose/aim; more precise than 想做什么/为了什么.,Band2,1.7,161
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,We’ll play basketball on the court this afternoon.,Everyday,,Band2,1.7,162
校园,xiàoyuán,campus,这个大学的校园很漂亮。,The campus of this university is beautiful.,Everyday,,Band2,1.7,163
新闻,xīnwén,"Noun: news (referring to newly received or noteworthy information, especially about recent or important events, broadcast through media outlets)",我每天早上看新闻。,I watch the news every morning.,Official,"Belongs to news/reporting/public information; normal word, but register domain is reportive.",Band2,1.7,164
