_Chinese,English,_EN1,_CN1,_EN2,_CN2,_EN3,_CN3,_EN1 Target,_EN2 Targe,_EN3 Target,Color
不然,otherwise; if not,"Hurry up, otherwise we will be late.",快点，不然我们会迟到。,You should write it down; otherwise you may forget.,你应该把它写下来，不然可能会忘。,"Wear a jacket, otherwise you will catch a cold.",穿件外套，不然你会感冒。,otherwise,otherwise,otherwise,5
不由得,cannot help but; involuntarily,I could not help but laugh after hearing his answer.,听到他的回答，我不由得笑了。,She could not help but feel nervous.,她不由得紧张起来。,"Seeing that old photo, he could not help but think of the past.",看到那张旧照片，他不由得想起了过去。,could not help but,could not help but,could not help but,5
不管,no matter; regardless of,"No matter what happens, I will support you.",不管发生什么事，我都会支持你。,"Regardless of the result, we should try our best.",不管结果如何，我们都应该尽力。,"No matter how busy he is, he exercises every day.",不管多忙，他每天都运动。,No matter,Regardless of,No matter,5
不过,but; however; only,"This method is simple, but it is not very accurate.",这个方法很简单，不过不太准确。,"I wanted to go out; however, it started raining.",我想出去，不过开始下雨了。,It only takes ten minutes to walk there.,走到那里不过需要十分钟。,but,however,only,5
与此同时,at the same time; meanwhile,"The city is developing quickly; at the same time, traffic is becoming worse.",城市发展得很快，与此同时，交通也变得更糟。,"He was preparing for the exam; meanwhile, he was also working part-time.",他在准备考试，与此同时，他也在打工。,"Technology brings convenience; at the same time, it creates new problems.",科技带来方便，与此同时，也产生了新的问题。,at the same time,meanwhile,at the same time,5
专程,make a special trip; specially,He made a special trip to see his grandmother.,他专程去看奶奶。,I came here specially to thank you.,我专程来这里感谢你。,She made a special trip to Singapore for the meeting.,她专程来新加坡参加会议。,made a special trip,specially,made a special trip,5
专门,specially; specifically; specialized,This room is specifically used for meetings.,这个房间是专门用来开会的。,I bought this book specially for you.,我专门给你买了这本书。,He works at a specialized research center.,他在一家专门的研究中心工作。,specifically,specially,specialized,5
严格来说,strictly speaking,"Strictly speaking, this answer is not completely correct.",严格来说，这个答案不完全正确。,"Strictly speaking, he is not a beginner anymore.",严格来说，他已经不是初学者了。,"Strictly speaking, this word is used in formal writing.",严格来说，这个词用于正式写作。,Strictly speaking,Strictly speaking,Strictly speaking,5
临时,temporary; at the last minute,We made a temporary decision to change the plan.,我们临时决定改变计划。,He found a temporary job during the holiday.,他假期找了一份临时工作。,The meeting was cancelled at the last minute.,会议临时取消了。,temporary,temporary,at the last minute,5
为了,for; in order to,He studies hard in order to pass the exam.,为了通过考试，他努力学习。,She saved money for the trip.,她为了旅行存钱。,"In order to protect the environment, we should use less plastic.",为了保护环境，我们应该少用塑料。,in order to,for,In order to,5
乃至,and even; even to the extent of,This problem affects students and even teachers.,这个问题影响学生，乃至老师。,"The storm damaged roads, houses, and even the power system.",暴风雨破坏了道路、房屋，乃至电力系统。,His words influenced his friends and even the whole class.,他的话影响了朋友，乃至整个班级。,and even,even,and even,5
之前,before; previously,Please call me before you leave.,你离开之前，请给我打电话。,I had never seen him before.,我之前从来没见过他。,Finish your homework before dinner.,晚饭之前把作业做完。,before,before,before,5
之后,after; afterwards,I went home after the meeting.,会议之后，我回家了。,"After finishing the report, he rested for a while.",做完报告之后，他休息了一会儿。,She became more confident afterwards.,之后，她变得更有信心了。,after,After,afterwards,5
也,also; too; as well,I also want to learn Chinese.,我也想学中文。,"He likes tea, and I like tea too.",他喜欢茶，我也喜欢茶。,This method is useful as well.,这个方法也很有用。,also,too,as well,5
也就是说,in other words; that is to say,"He cannot come today; in other words, we must start without him.",他今天不能来，也就是说，我们必须先开始。,"The task must be finished by Friday; that is to say, we only have three days left.",任务必须星期五前完成，也就是说，我们只剩三天了。,"This word is formal; in other words, it is not common in daily conversation.",这个词比较正式，也就是说，日常对话中不常用。,in other words,that is to say,in other words,5
也许,maybe; perhaps,Maybe he forgot about the meeting.,他也许忘了会议。,Perhaps this method will work.,这个方法也许有用。,Maybe she does not understand the rule yet.,她也许还不明白这个规则。,Maybe,Perhaps,Maybe,5
事实上,in fact; actually,"In fact, this problem is not difficult.",事实上，这个问题并不难。,"He looks calm, but actually he is very nervous.",他看起来很冷静，事实上很紧张。,"In fact, many people have the same question.",事实上，很多人都有同样的问题。,In fact,actually,In fact,5
于是,so; therefore; as a result,"It started raining, so we went home early.",开始下雨了，于是我们早点回家了。,"He did not understand the question, so he asked the teacher.",他不明白这个问题，于是问了老师。,"The shop was closed; as a result, we went somewhere else.",商店关门了，于是我们去了别的地方。,so,so,as a result,5
互相,each other; mutually,They often help each other.,他们经常互相帮助。,We should respect each other.,我们应该互相尊重。,The two friends looked at each other and laughed.,两个朋友互相看了看，然后笑了。,each other,each other,each other,5
亲自,personally; in person,The manager personally handled this problem.,经理亲自处理了这个问题。,She came in person to apologize.,她亲自来道歉。,I want to personally check the result.,我想亲自检查结果。,personally,in person,personally,5
仅,only; merely,This ticket is only valid today.,这张票仅今天有效。,He merely said one sentence.,他仅说了一句话。,The meeting lasted only ten minutes.,会议仅持续了十分钟。,only,merely,only,5
仅仅,only; merely; no more than,He is only twelve years old.,他仅仅十二岁。,This is merely a suggestion.,这仅仅是一个建议。,We waited for only five minutes.,我们仅仅等了五分钟。,only,merely,only,5
仍,still; yet,He still has not replied to my message.,他仍没有回复我的消息。,The problem still exists.,问题仍然存在。,She still remembers that day clearly.,她仍清楚地记得那一天。,still,still,still,5
仍旧,still; as before,He still lives in the same place as before.,他仍旧住在原来的地方。,The shop is still open until midnight.,这家店仍旧营业到半夜。,"After many years, she still looks very young.",过了很多年，她仍旧看起来很年轻。,still,still,still,5
仍然,still; nevertheless,He still refused to give up.,他仍然不肯放弃。,"Although it was difficult, she still finished the task.",虽然很困难，她仍然完成了任务。,The weather is still very hot today.,今天的天气仍然很热。,still,still,still,5
从来,always; ever; never before,He has always been honest with me.,他从来都对我很诚实。,I have never been to Shanghai before.,我从来没去过上海。,She never complains about work.,她从来不抱怨工作。,always,never before,never,5
从此,from then on; since then,"From then on, he stopped smoking.",从此，他不再抽烟。,"Since then, they became good friends.",从此，他们成了好朋友。,"From then on, she studied harder than before.",从此，她比以前更努力学习。,From then on,Since then,From then on,5
从而,thereby; thus; as a result,"Exercise can improve health, thereby reducing stress.",运动可以改善健康，从而减少压力。,"He explained the rules clearly, thus helping everyone understand the game.",他把规则解释清楚，从而帮助大家理解游戏。,"The company lowered prices, thereby attracting more customers.",公司降低了价格，从而吸引了更多顾客。,thereby,thus,thereby,5
以便,so that; in order to,Please arrive early so that we can prepare together.,请早点到，以便我们一起准备。,I wrote down the address in order to find the place later.,我记下了地址，以便之后找到那个地方。,He saved the file so that he could use it tomorrow.,他保存了文件，以便明天使用。,so that,in order to,so that,5
以免,so as not to; lest; to avoid,Take an umbrella so as not to get wet.,带把伞，以免淋湿。,Please check the answer again to avoid mistakes.,请再检查一遍答案，以免出错。,Speak quietly lest you wake the baby.,说话小声点，以免吵醒宝宝。,so as not to,to avoid,lest,5
以前,before; previously,I lived here before.,我以前住在这里。,"Before class, please review the lesson.",上课以前，请复习课文。,I had seen this movie previously.,我以前看过这部电影。,before,Before,previously,5
以后,after; later; in the future,Call me after you finish work.,你下班以后给我打电话。,I will be more careful in the future.,我以后会更小心。,"Later, he understood why she was angry.",以后，他明白了她为什么生气。,after,in the future,Later,5
以来,since,He has changed a lot since last year.,去年以来，他改变了很多。,"Since arriving in Singapore, she has made many friends.",来到新加坡以来，她交了很多朋友。,"Since that day, I have not seen him again.",那天以来，我再也没有见过他。,since,Since,Since,5
以来都,have always since; all along since,"Since childhood, he has always liked drawing.",从小以来，他都喜欢画画。,"Since joining the company, she has always worked hard.",进公司以来，她都很努力工作。,"Since the beginning, this rule has always been strict.",一开始以来，这个规定都很严格。,has always since,has always,has always,5
任意,any; arbitrary; freely,You may choose any seat.,你可以任意选择一个座位。,Enter any number between one and ten.,任意输入一个一到十之间的数字。,Do not change the settings freely.,不要任意更改设置。,any,any,freely,5
但是,but; however,"I wanted to go, but I was too busy.",我想去，但是我太忙了。,"This method is simple, however it is not very accurate.",这个方法很简单，但是不太准确。,"He is young, but he is very responsible.",他很年轻，但是很负责。,but,however,but,5
例如,for example; such as,"Many fruits are sweet, for example apples and grapes.",很多水果很甜，例如苹果和葡萄。,"You can use simple sentences, such as this one.",你可以用简单的句子，例如这一句。,"Some cities are very expensive, for example Tokyo.",有些城市很贵，例如东京。,for example,such as,for example,5
依据,according to; based on,"According to the rules, you cannot enter now.",依据规定，你现在不能进去。,We made this decision based on the data.,我们依据数据做出了这个决定。,The teacher graded the work according to the answer key.,老师依据答案批改作业。,According to,based on,according to,5
依旧,still; as before,The street is still very quiet at night.,这条街晚上依旧很安静。,"After ten years, he is still very friendly.",十年后，他依旧很友善。,"Although the plan failed, she still did not give up.",虽然计划失败了，她依旧没有放弃。,still,still,still,5
依次,in order; one after another,Please line up and enter in order.,请排好队，依次进入。,The teacher called the students’ names one after another.,老师依次叫学生的名字。,We checked each file in order.,我们依次检查了每个文件。,in order,one after another,in order,5
依然,still; as before,He still lives in that old house.,他依然住在那间老房子里。,The weather is still very hot today.,今天的天气依然很热。,"Although she failed, she still kept trying.",虽然她失败了，但她依然继续尝试。,still,still,still,5
便,then; so; just,"If there is no problem, then we can begin.",如果没有问题，我们便可以开始。,He heard the news and then left immediately.,他听到消息后便立刻离开了。,You can just put the documents here.,你把文件放在这里便可以了。,then,then,just,5
倒,actually; rather; instead,"I thought it would be difficult, but it was actually quite simple.",我以为会很难，倒挺简单的。,This idea is rather interesting.,这个想法倒很有意思。,"He was not angry; instead, he smiled.",他没有生气，倒笑了。,actually,rather,instead,5
倘若,if; supposing that,"If you need help, contact me anytime.",倘若你需要帮助，随时联系我。,"Supposing that the plan fails, we need another solution.",倘若计划失败，我们需要另一个办法。,"If he cannot come, we will postpone the meeting.",倘若他不能来，我们就推迟会议。,If,Supposing that,If,5
假如,if; supposing,"If I were you, I would explain it clearly.",假如我是你，我会解释清楚。,"Supposing tomorrow is a holiday, where do you want to go?",假如明天放假，你想去哪里？,"If we have enough time, we can review it again.",假如时间够，我们可以再复习一遍。,If,Supposing,If,5
偏偏,unexpectedly; of all things; deliberately,"I wanted to sleep early, but unexpectedly, my neighbor started singing.",我想早点睡，邻居偏偏开始唱歌。,"It did not rain all week, but of all things, it rained today.",一个星期都没下雨，偏偏今天下雨。,"He knew I was busy, but deliberately came to bother me.",他知道我很忙，偏偏来打扰我。,unexpectedly,of all things,deliberately,5
偶尔,occasionally; once in a while,I occasionally read novels before sleeping.,我睡前偶尔看小说。,He cooks at home once in a while.,他偶尔在家做饭。,We occasionally meet for coffee after work.,我们下班后偶尔一起喝咖啡。,occasionally,once in a while,occasionally,5
偶然,by chance; accidental,I met my old teacher by chance.,我偶然遇见了以前的老师。,This was an accidental mistake.,这是一个偶然的错误。,He discovered the answer by chance.,他偶然发现了答案。,by chance,accidental,by chance,5
偶然间,by chance; accidentally,"By chance, I saw his name on the list.",偶然间，我在名单上看到了他的名字。,She accidentally found an old letter.,她偶然间发现了一封旧信。,"By chance, they heard an important conversation.",偶然间，他们听到了一段重要的对话。,By chance,accidentally,By chance,5
免得,so as not to; to avoid; lest,Close the window so as not to let the rain come in.,把窗户关上，免得雨飘进来。,Leave earlier to avoid missing the train.,早点出门，免得错过火车。,Speak quietly lest you disturb the others.,小声说话，免得打扰别人。,so as not to,to avoid,lest,5
全部,all; whole; complete,I read all the documents.,我看完了全部文件。,The whole class joined the activity.,全部学生都参加了活动。,He spent all his money on books.,他把全部钱都花在书上了。,all,whole,all,5
全都,all; entirely,They all passed the exam.,他们全都通过了考试。,The lights were all turned off.,灯全都关了。,I entirely forgot about the meeting.,我全都忘了会议的事。,all,all,entirely,5
共同,common; jointly; together,They have a common interest.,他们有共同的兴趣。,We jointly finished the report.,我们共同完成了报告。,This is a problem we must solve together.,这是我们必须共同解决的问题。,common,jointly,together,5
关于,about; regarding,This article is about education.,这篇文章是关于教育的。,"Regarding your question, I need more time to think.",关于你的问题，我需要更多时间考虑。,I watched a video about Chinese grammar.,我看了一个关于中文语法的视频。,about,Regarding,about,5
其实,actually; in fact,"Actually, I do not agree with him.",其实，我不同意他的看法。,"He looks serious, but in fact he is very kind.",他看起来很严肃，其实很亲切。,"Actually, this word is common in spoken Chinese.",其实，这个词在口语里很常见。,Actually,in fact,Actually,5
其次,secondly; next,"First, check the answer; secondly, correct the mistake.",首先检查答案，其次改正错误。,"Next, we need to discuss the cost.",其次，我们需要讨论费用。,"Good pronunciation is important; secondly, grammar is also important.",发音很重要，其次，语法也很重要。,secondly,Next,secondly,5
再三,repeatedly; again and again,I repeatedly told him not to forget his passport.,我再三提醒他不要忘记护照。,She checked the address again and again.,她再三确认地址。,The doctor repeatedly warned him to rest more.,医生再三提醒他要多休息。,repeatedly,again and again,repeatedly,5
再也,no longer; never again,I will never again trust that excuse.,我再也不会相信那个借口了。,He no longer wants to stay there.,他再也不想待在那里了。,"After that, she never again arrived late.",从那以后，她再也没有迟到。,never again,no longer,never again,5
再加上,in addition; plus; on top of that,"The room is small; in addition, it is noisy.",房间很小，再加上很吵。,"He has no time, plus he is sick today.",他没有时间，再加上今天生病了。,"The work is difficult; on top of that, the deadline is tight.",工作很难，再加上时间很紧。,in addition,plus,on top of that,5
再次,again; once again,Please read the sentence again.,请再次读这个句子。,He once again apologized to everyone.,他再次向大家道歉。,Thank you again for your support.,再次感谢你的支持。,again,once again,again,5
再说,besides; moreover; anyway,"I do not want to go out; besides, it is raining.",我不想出去，再说，外面还在下雨。,"This plan is too expensive; moreover, we do not have enough time.",这个计划太贵了，再说，我们也没有足够的时间。,"Let us not talk about it now; anyway, it is already over.",我们现在别谈这件事了，再说，事情已经过去了。,besides,moreover,anyway,5
准,certainly; accurately; on time,He will certainly come tomorrow.,他明天准会来。,This clock tells time accurately.,这个钟走得很准。,The train arrived on time.,火车准时到了。,certainly,accurately,on time,5
几乎,almost; nearly,I almost forgot his name.,我几乎忘了他的名字。,The room was nearly full.,房间里几乎坐满了。,He almost never makes mistakes.,他几乎不犯错误。,almost,nearly,almost,5
几乎不,hardly; almost not,He hardly speaks during meetings.,他开会时几乎不说话。,I almost did not recognize her.,我几乎不认识她了。,This method hardly works in real situations.,这个方法在实际情况中几乎不起作用。,hardly,almost did not,hardly,5
凭,based on; relying on; by,He made the decision based on experience.,他凭经验做出了决定。,She passed the exam relying on hard work.,她凭努力通过了考试。,You can enter by showing your ticket.,你可以凭票入场。,based on,relying on,by,5
分别,separately; respectively,Please answer these two questions separately.,请分别回答这两个问题。,They are from Singapore and Malaysia respectively.,他们分别来自新加坡和马来西亚。,The teacher spoke to the students separately.,老师分别跟学生谈话。,separately,respectively,separately,5
分外,especially; particularly,The sky looks especially clear today.,今天的天空分外晴朗。,She was particularly happy after hearing the news.,听到这个消息后，她分外高兴。,The room felt especially quiet at night.,晚上的房间分外安静。,especially,particularly,especially,5
切勿,do not; must not,Do not touch the machine while it is running.,机器运转时，切勿触碰。,Must not enter this area without permission.,未经允许，切勿进入此区域。,Do not forget to save your file.,切勿忘记保存文件。,Do not,Must not,Do not,5
刚刚,just; just now,I just finished my homework.,我刚刚做完作业。,He just left the office.,他刚刚离开办公室。,She called me just now.,她刚刚给我打了电话。,just,just,just now,5
刚好,just right; exactly; happen to,This shirt fits just right.,这件衬衫刚好合身。,We arrived at exactly eight o’clock.,我们刚好八点到。,I happened to meet him at the station.,我刚好在车站遇见了他。,just right,exactly,happened to,5
刚才,just now; a moment ago,I saw him just now.,我刚才看到他了。,What did you say a moment ago?,你刚才说什么？,She was here just now.,她刚才还在这里。,just now,a moment ago,just now,5
到处,everywhere; all over the place,There are flowers everywhere in the park.,公园里到处都是花。,He looked for his keys all over the place.,他到处找钥匙。,"During the holiday, tourists were everywhere.",假期里，到处都是游客。,everywhere,all over the place,everywhere,5
到底,exactly; in the end; after all,What exactly do you want to say?,你到底想说什么？,"In the end, he chose to stay.",他到底还是选择留下来。,She is still a child after all.,她到底还是个孩子。,exactly,In the end,after all,5
前面,in front; ahead; the previous part,There is a bus stop in front of the school.,学校前面有一个公交站。,The road ahead is under construction.,前面的路正在施工。,The previous part of the article is easier.,文章前面的部分比较简单。,in front,ahead,previous,5
加上,add; plus; combined with,Add his name to the list.,把他的名字加上去。,"The ticket costs fifty dollars, plus tax.",票价五十块，加上税。,"Combined with the bad weather, the traffic became worse.",加上天气不好，交通变得更糟。,Add,plus,Combined with,5
务必,be sure to; must,Please be sure to arrive before eight.,请务必八点以前到。,You must check the answer again.,你务必再检查一遍答案。,Be sure to bring your passport tomorrow.,明天务必带上护照。,be sure to,must,Be sure to,5
十分,very; extremely,This question is very important.,这个问题十分重要。,She was extremely nervous before the exam.,考试前她十分紧张。,The teacher explained it very clearly.,老师解释得十分清楚。,very,extremely,very,5
千万,absolutely; must; by all means,You must not forget this rule.,你千万不要忘记这个规则。,Please be absolutely careful when crossing the road.,过马路时千万要小心。,"By all means, tell me if you need help.",如果需要帮助，千万告诉我。,must,absolutely,By all means,5
即便,even if; even though,"Even if it rains, we will continue the activity.",即便下雨，我们也会继续活动。,"Even though he was tired, he kept working.",即便很累，他还是继续工作。,"Even if the result is not good, we should not give up.",即便结果不好，我们也不应该放弃。,Even if,Even though,Even if,5
即刻,immediately; at once,Please leave immediately.,请即刻离开。,The doctor asked him to stop working at once.,医生要求他即刻停止工作。,"After hearing the news, she immediately called her family.",听到消息后，她即刻打电话给家人。,immediately,at once,immediately,5
却,but; yet; however,"He is young, but very capable.",他很年轻，却很有能力。,"I wanted to help him, yet he refused.",我想帮他，他却拒绝了。,"The answer looked simple; however, it was wrong.",答案看起来很简单，却是错的。,but,yet,however,5
历来,always; throughout history,This city has always valued education.,这座城市历来重视教育。,"Throughout history, this area has been important for trade.",这个地区历来是贸易重地。,He has always been strict with himself.,他历来对自己要求很严格。,always,Throughout history,always,5
原来,originally; it turns out; former,This building was originally a school.,这栋楼原来是一所学校。,It turns out that he already knew the answer.,原来他早就知道答案了。,My former plan was to leave tomorrow.,我原来打算明天离开。,originally,It turns out,former,5
又,again; also; both,He came again today.,他今天又来了。,This book is useful and also interesting.,这本书又有用又有趣。,She is both smart and hardworking.,她又聪明又努力。,again,also,both,5
反之,conversely; on the contrary,"If you work hard, you will improve; conversely, you will fall behind.",你努力就会进步，反之就会落后。,"Good habits help you succeed; on the contrary, bad habits slow you down.",好习惯帮助你成功，反之，坏习惯会拖慢你。,"If the answer is correct, keep it; conversely, change it.",如果答案正确，就保留；反之，就修改。,conversely,on the contrary,conversely,5
反倒,instead; on the contrary,"I wanted to comfort him, but instead made him angrier.",我想安慰他，反倒让他更生气。,"The medicine did not help; on the contrary, it made him feel worse.",药没有帮助他，反倒让他更难受。,"After resting, I felt even more tired instead.",休息以后，我反倒更累了。,instead,on the contrary,instead,5
反正,anyway; in any case,I am not going anyway.,反正我不去了。,"In any case, we still have enough time.",反正我们还有足够的时间。,"Anyway, this problem is not urgent.",反正这个问题不急。,anyway,In any case,Anyway,5
反而,instead; on the contrary,"He did not get angry; instead, he smiled.",他没有生气，反而笑了。,"The explanation did not make things clearer; on the contrary, it made them more confusing.",这个解释没有让事情更清楚，反而更让人困惑。,"The more I thought about it, the less certain I became instead.",我越想，反而越不确定。,instead,on the contrary,instead,5
另一方面,on the other hand,"On the other hand, this plan may cost too much.",另一方面，这个计划可能花费太高。,"The job is tiring; on the other hand, it gives him valuable experience.",这份工作很累，另一方面，也给了他宝贵的经验。,"On the other hand, we should consider the students’ opinions.",另一方面，我们也应该考虑学生的意见。,On the other hand,on the other hand,On the other hand,5
另外,additionally; another; separately,"Additionally, we need to check the data.",另外，我们还需要检查数据。,I bought another notebook.,我另外买了一本笔记本。,We will discuss this matter separately.,这件事我们另外讨论。,Additionally,another,separately,5
只,only; just,I only have ten dollars.,我只有十块钱。,He just wants to ask one question.,他只是想问一个问题。,Only three students came today.,今天只来了三个学生。,only,just,Only,5
只好,have no choice but to,"The train was cancelled, so we had no choice but to take a bus.",火车取消了，我们只好坐公交车。,He had no choice but to apologize.,他只好道歉。,"Because no one answered, I had no choice but to leave a message.",因为没人接电话，我只好留言。,had no choice but to,had no choice but to,had no choice but to,5
只得,have no choice but to; had to,He had to accept the result.,他只得接受这个结果。,We had no choice but to wait outside.,我们只得在外面等。,"Since the shop was closed, she had to go home.",店已经关门了，她只得回家。,had to,had no choice but to,had to,5
只是,only; just; but,I only wanted to help.,我只是想帮忙。,This is just a small mistake.,这只是一个小错误。,"I wanted to go, but I did not have time.",我想去，只是没有时间。,only,just,but,5
只要,as long as; provided that,"As long as you practice every day, you will improve.",只要你每天练习，就会进步。,"Provided that the weather is good, we will go hiking.",只要天气好，我们就去爬山。,"As long as he agrees, we can start.",只要他同意，我们就可以开始。,As long as,Provided that,As long as,5
可惜,unfortunately; it is a pity,"Unfortunately, we missed the last train.",可惜，我们错过了最后一班车。,It is a pity that he cannot join us.,可惜他不能参加。,"The food was good, but unfortunately the service was slow.",食物不错，可惜服务很慢。,Unfortunately,It is a pity,unfortunately,5
可是,but; however,"I wanted to buy it, but it was too expensive.",我想买，可是太贵了。,"He worked hard; however, he still failed.",他很努力，可是还是失败了。,"The room is small, but very clean.",房间很小，可是很干净。,but,however,but,5
可能,maybe; possible; likely,Maybe he forgot the meeting.,他可能忘了会议。,"This answer is possible, but not certain.",这个答案可能是对的，但不确定。,It is likely to rain tomorrow.,明天可能会下雨。,Maybe,possible,likely,5
各自,each; respective,The students returned to their respective classrooms.,学生们回到各自的教室。,They each expressed their opinion.,他们各自表达了自己的看法。,"After the meeting, everyone went back to their respective work.",会议结束后，大家回到各自的工作中。,respective,each,respective,5
同时,at the same time; simultaneously,He studies and works at the same time.,他同时学习和工作。,The two machines started simultaneously.,两台机器同时启动了。,This method saves time and improves quality at the same time.,这个方法同时节省时间并提高质量。,at the same time,simultaneously,at the same time,5
后来,later; afterwards,"Later, he became a teacher.",后来，他成了一名老师。,"I did not understand at first, but afterwards I understood.",我一开始不明白，后来明白了。,"Later, she moved to another city.",后来，她搬到了另一个城市。,Later,afterwards,Later,5
后面,behind; later part; back,There is a garden behind the house.,房子后面有一个花园。,The later part of the story is more interesting.,故事后面的部分更有意思。,Please sit at the back.,请坐在后面。,behind,later,back,5
向来,always; all along,He has always been careful with money.,他向来花钱很小心。,This school has always valued discipline.,这所学校向来重视纪律。,She has always disliked noisy places.,她向来不喜欢吵闹的地方。,always,always,always,5
