Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
国际,guójì,international,他在一家国际学校上学。,He studies at an international school.,他在一家__学校上学。,Band2,6.1,5
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,Let the past stay in the past.,__的事情就让它过去吧,Band2,1.4,5
故意,gùyì,deliberately,他不是故意打破杯子的。,He didn’t break the cup on purpose.,他不是__打破杯子的。,Band2,1.5,5
好处,hǎochu,benefit,多运动对身体有好处。,Exercising more is beneficial for your health.,多运动对身体有__。,Band2,1.8,5
好事,hǎoshì,good deed; good thing,他们结婚了，真是件好事！,They got married—what a wonderful thing!,他们结婚了，真是件__！,Band2,2.3,5
合适,héshì,appropriate,这件衣服对你来说很合适。,This piece of clothing suits you well.,这件衣服对你来说很__。,Band2,3.7,5
湖,hú,lake,湖边的风景非常美丽。,The scenery by the lake is very beautiful.,__边的风景非常美丽。,Band2,Unknown,5
坏处,huàichù,disadvantage; harm,抽烟对身体有坏处。,Smoking is harmful to your health.,抽烟对身体有__。,Band2,1.9,5
画家,huàjiā,painter,他是一位著名的画家。,He is a famous painter.,他是一位著名的__。,Band2,2.2,5
忽然,hūrán,suddenly,天气忽然变冷了。,The weather suddenly turned cold.,天气__变冷了。,Band2,1.8,5
护照,hùzhào,passport,出国旅行需要护照。,You need a passport to travel abroad.,出国旅行需要__。,Band2,4.5,5
急,jí,urgent;,别急，我们还有时间。,"Don’t worry, we still have time.",别__，我们还有时间。,Band2,Unknown,5
角,jiǎo,Animal horn,许多动物都有角，用来防御或在争斗中使用,"Xǔduō dòngwù dōu yǒu jiǎo, yòng lái fángyù huò zài zhēngdòu zhōng shǐyòng.",许多动物都有__，用来防御或在争斗中使用,Band2,Unknown,5
角度,jiǎodù,"angle, perspective, point of view",从不同的角度看问题很重要。,It’s important to look at problems from different angles.,从不同的__看问题很重要。,Band2,6.1,5
交给,jiāogěi,verb: to hand over / to give to,请把作业交给老师。,Please hand your homework to the teacher.,请把作业__老师。,Band2,1.5,5
交朋友,jiāopéngyǒu,make friends,他很容易交朋友。,He makes friends easily.,他很容易__。,Band2,Unknown,5
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,It’s quiet in the classroom; everyone is studying.,教室里很__，大家都在学习。,Band2,1.5,5
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,He is an experienced Chinese teacher.,他是一位有经验的中文__。,Band2,1.5,5
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",The transportation in this city is very convenient. The traffic during rush hour is very congested,"这个城市的__非常方便。
上班高峰期的__非常拥堵",Band2,1.5,5
教学,jiàoxué,"teaching as a profession, a process, or a system","他的教学方法很有效
这所大学非常重视教学质量",His teaching methods are very effective. We are discussing the new teaching syllabus (or curriculum),"他的__方法很有效
这所大学非常重视__质量",Band2,Unknown,5
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,他从小接受良好的__，现在也__自己的孩子很用心。,Band2,1.5,5
叫作,jiàozuò,"be called; be known as (used in more informal situations, names, and common terms.)",这种游戏叫作“狼人杀”。,"This kind of game is called ""Werewolf"".",这种游戏__“狼人杀”。,Band2,Unknown,5
家长,jiāzhǎng,parent,学校邀请家长来开会。,The school invited the parents to a meeting.,学校邀请__来开会。,Band2,1.5,5
接,jiē,"act of connecting, meeting, or taking",我去车站接朋友,I’m going to the station to pick up a friend.,我去车站__朋友,Band2,Unknown,5
街,jiē,street,这条街上有很多商店。,There are many shops on this street.,这条__上有很多商店。,Band2,Unknown,5
接到,jiēdào,successful completion of receiving something that was sent or communicated,我刚接到一个电话。,I just received a phone call.,我刚__一个电话。,Band2,Unknown,5
结果,jiéguǒ,Result,比赛的结果很令人满意。,The result of the match was very satisfying.,比赛的__很令人满意。,Band2,1.4,5
节目,jiémù,program,我最喜欢那个歌唱节目。,My favorite is that singing program.,我最喜欢那个歌唱__。,Band2,1.5,5
节日,jiérì,festival,春节是中国最重要的节日。,Spring Festival is the most important holiday in China.,春节是中国最重要的__。,Band2,2.1,5
接受,jiēshòu,verb: to accept / to receive,他很快就接受了新的安排，也接受了大家的意见。,He quickly accepted the new arrangement and everyone’s suggestions.,他很快就__了新的安排，也__了大家的意见。,Band2,3.9,5
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,"Next, we will discuss the marketing strategy.",__我们要讨论市场营销策略,Band2,1.7,5
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,"He finished eating, then went for a walk.",他吃完饭，__去散步。,Band2,1.2,5
计划,jìhuà,plan,我们下周有一个旅游计划。,We have a travel plan for next week.,我们下周有一个旅游 __。,Band2,2.2,5
近,jìn,near,学校离我家很近,The school is very close to my home.,学校离我家很__,Band2,Unknown,5
斤,jīn,此,我要买两斤苹果。,I want to buy two jin of apples. (approx. 1 kg),我要买两__苹果。,Band2,Unknown,5
经过,jīngguò,后,我每天上学都会经过那家咖啡店。,I pass by that coffee shop every day on my way to school.,我每天上学都会__那家咖啡店。,Band2,1.5,5
经理,jīnglǐ,manager,他是这家餐厅的经理。,He is the manager of this restaurant.,他是这家餐厅的__。,Band2,7.15,5
今后,jīnhòu,from now on; in the future,今后我要每天学习中文。,"From now on, I will study Chinese every day.",__我要每天学习中文。,Band2,5.5,5
进入,jìnrù,verb: to enter,请刷卡进入办公楼。,Please swipe your card to enter the office building.,请刷卡__办公楼。,Band2,2.3,5
进行,jìnxíng,to carry out / to proceed,比赛正在进行中。,The competition is in progress.,比赛正在__中。,Band2,1.8,5
举,jǔ,to raise / to lift,请举手回答问题。,Please raise your hand to answer the question.,请__手回答问题。,Band2,Unknown,5
举行,jǔxíng,to hold (an event),学校下周将举行运动会。,The school will hold a sports day next week.,学校下周将__运动会。,Band2,2.2,5
句子,jùzi,sentence,请用这个词造一个句子。,Please make a sentence with this word.,请用这个词造一个__。,Band2,1.8,5
开机,kāijī,to turn on (a machine/device),请先开机，然后登录系统,"Please turn on the device first, then log in to the system.",请先__，然后登录系统,Band2,Unknown,5
开学,kāixué,verb: school starts; beginning of school term,下个星期就要开学了。,School starts next week.,下个星期就要__了。,Band2,3.6,5
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,What’s your opinion on this issue?,你对这个问题有什么__？,Band2,1.5,5
靠,kào,to lean on / to rely on / to be near (very close enough),他靠在墙上. 我们靠自己的努力生活. 我们家靠着海边,He leaned against the wall. 我们靠自己的努力生活. 我们家靠着海边,他__在墙上. 我们__自己的努力生活. 我们家__着海边,Band2,Unknown,5
考生,kǎoshēng,examinee,所有的考生请提前到达考场。,"All test-takers, please arrive at the exam room early.",所有的__请提前到达考场。,Band2,Unknown,5
克,kè,gram,这块蛋糕有两百克。,This piece of cake weighs 200 grams.,这块蛋糕有两百__。,Band2,Unknown,5
刻,kè,Carve,他在石头上刻了名字。,He carved his name into the stone.,他在石头上__了名字。,Band2,Unknown,5
可怕,kěpà,"This is used for things that cause literal fear or are objectively dangerous. In many cases, it’s used to describe a situation that is socially or professionally disastrous, rather than ""ghost-story"" scary.",这里的森林漆黑一片，感觉非常可怕。最可怕的是，我总觉得有人在背后盯着我。,"The forest here is pitch black and feels very scary. The most scary thing is, I constantly feel like someone is staring at me from behind.",这里的森林漆黑一片，感觉非常__。最__的是，我总觉得有人在背后盯着我。,Band2,3.7,5
空气,kōngqì,atmosphere,山上的空气很新鲜,The air in the mountains is very fresh.,山上的__很新鲜,Band2,5.5,5
快餐,kuàicān,fast food,我们中午吃快餐吧。,Let’s have fast food for lunch.,我们中午吃__吧。,Band2,3.1,5
来自,láizì,Come from,他来自韩国。,He comes from South Korea.,他__韩国。,Band2,2.3,5
老年,lǎonián,old age / elderly years,她在老年时喜欢种花。,"In her old age, she liked gardening.",她在__时喜欢种花。,Band2,3.4,5
老是,lǎoshì,always (used negatively or to express annoyance),他上课老是迟到。,He’s always late for class.,他上课__迟到。,Band2,5.5,5
凉快,liángkuai,cool and pleasant (weather),今天晚上挺凉快的。,It’s quite cool this evening.,今天晚上挺__的。,Band2,4.5,5
零下,língxià,below zero,昨天晚上气温降到零下五度。,Last night the temperature dropped to minus five degrees.,昨天晚上气温降到__五度。,Band2,Unknown,5
例如,lìrú,"for example. This is used during formal and written scenarios, usually you will use 比如",很多水果都很健康，例如苹果和香蕉,"Many fruits are healthy, for example, apples and bananas.",很多水果都很健康，__苹果和香蕉,Band2,2.4,5
里头,lǐtou,inside (informal version),箱子里头有什么？,What’s inside the box?,箱子__有什么？,Band2,6.1,5
流,liú,flow / shed,在筋疲力尽的战斗后，他脸上既流着痛苦的眼泪，身上又流着受伤的血，汗水也止不住地往下流。,"After an exhausting battle, painful tears flowed down his face, blood flowed from his wounds on his body, and sweat poured down uncontrollably.",在筋疲力尽的战斗后，他脸上既__着痛苦的眼泪，身上又__着受伤的血，汗水也止不住地往下__。,Band2,Unknown,5
流利,liúlì,fluent,他说汉语说得很流利,He speaks Chinese very fluently.,他说汉语说得很__,Band2,3.4,5
流行,liúxíng,popular / fashionable,这首歌现在很流行。,This song is very popular right now.,这首歌现在很__。,Band2,5.2,5
留学生,liúxuéshēng,international student,她是一名来自法国的留学生。,She’s an international student from France.,她是一名来自法国的__。,Band2,Unknown,5
理想,lǐxiǎng,ideal / dream,我的理想是当医生。,My dream is to become a doctor.,我的__是当医生。,Band2,2.4,5
例子,lìzi,example,请给我一个简单的例子。,Please give me a simple example.,请给我一个简单的__。,Band2,5.1,5
