1,2,3,4,5,6,7,8,9,10,Alt1,Alt2,Alt3,Alt4,Color
如果,巴士到了以后,你,还没来,我,就,先上车,,,,巴士到了以后如果你还没来我就先上车,,,,5
如果,你做完,今天老师给,的,那份作业,就,可以,休息一下,,,如果今天老师给的那份作业你做完就可以休息一下,,,,5
她,看完消息之后,才,发现,朋友发错,的,那张照片,,,,看完消息之后她才发现朋友发错的那张照片,,,,5
只要,我们解决,刚才提到,的,那个问题,就,可以,继续做,,,只要刚才提到的那个问题我们解决就可以继续做,,,,5
我,把,那个文件,删掉了,,,,,,,,,,,5
那个文件,被,我,删掉了,,,,,,,,,,,5
他,把,问题,说清楚了,,,,,,,,,,,5
这个问题,被,他,说清楚了,,,,,,,,,,,5
她,把,作业,做完了,以后,才,去休息,,,,把作业做完了以后她才去休息,,,,5
那份作业,被,她,做完了,,,,,,,,,,,5
老师,把,语法,解释清楚了,,,,,,,,,,,5
那个语法,被,老师,解释清楚了,以后,我才懂,,,,,被老师解释清楚了以后那个语法我才懂,,,,5
我们,把,计划,改好了,之后,就,发给经理,,,,把计划改好了之后我们就发给经理,,,,5
那个计划,被,我们,改好了,,,,,,,,,,,5
你,把,门,关上了,吗,,,,,,,,,,5
门,被,你,关上了,,,,,,,,,,,5
他,把,手机,忘在公司了,,,,,,,,,,,5
手机,被,他,忘在公司了,,,,,,,,,,,5
妈妈,把,晚饭,做好了,以后,叫我们吃,,,,,把晚饭做好了以后妈妈叫我们吃,,,,5
晚饭,被,妈妈,做好了,,,,,,,,,,,5
我,把,那句话,听懂了,之后,才回答,,,,,把那句话听懂了之后我才回答,,,,5
那句话,被,我,听懂了,以后,我才回答,,,,,,,,,5
同事,把,报告,写完了,就,发给老板,,,,,把报告写完了同事就发给老板,,,,5
那份报告,被,同事,写完了,以后,就发出去了,,,,,被同事写完了以后那份报告就发出去了,,,,5
我,把,电脑,打开了,以后,就,开始工作,,,,把电脑打开了以后我就开始工作,,,,5
电脑,被,我,打开了,以后,会议,才开始,,,,,,,,5
他,把,地址,写错了,所以,快递,送不到,,,,,,,,5
地址,被,他,写错了,以后,快递,找不到地方,,,,,,,,5
她,把,杯子,打破了,之后,马上,道歉,,,,把杯子打破了之后她马上道歉,,,,5
杯子,被,她,打破了,但是,没有人生气,,,,,,,,,5
我们,把,房间,收拾好了,就,可以,请客人进来,,,,把房间收拾好了我们就可以请客人进来,,,,5
房间,被,我们,收拾好了,看起来,干净多了,,,,,,,,,5
你,把,这个字,写清楚,老师,就,看得懂,,,,把这个字写清楚老师就看得懂,,,,5
这个字,被,你,写清楚了,老师,才,看得懂,,,,,,,,5
他,把,车票,买好了,以后,才,告诉我们,,,,把车票买好了以后他才告诉我们,,,,5
车票,被,他,买好了,我们,就,不用担心,,,,,,,,5
她,把,重点,画出来了,所以,我,看得很快,,,,把重点画出来了所以我看得很快,,,,5
重点,被,她,画出来了,看起来,很清楚,,,,,,,,,5
我,把,错误,改完了,之后,才,交作业,,,,把错误改完了之后我才交作业,,,,5
,,,,,,,,,,,,,,5
错误,被,我,改完了,老师,没有再说什么,,,,,,,,,5
他们,把,桌子,搬走了,所以,这里,空了很多,,,,把桌子搬走了以后这里空了很多他们,,,,5
桌子,被,他们,搬走了,之后,房间,变大了,,,,,,,,5
老板,把,时间,改好了,就,发了,新通知,,,,,,,,5
时间,被,老板,改好了,我们,只好,重新安排,,,,,,,,5
我,把,那段话,读懂了,以后,才,明白意思,,,,,,,,5
那段话,被,我,读懂了,以后,就,不难了,,,,把那段话读懂了以后我才明白意思,,,,5
他,把,资料,整理好了,之后,发给,同事,,,,把资料整理好了之后他发给同事,,,,5
资料,被,他,整理好了,大家,都,可以使用,,,,,,,,5
妈妈,把,灯,关掉了,因为,太亮了,,,,,因为太亮了妈妈把灯关掉了,,,,5
灯,被,妈妈,关掉了,房间,变暗了,,,,,,,,,5
我们,把,问题,找出来了,但是,还没,解决,,,,,,,,5
问题,被,我们,找出来了,下一步,是解决它,,,,,,,,,5
句子,被,你,拆开了,以后,结构,很明显,,,,,,,,5
她,把,礼物,包好了,以后,放进袋子里,,,,,把礼物包好了以后她放进袋子里,,,,5
礼物,被,她,包好了,看起来,很漂亮,,,,,,,,,5
我,把,手机,放好了,才,去,洗澡,,,,把手机放好了我才去洗澡,,,,5
手机,被,我,放好了,所以,没有弄丢,,,,,,,,,5
他,把,音量,调低了,以后,大家,比较舒服,,,,,,,,5
音量,被,他,调低了,房间里,安静多了,,,,,,,,,5
我昨天,下载,的,那个文件,已经,被删除了,,,,,昨天我下载的那个文件已经被删除了,,,,5
他刚才,发给我,的,那个消息,我,看懂了,,,,,刚才他发给我的那个消息我看懂了,我看懂了他刚才发给我的那个消息,,,5
老师今天,解释,的,那个语法,我们,终于听懂了,,,,,今天老师解释的那个语法我们终于听懂了,我们终于听懂了老师今天解释的那个语法,,,5
你上次,推荐,的,那部电影,我,已经看完了,,,,,上次你推荐的那部电影我已经看完了,我已经看完了你上次推荐的那部电影,,,5
她昨天,写,的,那份报告,被老板,改过了,,,,,昨天她写的那份报告被老板改过了,,,,5
我刚才,放在桌上,的,那支笔,被弟弟,拿走了,,,,,刚才我放在桌上的那支笔被弟弟拿走了,,,,5
公司早上,发来,的,那封邮件,我,已经回复了,,,,,早上公司发来的那封邮件我已经回复了,我已经回复了公司早上发来的那封邮件,,,5
他昨天,买回来,的,那台电脑,今天,坏掉了,,,,,昨天他买回来的那台电脑今天坏掉了,,,,5
我们上周,讨论,的,那个计划,现在,改好了,,,,,上周我们讨论的那个计划现在改好了,现在我们上周讨论的那个计划改好了,,,5
你刚才,删除,的,那个文件,其实,还能找回,,,,,刚才你删除的那个文件其实还能找回,,,,5
我昨天,听不懂,的,那句话,今天,终于明白了,,,,,昨天我听不懂的那句话今天终于明白了,我今天终于明白了昨天听不懂的那句话,,,5
老师上课时,写下,的,那个句子,我,抄下来了,,,,,上课时老师写下的那个句子我抄下来了,我抄下来了老师上课时写下的那个句子,,,5
我们刚才,找到,的,那个问题,已经,解决好了,,,,,刚才我们找到的那个问题已经解决好了,,,,5
她刚才,做好,的,那道菜,被弟弟,吃完了,,,,,刚才她做好的那道菜被弟弟吃完了,,,,5
他之前,说不清楚,的,那件事,现在,解释清楚了,,,,,之前他说不清楚的那件事现在解释清楚了,,,,5
我在网上,找到,的,那个资料,已经,放进报告里,,,,,,,,,5
他们昨天,搬走,的,那张桌子,被放到,会议室了,,,,,昨天他们搬走的那张桌子被放到会议室了,,,,5
如果,你看完,我发给你,的,那个文件,就,把意见,写下来,,,如果我发给你的那个文件你看完就把意见写下来,,,,5
我,做完作业以后,才,看完,你推荐,的,那部电影,,,,做完作业以后我才看完你推荐的那部电影,,,,5
只要,老师讲清楚,今天学,的,那个语法,我们,就听得懂,,,,只要今天学的那个语法老师讲清楚我们就听得懂,,,,5
他,到公司之后,才,看到,老板发来,的,那封邮件,,,,到公司之后他才看到老板发来的那封邮件,,,,5
如果,你找不到,我刚才放,的,那支笔,就,看看抽屉,,,,如果我刚才放的那支笔你找不到就看看抽屉,,,,5
她,看完消息以后,就,把朋友发来,的,照片,删除了,,,,看完消息以后她就把朋友发来的照片删除了,,,,5
只要,我们解决,刚才发现,的,那个问题,项目,就能继续,,,,只要刚才发现的那个问题我们解决项目就能继续,,,,5
我,问过老师以后,才,明白,你昨天问,的,那个问题,,,,问过老师以后我才明白你昨天问的那个问题,,,,5
如果,那份报告,被改好了,我们,就,发给经理,,,,,,,,,5
他,下班之后,就,把今天买,的,晚饭,带回家,,,,下班之后他就把今天买的晚饭带回家,,,,5
我们,讨论完以后,才,把昨天写,的,计划,改好了,,,,讨论完以后我们才把昨天写的计划改好了,,,,5
如果,你听不懂,他刚才说,的,那句话,就,请他重复,,,,如果他刚才说的那句话你听不懂就请他重复,,,,5
老师,解释清楚以后,学生,才,看懂,书上写,的说明,,,,老师解释清楚以后书上写的说明学生才看懂,,,,5
她,回家之后,才,发现,早上买,的,咖啡冷了,,,,回家之后她才发现早上买的咖啡冷了,,,,5
如果,那个文件,被删除了,你,就,去回收站,找找,,,,,,,,5
只要,他解释清楚,昨天发生,的,那件事,大家,就能理解,,,,只要昨天发生的那件事他解释清楚大家就能理解,,,,5
我们,下班之后,就,去,你上次推荐,的,那家店,,,,下班之后我们就去你上次推荐的那家店,,,,5
如果,你看懂,老师写,的,那个句子,就,把意思,说出来,,,如果老师写的那个句子你看懂就把意思说出来,,,,5
我,到家以后,才,发现,早上带出门,的,钱包,不见了,,,到家以后我才发现早上带出门的钱包不见了,,,,5
只要,你把,今天学,的,生词,复习完,就,可以休息,,,只要今天学的生词你复习完就可以休息,,,,5
他,看完说明之后,就,把新软件,安装好了,,,,,,看完说明之后他就把新软件安装好了,,,,5
如果,那封邮件,被老板,改过了,我们,就,重新检查,一遍,,,,,,,5
她,听懂规则以后,才,开始,玩那个,朋友推荐,的游戏,,,,听懂规则以后她才开始玩那个朋友推荐的游戏,,,,5
只要,我们找出,程序里,的,那个错误,问题,就能解决,,,,只要程序里的那个错误我们找出问题就能解决,只要我们找出程序里的那个错误就能解决问题,,,5
如果,你忘记,我刚才说,的,那件事,就,再问我,一次,,,如果我刚才说的那件事你忘记就再问我一次,我刚才说的那件事如果你忘记就再问我一次,empty,,5
老师,解释完以后,学生,才,把作业,做完了,,,,,empty,empty,empty,,5
我们,讨论清楚之后,就,把原来的,计划,改掉了,,,,,讨论清楚之后我们就把原来的计划改掉了,empty,empty,,5
如果,你收到,公司发来,的,那个通知,就,马上告诉我,,,,如果公司发来的那个通知你收到就马上告诉我,empty,empty,,5
他,下班以后,才,回复,客户上午发来,的,那封邮件,,,,下班以后他才回复客户上午发来的那封邮件,empty,empty,,5
只要,你把,不懂,的,句子,标出来,老师就能帮你,,,,empty,empty,empty,,5
她,回家之后,就,把今天买,的,礼物,包好了,,,,回家之后她就把今天买的礼物包好了,empty,empty,,5
如果,这份资料,被放进,报告里,内容,就,会更完整,,,,这份资料如果被放进报告里内容就会更完整,empty,empty,,5
我,看完例句以后,才,明白,这个语法,怎么用,,,,,看完例句以后我才明白这个语法怎么用,empty,empty,,5
只要,他讲清楚,昨天发生,的,那件事,大家,就不会误会,,,,只要昨天发生的那件事他讲清楚大家就不会误会,empty,empty,,5
如果,你找回,被删除,的,那个文件,就,先保存,一份,,,如果被删除的那个文件你找回就先保存一份,empty,empty,,5
我们,吃完饭之后,就,去,你之前说,的,那家书店,,,,吃完饭之后我们就去你之前说的那家书店,empty,empty,,5
他,读懂说明以后,才,把机器,打开了,,,,,,读懂说明以后他才把机器打开了,empty,empty,,5
虽然,这个字,很简单,但是,我,还是,忘了意思,,,,这个字虽然很简单但是我还是忘了意思,empty,empty,,5
虽然,老师讲得,很清楚,但是,我,还需要,再练习,,,,老师虽然讲得很清楚但是我还需要再练习,empty,empty,,5
虽然,今天,很忙,但是,我,还是,复习了中文,,,,今天虽然很忙但是我还是复习了中文,empty,empty,,5
虽然,这句话,我听懂了,但是,我,不会,自己说,,,,虽然我听懂了这句话但是我不会自己说,这句话虽然我听懂了但是我不会自己说,empty,,5
虽然,你推荐,的,那本书,很难,但是,我看完了,,,,你推荐的那本书虽然很难但是我看完了,empty,empty,,5
虽然,这个语法,看起来复杂,但是,拆开以后,就,容易懂,,,,这个语法虽然看起来复杂但是拆开以后就容易懂,empty,empty,,5
虽然,我昨天,学过,这个词,但是,今天,又忘了,,,,虽然这个词我昨天学过但是今天又忘了,这个词虽然我昨天学过但是今天又忘了,empty,,5
虽然,她说得,有点快,但是,我,听懂了,大概意思,,,,她虽然说得有点快但是我听懂了大概意思,虽然她说得有点快但是大概意思我听懂了,empty,,5
因为,今天,下雨,所以,我们,没有,去公园,,,,今天因为下雨所以我们没有去公园,empty,empty,,5
因为,我,看不懂,那段说明,所以,我,问了老师,,,,因为那段说明我看不懂所以我问了老师,empty,empty,,5
因为,他,没说清楚,原因,所以,大家,有点误会,,,,empty,empty,empty,,5
因为,那封邮件,很重要,所以,我,马上,回复了,,,,那封邮件因为很重要所以我马上回复了,empty,empty,,5
因为,我们,做完了,作业,所以,可以,早点休息,,,,因为作业我们做完了所以可以早点休息,empty,empty,,5
