Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,Encountered,ID,Formal
从前,cóngqián,noun/adverb: once upon a time / in the past,从前有一个聪明的国王。,3,1.2,5,0,23,
合作,hézuò,"verb: to cooperate / to collaborate
noun: cooperation",两个团队正在合作开发新产品，这次合作对双方都很重要。,3,1.2,5,0,24,
连忙,liánmáng,adverb: hurriedly / promptly,听到有人喊他，他连忙跑过去。,3,1.2,5,0,25,
同意,tóngyì,verb: to agree / to approve,大家一致同意这个方案。,3,1.2,5,0,26,
愿望,yuànwàng,noun: wish / desire,她的生日愿望是考上理想的大学。,3,1.2,5,0,27,
总是,zǒngshì,adverb: always,他总是忘记带钥匙。,3,1.2,5,0,28,
伙伴,huǒbàn,noun: partner; companion; teammate,他是我最信任的伙伴。,4,1.2,5,0,29,
集合,jíhé,verb: to gather; to assemble / noun: collection; set,老师让大家马上集合。,4,1.2,5,0,30,
重要,zhòngyào,important,家人对我来说最重要,1,1.3,5,0,31,
必须,bǐxú,Must,你必须每天练习中文。,2,1.3,5,0,32,
不过,búguò,"He is very rich, [but/however] he is very low-key.",他很有钱，不过人很低调。,2,1.3,5,0,33,
不过,búguò,I was [only/just] joking.,我不过是开个玩笑,2,1.3,5,0,34,
当时,dāngshí,at that time,我当时不知道该怎么办,2,1.3,5,0,35,
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。",2,1.3,5,0,36,
面前,miànqián,in front of,他站在老师面前不敢说话,2,1.3,5,0,37,
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,2,1.3,5,0,38,
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,2,1.3,5,0,39,
使用,shǐyòng,"formal, more ""professional"" version of ""use.",请使用手机扫描二维码。,2,1.3,5,0,40,Formal
讨论,tǎolùn,discuss,我们一起讨论一下这个问题。,2,1.3,5,0,41,
味道,wèidào,noun: taste / smell / flavor,这道菜味道很特别，有点辣但很好吃。,2,1.3,5,0,42,
习惯,xíguàn,Habit,我已经习惯早起了。,2,1.3,5,0,43,
比较,bǐjiào,relatively / to compare (adverb and verb),今天比较冷。请比较这两张照片。,3,1.3,5,0,44,
曾经,céngjīng,adverb: once / previously,我曾经来过这里，还拍了很多照片。,3,1.3,5,0,45,
错误,cuòwù,"noun: mistake / error
adjective: incorrect / mistaken",他的做法是错误的，这个错误可能带来严重后果。,3,1.3,5,0,46,
到达,dàodá,verb: to arrive / to reach （formal),火车准时到达了北京站。,3,1.3,5,0,47,Formal
到底,dàodǐ,"adverb: after all / exactly / in the end
used for emphasis in questions",你到底想说什么？我到底该相信谁？,3,1.3,5,0,48,
丰富,fēngfù,"adjective: rich / abundant
verb: to enrich",阅读可以丰富你的知识，也让你的生活更加丰富。,3,1.3,5,0,49,
工具,gōngjù,noun: tool / instrument,修车需要各种工具。,3,1.3,5,0,50,
观察,guānchá,verb: to observe,科学家正在仔细观察实验结果。,3,1.3,5,0,51,
果然,guǒrán,adverb: as expected / sure enough,他说今天会下雨，果然下午就下了。,3,1.3,5,0,52,
好奇,hàoqí,adjective: curious,孩子对一切新鲜事物都充满好奇。,3,1.3,5,0,53,
互相,hùxiāng,adverb: each other / mutually,朋友之间应该互相尊重。,3,1.3,5,0,54,
建议,jiànyì,"verb: to suggest / to recommend
noun: suggestion",我建议你早点休息，这也是医生的建议。,3,1.3,5,0,55,
结束,jiéshù,"Verb: to end / to finish
Noun: end / conclusion (contextual, not used as a standalone noun in casual speech)",会议已经结束，大家可以离开了。,3,1.3,5,0,56,
精彩,jīngcǎi,Adjective: brilliant / wonderful / splendid,这场表演真是太精彩了，观众全场鼓掌。,3,1.3,5,0,57,
精神,jīngshén,"Noun: spirit / energy / vitality
Adjective: lively / energetic",他今天精神很好，工作时也表现出了很强的团队精神。,3,1.3,5,0,58,
纪念,jìniàn,"verb: to commemorate
noun: souvenir / remembrance",这枚纪念币是为了纪念祖父而制作的。,3,1.3,5,0,59,
决定,juédìng,"verb: to decide
noun: decision",他决定辞职，这个决定让很多人吃惊,3,1.3,5,0,60,
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",虽然过程很困难，但我们还是克服了所有困难。,3,1.3,5,0,61,
立刻,lìkè,adverb: immediately / at once,我立刻给他回了电话。,3,1.3,5,0,62,
美食,měishí,noun: delicious food / gourmet food,台湾是著名的美食天堂。,3,1.3,5,0,63,
书架,shūjià,noun: bookshelf,书架上摆满了各种各样的书。,3,1.3,5,0,64,
支持,zhīchí,"verb: to support
noun: support",大家都支持他的决定，他感受到了强烈的支持。,3,1.3,5,0,65,
周围,zhōuwéi,noun: surroundings / nearby area,他家周围有很多超市和餐馆。,3,1.3,5,0,66,
注意,zhùyì,verb: to pay attention to / to take care,开车时要注意安全。,3,1.3,5,0,67,
的确,díquè,adverb: indeed; really; truly,他说的话的确很有道理。,4,1.3,5,0,68,
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,他竟然一个人完成了整个项目。,4,1.3,5,0,69,
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,4,1.3,5,0,70,
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,4,1.3,5,0,71,
阅读,yuèdú,"This is more formal and refers to the act of reading and comprehending. You’ll see this word on exams or when talking about ""reading"" as a hobby or a cognitive process.",每天坚持阅读不仅能增长知识，也能提升表达能力。,4,1.3,5,0,72,Formal
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,4,1.3,5,0,73,
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,4,1.3,5,0,74,
欣赏,xīnshǎng,verb: to appreciate; to admire; to enjoy,我很欣赏他的工作态度。,5,1.3,5,0,75,
珍惜,zhēnxī,verb: to treasure / to cherish,我们要珍惜现在拥有的一切。,5,1.3,5,0,76,
户外,hùwài,noun: outdoors / adjective: outdoor,很多人喜欢参加户外活动。,6,1.3,5,0,77,
礼堂,lǐtáng,noun: auditorium; assembly hall,学校的礼堂可以容纳很多学生。,6,1.3,5,0,78,
愉快,yúkuài,adjective: happy; pleasant; delightful,我们度过了一个非常愉快的周末。,6,1.3,5,0,79,
表示,biǎoshì,"To Express
Usage: Use this when you are ""showing"" or ""indicating"" something, often through a gesture, an official statement, or a specific action. It can also mean ""to represent.""",他表示了他的担忧,Unknown,1.3,5,0,80,
家人,jiārén,family,我很想念我的[家人],1,1.4,5,0,81,
介绍,,He is [introducing] the startup process of this software to the majority of his new colleagues.,他正在向多数新同事介绍这款软件的开机流程。,1,1.4,,0,82,
介绍,jièshào,"His [introduction] was very detailed, but the network security issues mentioned in it sounded very scary.",他的介绍非常详细，但其中提到的网络安全问题听起来很可怕。,1,1.4,5,0,83,
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,2,1.4,5,0,84,
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,2,1.4,5,0,85,
不但,búdàn,not only,他不但聪明，而且非常勤奋,2,1.4,5,0,86,
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,2,1.4,5,0,87,
不同,bùtóng,different,我们有不同的看法,2,1.4,5,0,88,Formal
过去,guòqù,Something happened over there; let's [go over] and take a look.,那边出了点事，我们过去看看吧。,2,1.4,5,0,89,
过去,guòqù,Don’t always live in [the past]; we need to look toward the future.,不要总是活在过去，我们要向未来看。,2,1.4,5,0,90,
结果,jiéguǒ,Result,比赛的结果很令人满意。,2,1.4,5,0,91,
旅游,lǚyóu,Travel,我打算去中国旅游。,2,1.4,5,0,92,
校长,xiàozhǎng,Principal,校长在大会上发了言。,2,1.4,5,0,93,
样子,yàngzi,appearance / manner / pattern / model,你看他的样子，好像生病了。,2,1.4,5,0,94,
爱心,àixīn,compassion / caring heart,她是一位充满爱心的老师。,3,1.4,5,0,95,
保持,bǎochí,to maintain / to keep ( maintaining a state or condition.),请保持安静。,3,1.4,5,0,96,
才能,cáinéng,"noun: talent / ability
conjunction: only then can...",有绘画才能，努力之后才能成功。,3,1.4,5,0,97,
成长,chéngzhǎng,"verb: to grow up
noun: growth / development",孩子的成长需要时间和关爱。,3,1.4,5,0,98,
充满,chōngmǎn,verb: to be full of / to be filled with (abstract or emotional),她的脸上充满了幸福的笑容。,3,1.4,5,0,99,
代表,dàibiǎo,"noun: representative
verb: to represent",他是学生会的代表，代表全体同学发言,3,1.4,5,0,100,
环境,huánjìng,noun: environment / surroundings,学习环境对效率有很大影响。,3,1.4,5,0,101,
坚持,jiānchí,verb: to persist / to insist,只要你坚持下去，终会看到成果,3,1.4,5,0,102,
批评,pīpíng,"verb: to criticize
noun: criticism",他批评了我的工作态度，这番批评让我反思了很多。,3,1.4,5,0,103,
其实,qíshí,adverb: actually / in fact,他看起来很冷静，其实心里很紧张。,3,1.4,5,0,104,
舞台,wǔtái,noun: stage (literal and metaphorical),她走上舞台，开始了自己的舞台人生。,3,1.4,5,0,105,
主意,zhǔyi,noun: idea / plan / decision,这是个好主意，我们就这么做吧！,3,1.4,5,0,106,
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,5,1.4,5,0,107,
惭愧,cánkuì,adjective: ashamed / embarrassed (for one's mistake or unworthiness),面对老师的信任，他感到非常惭愧，因为自己没完成作业。,7,1.4,5,0,108,
地点,dìdiǎn,Please send me the [location/venue] of the meeting.,请把会议的[地点]发给我。,1,1.5,5,0,109,
地图,dìtú,Map,我用[地图]找到了那家饭店,1,1.5,5,0,110,
哪些,nǎxiē,which,你喜欢哪些电影？,1,1.5,5,0,111,
哪些,nǎxiē,which,你喜欢哪些电影？,1,1.5,5,0,112,
打算,dǎsuàn,Plan,我打算下个月去旅行。,2,1.5,5,0,113,
答应,dāying,promise,你答应过我的！,2,1.5,5,0,114,
方便,fāngbiàn,convenient,你什么时候方便见面？,2,1.5,5,0,115,
放心,fàngxīn,Don't worry,你放心，我会帮你的,2,1.5,5,0,116,
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,2,1.5,5,0,117,
故意,gùyì,deliberately,他不是故意打破杯子的。,2,1.5,5,0,118,
交给,jiāogěi,"verb: to hand over / to give to. Use this when you are finishing a task or putting someone in charge of something. It implies a ""submission"" or ""assignment.""",请把作业交给老师。,2,1.5,5,0,119,
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,2,1.5,5,0,120,
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,2,1.5,5,0,121,Formal
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",2,1.5,5,0,122,
教育,jiàoyù,"noun: education
verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,2,1.5,5,0,123,
家长,jiāzhǎng,parent,学校邀请家长来开会。,2,1.5,5,0,124,
节目,jiémù,program,我最喜欢那个歌唱节目。,2,1.5,5,0,125,
经过,jīngguò,to pass by; after going through; process,我每天上学都会经过那家咖啡店。,2,1.5,5,0,126,
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,2,1.5,5,0,127,
满意,mǎnyì,Satisfied,客人对服务很满意。,2,1.5,5,0,128,
打破,dǎpò,"verb: to break (physically or abstractly, like a record or silence)",他打破了沉默，也打破了世界纪录,3,1.5,5,0,129,
方式,fāngshì,noun: method / way / style,我们可以用不同的方式解决这个问题。,3,1.5,5,0,130,
各种,gèzhǒng,noun/phrase: various kinds / all sorts of,商店里有各种各样的商品。,3,1.5,5,0,131,
观看,guānkàn,"verb: to watch (a performance, film, match, etc.)",我们一起观看了那部纪录片。,3,1.5,5,0,132,Formal
关系,guānxì,"noun: relationship / connection
verb (colloquial): to affect / to have to do with",他们的关系很好，这件事和他没有任何关系。,3,1.5,5,0,133,
观众,guānzhòng,noun: audience / spectators,观众们为表演者热烈鼓掌。,3,1.5,5,0,134,
进步,jìnbù,"Noun: progress / improvement
Verb: to improve / to make progress",他的中文有了明显的进步。,3,1.5,5,0,135,
开放,kāifàng,"verb: to open up (access, markets, doors, etc.)
adjective: open-minded / liberal",这个国家正在逐步开放市场，社会也变得更开放了。,3,1.5,5,0,136,
美好,měihǎo,"adjective: beautiful / wonderful (used for abstract things like memories, future)",我们一起度过了美好的时光。,3,1.5,5,0,137,
美术,měishù,"noun: fine arts (painting, sculpture, etc.)",她在大学学的是美术专业。,3,1.5,5,0,138,
面对,miànduì,verb: to face / to confront,我们要勇敢面对现实。,3,1.5,5,0,139,
内容,nèiróng,"noun: content (of speech, writing, work, etc.)",这本书的内容非常有深度。,3,1.5,5,0,140,
公众,gōngzhòng,noun: the public,新的政策将向公众公布，征求意见。,6,1.5,5,0,141,
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,1,1.6,5,0,142,
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,1,1.6,5,0,143,
生活,shēnghuó,Life,他在城市里过着很简单的生活。,2,1.6,5,0,144,
实现,shíxiàn,– to achieve / to realize,他终于实现了自己的梦想。,2,1.6,5,0,145,
想法,xiǎngfǎ,idea; opinion;thought,你的想法很有意思。,2,1.6,5,0,146,
心情,xīnqíng,mood,他今天心情不好,2,1.6,5,0,147,
游客,yóukè,tourist,这个城市每年吸引很多游客。,2,1.6,5,0,148,
真正,zhēnzhèng,real / true,真正的朋友会在你需要时帮助你。,2,1.6,5,0,149,
年纪,niánjì,noun: age (of a person),她虽然年纪大了，但身体还很好。,3,1.6,5,0,150,
情况,qíngkuàng,noun: situation / condition / circumstances,我们必须先了解实际情况，再做决定。,3,1.6,5,0,151,
庆祝,qìngzhù,verb: to celebrate,我们打算举行聚会来庆祝他的生日。,3,1.6,5,0,152,
伤心,shāngxīn,adjective: sad / heartbroken,听到这个消息，她非常伤心。,3,1.6,5,0,153,
设计,shèjì,"verb: to design
noun: design / plan",她设计的这款家具在外观设计上非常新颖。,3,1.6,5,0,154,
适合,shìhé,verb: to suit / to be suitable for,这份工作很适合你的性格。,3,1.6,5,0,155,
幸福,xìngfú,"noun: happiness / well-being
adjective: happy",他们过着幸福的生活，每天都感到很幸福。,3,1.6,5,0,156,
演员,yǎnyuán,noun: actor / actress,他是一位经验丰富的演员。,3,1.6,5,0,157,
一切,yíqiè,noun/pronoun: everything / all,无论发生什么，我们都会一起面对一切。,3,1.6,5,0,158,
由于,yóuyú,conjunction: due to / because of,由于天气不好，活动被取消了。,3,1.6,5,0,159,
整齐,zhěngqí,adjective: neat / orderly / well-organized,学生们穿着整齐地排成一排。,3,1.6,5,0,160,
只好,zhǐhǎo,adverb: have no choice but to / be forced to,车错过了，我们只好步行回家。,3,1.6,5,0,161,
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,4,1.6,5,0,162,
清理,qīnglǐ,verb: to clean up / to clear out,他正在清理房间，把不用的东西都扔掉了。,5,1.6,5,0,163,
报名,bàomíng,sign up,你报名参加比赛了吗？,2,1.7,5,0,164,
服务,fúwù,service,这家饭店的服务很好,2,1.7,5,0,165,
改变,gǎibiàn,change,你不想改变一下自己吗？,2,1.7,5,0,166,
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,2,1.7,5,0,167,
目的,mùdì,objective,我们这次旅行的目的是放松一下。,2,1.7,5,0,168,
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,2,1.7,5,0,169,
校园,xiàoyuán,campus,这个大学的校园很漂亮。,2,1.7,5,0,170,
新闻,xīnwén,news,我每天早上看新闻。,2,1.7,5,0,171,
一般,yìbān,"adjective: Ordinary / Average
adverb: Usually / Generally
comparative: The same as / As … as …",我一般七点起床，去一份一般的工作。同事们一般都很友好，还开玩笑说我跑得跟风一般快。,2,1.7,5,0,172,
按照,ànzhào,according to,按照计划，我们明天出发。事态没有完全按照计划发展。,3,1.7,5,0,173,
记录,jìlù,"verb: to record
noun: record / notes",请记录下会议内容，这份记录会上传给大家。,3,1.7,5,0,174,
课程,kèchéng,noun: course / curriculum,下学期我选修了三门新课程。,3,1.7,5,0,175,
利用,lìyòng,verb: to use / make use of,我们可以利用这段时间复习功课。,3,1.7,5,0,176,
生命,shēngmìng,noun: life (biological concept),我们应该珍惜每一条生命。,3,1.7,5,0,177,
文字,wénzì,noun: characters / script / written language,汉字是世界上最古老的文字之一。,3,1.7,5,0,178,
制作,zhìzuò,"verb: to make / to produce (especially media, craft, food)",这部纪录片制作精良。,3,1.7,5,0,179,
自从,zìcóng,preposition: since (a certain time),自从搬家后，我们联系少了。,3,1.7,5,0,180,
自然,zìrán,"noun: nature
adjective: natural
adverb: naturally",他热爱自然，说话也非常自然。,3,1.7,5,0,181,
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,4,1.7,5,0,182,
拒绝,jùjué,verb: to refuse,她礼貌但坚定地拒绝了那份不适合自己的工作。,5,1.7,5,0,183,
上班,shàngbān,go to work,我早上九点上班,1,1.8,哪些,0,184,
对话,duìhuà,dialogue,这是一段很有趣的对话,2,1.8,5,0,185,
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,2,1.8,5,0,186,
好处,hǎochu,benefit,多运动对身体有好处。,2,1.8,5,0,187,
忽然,hūrán,suddenly,天气忽然变冷了。,2,1.8,5,0,188,
进行,jìnxíng,"Verb: to carry out,"" ""to conduct,"" ""to engage in,"" or ""to be in progress. If this word is used before a verb, the word that follows it must be a noun that represents an action or a process (usually two syllables).",比赛正在进行中。,2,1.8,5,0,189,
句子,jùzi,sentence,请用这个词造一个句子。,2,1.8,5,0,190,
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,2,1.8,5,0,191,
说明,shuōmíng,to explain / instructions,请先看一下产品说明。,2,1.8,5,0,192,
特点,tèdiǎn,characteristic / feature,这家饭店的特点是菜又快又好吃,2,1.8,5,0,193,
通过,tōngguò,to pass / through,他顺利通过了考试,2,1.8,5,0,194,
相同,xiāngtóng," Describes two or more things as being exactly the same, with no difference.",他们的看法不完全相同。,2,1.8,5,0,195,
行为,xíngwéi,behavior,这种行为是不被接受的。,2,1.8,5,0,196,
信心,xìnxīn,confidence,我对这次考试很有信心。,2,1.8,5,0,197,
要求,yāoqiú,"asking firmly,"" ""insisting,"" or ""demanding.""",我要求你马上离开,2,1.8,5,0,198,
以下,yǐxià,below,这个活动适合12岁以下的孩子,2,1.8,5,0,199,
原因,yuányīn,Reason,他迟到的原因是堵车。,2,1.8,5,0,200,
语言,yǔyán,anguage,汉语是一种非常有趣的语言。,2,1.8,5,0,201,
正确,zhèngquè,Correct,你的答案是正确的。,2,1.8,5,0,202,
作用,zuòyòng,"""Noun: effect / influence / impact (the result or change produced by an action, substance, or event)
Noun: function / role / purpose (the specific job or usefulness that an object, person, or organization has)
Verb: to act on / to affect / to exert an influence on (scientific or formal context where one force or substance physically or chemically alters another)""",这种药的作用很快。,2,1.8,5,0,203,
变化,biànhuà,change (noun),这里的变化很大。,3,1.8,5,0,204,
表达,biǎodá,"express, convey, or voice something,",她很善于表达自己的想法。,3,1.8,5,0,205,
表现,biǎoxiàn,"to behave (verb)
performance (noun)",他在比赛中表现得很勇敢. 根据你的表现，我们会考虑给你升职,3,1.8,5,0,206,
对方,duìfāng,"When in a relationship, we should consider things more from the [other person's] perspective.",谈恋爱的时候，我们要多站在对方的角度考虑问题。,3,1.8,5,0,207,
对方,duìfāng,"If the [other party] does not agree to this price, we may need to renegotiate.",如果对方不同意这个价格，我们可能需要重新谈判。,3,1.8,5,0,208,
对方,duìfāng,The [opponent's] defense is very strong; it's hard for us to find a breakthrough.,对方的防守非常强，我们很难找到突破口。,3,1.8,5,0,209,
反应,fǎnyìng,"noun: reaction / response
verb: to react / to respond",这个药的反应很快，他对医生的提问也反应迅速。,3,1.8,5,0,210,
负责,fùzé,"verb: to be responsible for
adjective: responsible",他负责整个项目，是个非常负责的人。,3,1.8,5,0,211,
感受,gǎnshòu,"noun: feeling / experience
verb: to feel / to experience",他能感受别人的情绪，他的感受也很细腻。,3,1.8,5,0,212,
更加,gèngjiā,adverb: even more,这次经历让他更加成熟。,3,1.8,5,0,213,
国庆,guóqìng,noun: National Day,国庆期间，广场上举行了庆祝活动。,3,1.8,5,0,214,
交流,jiāoliú,"verb: to exchange (ideas, cultures) / to communicate
noun: communication / exchange",中外学生之间的文化交流非常有趣。,3,1.8,5,0,215,
解决,jiějué,Verb: to solve / to settle,这个问题已经顺利解决。,3,1.8,5,0,216,
景色,jǐngsè,Noun: scenery / view,山上的景色非常迷人，特别适合拍照。,3,1.8,5,0,217,
举办,jǔbàn,"Verb: to host / to hold (an event, competition, etc.)",学校将于下个月举办一次科技展览。,3,1.8,5,0,218,
理由,lǐyóu,noun: reason / justification,你迟到的理由是什么？,3,1.8,5,0,219,
失去,shīqù,"verb: to lose (abstract things: trust, hope, opportunity)",失去信任比失去金钱更可怕。,3,1.8,5,0,220,
受伤,shòushāng,verb: to get injured / to be hurt,他在比赛中不小心受伤了。,3,1.8,5,0,221,
文章,wénzhāng,noun: article / essay,这篇文章内容丰富，语言流畅。,3,1.8,5,0,222,
作者,zuòzhě,general term for the creator of any written work.,作者在书里写下了自己的经历。,3,1.8,5,0,223,
吃惊,chījīng,verb: to be shocked / surprised,听到他突然辞职的消息，大家都很吃惊。,4,1.8,5,0,224,
植物,zhíwù,noun: plant,这种植物需要阳光和水才能生长良好。,4,1.8,5,0,225,
课室,kèshì,class room,学生们正在课室里上课。,Unknown,1.8,5,0,226,
开车,kāichē,I don’t know how [to drive],我不会[开车]。,1,1.9,5,0,227,
开车,kāichē,"On the [drive] back, let's stop by a convenience stall.",[开车]回来的路上，我们去一下便利店吧。,1,1.9,5,0,228,
开车,kāichē,Let's [drive] to town.,我们[开车]进城吧。,1,1.9,5,0,229,
开车,kāichē,He is currently [driving] on the road.,他正在[开车]。,1,1.9,5,0,230,
部分,bùfen,Part,我只看了这本书的一部分,2,1.9,5,0,231,
方向,fāngxiàng,direction,请问火车站的方向是哪边？,2,1.9,5,0,232,
坏处,huàichù,disadvantage; harm,抽烟对身体有坏处。,2,1.9,5,0,233,
提出,tíchū,put forward; propose; raise,他在会议上提出了一个好建议。,2,1.9,5,0,234,
城市,chéngshì,noun: city,这个城市的夜景非常美丽。,3,1.9,5,0,235,
管理,guǎnlǐ,"verb: to manage / to administer
noun: management",他负责公司的人事管理，他的管理方式非常有效。,3,1.9,5,0,236,
过程,guòchéng,noun: process,学习是一个长期的过程。,3,1.9,5,0,237,
理解,lǐjiě,"verb: to understand (ideas, reasoning, emotions)
noun: understanding",我能理解你的决定，也感谢你的理解。,3,1.9,5,0,238,
破坏,pòhuài,"verb: to destroy / to sabotage
noun: destruction / damage",这场暴风雨破坏了很多建筑，破坏程度非常严重。,3,1.9,5,0,239,
千万,qiānwàn,adverb: must / by all means (used for strong advice or warning),你千万别迟到，这是一次很重要的会议。,3,1.9,5,0,240,
生动,shēngdòng,adjective: vivid / lively,老师讲故事的方式非常生动。,3,1.9,5,0,241,
营养,yíngyǎng,"noun: nutrition
adjective: nutritious (used attributively)",这顿饭非常有营养，营养成分也很均衡。,3,1.9,5,0,242,
直到,zhídào,preposition/conjunction: until,我一直等你，直到天黑你也没来。,3,1.9,5,0,243,
渐渐,jiànjiàn,adverb: gradually,天渐渐亮了，我们也该出发了。,4,1.9,5,0,244,
激动,jīdòng,"adjective: excited; emotionally stirred
verb: to excite; to move emotionally",听到这个消息，他激动得说不出话，这个结果也让家人十分激动。,4,1.9,5,0,245,
菜单,càidān,menu,菜单上有很多素菜,2,2.1,5,0,246,
成绩,chéngjì,results,她的考试成绩非常好,2,2.1,5,0,247,
广场,guǎngchǎng,square (not the shape),孩子们在广场上玩游戏。,2,2.1,5,0,248,
节日,jiérì,festival,春节是中国最重要的节日。,2,2.1,5,0,249,
请求,qǐngqiú,"""asking nicely"" or ""pleading,""",我请求老板给我一天假。,2,2.1,5,0,250,
球队,qiúduì,sports team,他是学校足球队的队员。,2,2.1,5,0,251,
热情,rèqíng,"""Noun / Adjective: enthusiasm / passion / warmth (in regards to one's attitude, hobbies, or life)
Noun / Adjective: hospitality / welcoming / hospitable (in regards to hosting guests or treating outsiders)""",老师对我们非常热情。,2,2.1,5,0,252,
司机,sījī,Driver,司机已经在楼下等你了。,2,2.1,5,0,253,
早晨,zǎochén,morning,我喜欢早晨在公园跑步,2,2.1,5,0,254,
保证,bǎozhèng,to guarantee / guarantee,我保证明天准时到,3,2.1,5,0,255,
带领,dàilǐng,verb: to lead (people),他带领学生们参观博物馆。,3,2.1,5,0,256,
队员,duìyuán,noun: team member,每个队员都为胜利做出了贡献。,3,2.1,5,0,257,
感冒,gǎnmào,"verb: to catch a cold
noun: cold (illness)",他感冒了，这次感冒让他整整躺了三天。,3,2.1,5,0,258,
环保,huánbǎo,noun/adjective: environmental protection / eco-friendly,我们应该使用更多环保产品。,3,2.1,5,0,259,
任何,rènhé,pronoun: any / whatever / whichever,在这里，不允许任何形式的暴力。,3,2.1,5,0,260,
人员,rényuán,noun: personnel / staff / crew (always used in conjuction with a modifer),现场已有救援人员到达。,3,2.1,5,0,261,
生长,shēngzhǎng,"verb: to grow (biology, people, plants)",这棵树生长得非常健康。,3,2.1,5,0,262,
速度,sùdù,noun: speed / pace / rate,请控制行车速度，注意安全。,3,2.1,5,0,263,
现场,xiànchǎng,noun: on-site / scene (of an event),记者正在从事故现场进行直播。,3,2.1,5,0,264,
