Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color,Encountered,ID
自然,zìrán,"noun: nature
adjective: natural
adverb: naturally",他热爱自然，说话也非常自然。,He loves nature and speaks very naturally.,Band3,1.7,5,0,174
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,He always arrives at the office on time and is never late.,Band4,1.7,5,0,175
拒绝,jùjué,verb: to refuse,她礼貌但坚定地拒绝了那份不适合自己的工作。,She politely but firmly refused the job that didn’t suit her.,Band5,1.7,5,0,176
上班,shàngbān,go to work,我早上九点上班,I start work at 9 a.m.,Band1,1.8,5,0,177
对话,duìhuà,dialogue,这是一段很有趣的对话,This is a very interesting dialogue.,Band2,1.8,5,0,178
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,We need to improve our work in every aspect.,Band2,1.8,5,0,179
好处,hǎochu,benefit,多运动对身体有好处。,Exercising more is beneficial for your health.,Band2,1.8,5,0,180
忽然,hūrán,suddenly,天气忽然变冷了。,The weather suddenly turned cold.,Band2,1.8,5,0,181
进行,jìnxíng,to carry out / to proceed,比赛正在进行中。,The competition is in progress.,Band2,1.8,5,0,182
句子,jùzi,sentence,请用这个词造一个句子。,Please make a sentence with this word.,Band2,1.8,5,0,183
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,"He’s usually quiet, but he’s very excited today.",Band2,1.8,5,0,184
说明,shuōmíng,to explain / instructions,请先看一下产品说明。,Please read the product instructions first.,Band2,1.8,5,0,185
特点,tèdiǎn,characteristic / feature,这家饭店的特点是菜又快又好吃,The special feature of this restaurant is that the food is fast and delicious.,Band2,1.8,5,0,186
通过,tōngguò,to pass / through,他顺利通过了考试,He passed the exam successfully.,Band2,1.8,5,0,187
相同,xiāngtóng," Describes two or more things as being exactly the same, with no difference.",他们的看法不完全相同。,Their opinions are not exactly the same.,Band2,1.8,5,0,188
行为,xíngwéi,behavior,这种行为是不被接受的。,This kind of behavior is unacceptable.,Band2,1.8,5,0,189
信心,xìnxīn,confidence,我对这次考试很有信心。,I’m confident about this exam.,Band2,1.8,5,0,190
要求,yāoqiú,"asking firmly,"" ""insisting,"" or ""demanding.""",我要求你马上离开,I demand that you leave immediately!,Band2,1.8,5,0,191
以下,yǐxià,below,这个活动适合12岁以下的孩子,This activity is suitable for kids under 12.,Band2,1.8,5,0,192
原因,yuányīn,Reason,他迟到的原因是堵车。,The reason he was late was traffic.,Band2,1.8,5,0,193
语言,yǔyán,anguage,汉语是一种非常有趣的语言。,Chinese is a very interesting language.,Band2,1.8,5,0,194
正确,zhèngquè,Correct,你的答案是正确的。,Your answer is correct.,Band2,1.8,5,0,195
作用,zuòyòng,Effect,这种药的作用很快。,This medicine works quickly.,Band2,1.8,5,0,196
变化,biànhuà,change (noun),这里的变化很大。,There’s been a big change here.,Band3,1.8,5,0,197
表达,biǎodá,"express, convey, or voice something,",她很善于表达自己的想法。,She’s good at expressing her ideas.,Band3,1.8,5,0,198
表现,biǎoxiàn,"to behave (verb)
performance (noun)",他在比赛中表现得很勇敢. 根据你的表现，我们会考虑给你升职,"He performed very bravely in the competition. Based on your performance, we will consider giving you a promotion.",Band3,1.8,5,0,199
对方,duìfāng,noun: the other side / the other party,通话时请尊重对方，不要打断。,Please respect the other party during a call and don’t interrupt.,Band3,1.8,5,0,200
反应,fǎnyìng,"noun: reaction / response
verb: to react / to respond",这个药的反应很快，他对医生的提问也反应迅速。,"This medicine works quickly, and he also responded swiftly to the doctor’s questions.",Band3,1.8,5,0,201
负责,fùzé,"verb: to be responsible for
adjective: responsible",他负责整个项目，是个非常负责的人。,He’s in charge of the whole project and is a very responsible person.,Band3,1.8,5,0,202
