Chinese Word,Chinese Sentence,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Wrong Answer 4,Color,ID
表现,她最近的工作____比以前进步很多。,表达,表示,,,5,60
表现,他在压力下____得很冷静。,表达,表示,,,5,61
表现,她面对困难时____出了很强的耐心。,表达,表示,,,5,62
表现,这个学生在课堂上____得很积极。,表达,表示,,,5,63
表现,老师表扬了他在学校的良好____。,表达,表示,,,5,64
表现,他的课堂____一直很认真。,表达,表示,,,5,65
表现,这个孩子今天的____比昨天好多了。,表达,表示,,,5,66
表现,这部电影____了人性的复杂。,表达,表示,,,5,67
表现,这首歌____了离别时的伤感。,表达,表示,,,5,68
表现,作者通过这个角色____了社会压力。,表达,表示,,,5,69
负责,这个项目由谁____？,责任,,,,5,70
负责,她主要____和客户沟通。,责任,,,,5,71
负责,我____检查最后的报告。,责任,,,,5,72
负责,这件事不是我____的范围。,责任,,,,5,73
负责,他对自己的工作很____。,责任,,,,5,74
责任,这是你的____，不能推给别人。,负责,,,,5,75
责任,做错了事情，就要承担____。,负责,,,,5,76
责任,每个员工都有保护资料安全的____。,负责,,,,5,77
责任,他不想逃避自己的____。,负责,,,,5,78
责任,父母对孩子有照顾和教育的____。,负责,,,,5,79
通过,我们____考试以后，就可以进入下一阶段。,经过,,,,5,80
通过,他____努力，终于解决了这个问题。,经过,,,,5,81
通过,你可以____这个网站报名参加活动。,经过,,,,5,82
通过,公司____了新的管理规定。,经过,,,,5,83
通过,我是____朋友介绍认识他的。,经过,,,,5,84
经过,我每天上班都会____那个公园。,通过,,,,5,85
经过,____三个月的训练，他的中文进步了很多。,通过,,,,5,86
经过,这件事____讨论以后，大家才做出决定。,通过,,,,5,87
经过,火车____很多城市，最后到达北京。,通过,,,,5,88
经过,____这次失败，他变得更成熟了。,通过,,,,5,89
阅读,这个网站适合练习中文____。,读,朗读,,,5,90
阅读,老师让我们提高____能力。,读,朗读,,,5,91
阅读,这篇文章不难，很适合初学者____。,读,朗读,,,5,92
读,你能帮我____一下这个汉字吗？,阅读,朗读,,,5,93
读,我小时候很喜欢____故事书。,阅读,朗读,,,5,94
读,这个词怎么____？,阅读,朗读,,,5,95
读,他正在大学____中文。,阅读,朗读,,,5,96
读,我还没____完这本书。,阅读,朗读,,,5,97
朗读,请你把这段课文大声____出来。,阅读,读,,,5,98
朗读,老师让每个学生轮流____句子。,阅读,读,,,5,99
朗读,他每天练习____中文，提高发音。,阅读,读,,,5,100
朗读,她在比赛中____了一首诗。,阅读,读,,,5,101
朗读,学生们一起____课文，声音很整齐。,阅读,读,,,5,102
希望,我____明年能去中国旅行。,愿望,,,,5,103
希望,他____以后可以找到一份好工作。,愿望,,,,5,104
希望,我____你能认真考虑这个问题。,愿望,,,,5,105
希望,老师____我们每天都练习中文。,愿望,,,,5,106
希望,她____这次考试可以顺利通过。,愿望,,,,5,107
愿望,我的____是以后能说一口流利的中文。,希望,,,,5,108
愿望,他从小就有一个当医生的____。,希望,,,,5,109
愿望,新年到了，大家都写下了自己的____。,希望,,,,5,110
愿望,她最大的____是让家人过上更好的生活。,希望,,,,5,111
愿望,这个孩子终于实现了自己的____。,希望,,,,5,112
遇见,我昨天在地铁站____了一个老朋友。,遇到,碰巧,,,5,113
遇见,她在旅行的时候____了现在的丈夫。,遇到,碰巧,,,5,114
遇见,我没想到会在这里____你。,遇到,碰巧,,,5,115
遇见,他第一次____老师的时候，有点紧张。,遇到,碰巧,,,5,116
遇见,如果以后再____他，我一定会跟他打招呼。,遇到,碰巧,,,5,117
遇到,我今天____了一个很难的问题。,遇见,碰巧,,,5,118
遇到,如果你____不懂的词，可以先查字典。,遇见,碰巧,,,5,119
遇到,她在工作中____了很多挑战。,遇见,碰巧,,,5,120
遇到,我们出门的时候____了大雨。,遇见,碰巧,,,5,121
遇到,他最近____了一些麻烦，需要别人帮忙。,遇见,碰巧,,,5,122
碰巧,我____在附近，所以顺便来看你。,遇见,遇到,,,5,123
碰巧,他____听到了我们的谈话。,遇见,遇到,,,5,124
碰巧,我们____坐了同一班飞机。,遇见,遇到,,,5,125
碰巧,她____有空，就答应陪我一起去。,遇见,遇到,,,5,126
碰巧,我____看见了那条消息，才知道会议改时间了。,遇见,遇到,,,5,127
欣赏,我很____他的写作风格，觉得很自然。,佩服,崇拜,敬佩,,5,128
欣赏,她喜欢____古典音乐，也喜欢看画展。,佩服,崇拜,敬佩,,5,129
欣赏,老师很____这个学生的创造力。,佩服,崇拜,敬佩,,5,130
欣赏,我们站在山顶上____美丽的风景。,佩服,崇拜,敬佩,,5,131
欣赏,他不一定同意你的想法，但很____你的勇气。,佩服,崇拜,敬佩,,5,132
佩服,我很____他每天坚持学习中文。,欣赏,崇拜,敬佩,,5,133
佩服,她敢一个人去国外生活，我真的很____她。,欣赏,崇拜,敬佩,,5,134
佩服,我____你的记忆力，生词看一遍就能记住。,欣赏,崇拜,敬佩,,5,135
佩服,他遇到问题从不放弃，这一点让我很____。,欣赏,崇拜,敬佩,,5,136
佩服,你能把这么难的事情解释清楚，我很____。,欣赏,崇拜,敬佩,,5,137
崇拜,他从小就____那位著名的篮球运动员。,欣赏,佩服,敬佩,,5,138
崇拜,她非常____这个歌手，几乎每场演唱会都会去。,欣赏,佩服,敬佩,,5,139
崇拜,有些学生太____名人，反而忽略了自己的生活。,欣赏,佩服,敬佩,,5,140
崇拜,他很____自己的哥哥，觉得哥哥什么都做得很好。,欣赏,佩服,敬佩,,5,141
崇拜,年轻的时候，我曾经很____那些成功的企业家。,欣赏,佩服,敬佩,,5,142
敬佩,我非常____那些愿意帮助别人的医生。,欣赏,佩服,崇拜,,5,143
敬佩,他虽然年纪很大了，但还坚持学习，这让我很____。,欣赏,佩服,崇拜,,5,144
敬佩,大家都很____她诚实又负责的态度。,欣赏,佩服,崇拜,,5,145
敬佩,我____老师对学生的耐心和认真。,欣赏,佩服,崇拜,,5,146
敬佩,他为了保护别人冒了很大的风险，令人____。,欣赏,佩服,崇拜,,5,147
愉快,祝你周末____！,快乐,高兴,开心,,5,148
愉快,我们度过了一个非常____的下午。,快乐,高兴,开心,,5,149
愉快,和他们一起合作的过程很____。,快乐,高兴,开心,,5,150
快乐,我希望你每天都能____地生活。,愉快,高兴,开心,,5,151
快乐,对他来说，帮助别人是一件很____的事。,愉快,高兴,开心,,5,152
高兴,听到这个消息，我非常____。,愉快,快乐,开心,,5,153
高兴,老师看到我们的进步，很____。,愉快,快乐,开心,,5,154
高兴,他今天看起来很____，可能是考试通过了。,愉快,快乐,开心,,5,155
高兴,你能来参加我的生日会，我真的很____。,愉快,快乐,开心,,5,156
高兴,她收到朋友的礼物以后，____得说不出话来。,愉快,快乐,开心,,5,157
开心,今天和朋友一起吃饭，我很____。,愉快,快乐,高兴,,5,158
开心,他讲了一个笑话，大家都很____。,愉快,快乐,高兴,,5,159
开心,我们玩了一整天，玩得特别____。,愉快,快乐,高兴,,5,160
交流,我们需要多____，才能更了解彼此的想法。,交换,,,,5,161
交流,这次会议主要是让不同部门____经验。,交换,,,,5,162
交流,学语言的时候，和母语者____很重要。,交换,,,,5,163
交流,老师鼓励学生用中文____。,交换,,,,5,164
交流,如果有问题，你应该主动和同事____。,交换,,,,5,165
交换,我们可以____电话号码，以后方便联系。,交流,,,,5,166
交换,会议结束后，大家互相____了名片。,交流,,,,5,167
交换,两个学生____了座位，因为他们想坐得近一点。,交流,,,,5,168
交换,我想和你____一下意见，看看你的想法。,交流,,,,5,169
交换,他们在活动中____了礼物。,交流,,,,5,170
对话,这篇课文的内容是一段老师和学生之间的____。,交流,聊天,,,5,171
对话,请两个人一组，练习这段中文____。,交流,聊天,,,5,172
对话,电影里的这段____很自然，听起来像真实生活。,交流,聊天,,,5,173
对话,老师让我们把这段____读出来。,交流,聊天,,,5,174
对话,这本书用了很多____来推动故事发展。,交流,聊天,,,5,175
聊天,下班以后，我们常常一起喝咖啡、____。,交流,对话,,,5,176
聊天,他喜欢在网上和朋友____。,交流,对话,,,5,177
聊天,我们只是随便____，没有谈什么重要的事。,交流,对话,,,5,178
聊天,她一边吃饭，一边和同学____。,交流,对话,,,5,179
聊天,他们坐在客厅里____了很久。,交流,对话,,,5,180
观察,科学家正在____这种动物的生活习惯。,观看,察看,考察,,5,181
观察,老师让我们仔细____植物每天的变化。,观看,察看,考察,,5,182
观察,他很会____别人的表情，所以常常能猜到对方的想法。,观看,察看,考察,,5,183
观察,做实验的时候，学生要认真____结果。,观看,察看,考察,,5,184
观察,医生需要继续____病人的情况。,观看,察看,考察,,5,185
观看,我们晚上一起____了一部中文电影。,观察,察看,考察,,5,186
观看,很多人在电视上____这场比赛。,观察,察看,考察,,5,187
观看,学生们安静地____老师的示范。,观察,察看,考察,,5,188
观看,这个视频适合初学者____和学习发音。,观察,察看,考察,,5,189
观看,他们坐在礼堂里____表演。,观察,察看,考察,,5,190
察看,保安走过去____门有没有锁好。,观察,观看,考察,,5,191
察看,工程师正在____机器出现问题的地方。,观察,观看,考察,,5,192
察看,老师走到教室后面，____学生的作业情况。,观察,观看,考察,,5,193
察看,警察到现场____具体情况。,观察,观看,考察,,5,194
察看,请你先____文件内容，再决定要不要提交。,观察,观看,考察,,5,195
考察,公司派他去上海____当地市场。,观察,观看,察看,,5,196
考察,学校组织学生去博物馆____历史文化。,观察,观看,察看,,5,197
考察,经理想____这个员工的实际能力。,观察,观看,察看,,5,198
考察,研究团队去了农村，____当地的教育情况。,观察,观看,察看,,5,199
考察,这个项目还需要进一步____，不能马上决定。,观察,观看,察看,,5,200
保持,请大家____安静，不要影响别人。,维持,坚持,保存,,5,201
保持,他每天运动，所以一直____很好的身体状态。,维持,坚持,保存,,5,202
保持,学习语言需要____耐心，不能太着急。,维持,坚持,保存,,5,203
保持,我们应该____联系，不要很久都不说话。,维持,坚持,保存,,5,204
保持,开车的时候，要和前面的车____安全距离。,维持,坚持,保存,,5,205
维持,这个家庭主要靠父亲的收入____生活。,保持,坚持,保存,,5,206
维持,警察在现场____秩序，避免发生混乱。,保持,坚持,保存,,5,207
维持,公司正在想办法____正常运营。,保持,坚持,保存,,5,208
维持,这台机器需要定期检查，才能____稳定运行。,保持,坚持,保存,,5,209
维持,他们的关系只是表面上____着和平。,保持,坚持,保存,,5,210
坚持,他每天____练习中文，所以进步很快。,保持,维持,保存,,5,211
坚持,虽然很累，她还是____把作业做完。,保持,维持,保存,,5,212
坚持,如果你____自己的想法，就应该说清楚理由。,保持,维持,保存,,5,213
坚持,他____认为这个决定是正确的。,保持,维持,保存,,5,214
坚持,学习一门语言，最难的是长期____下去。,保持,维持,保存,,5,215
保存,写完文件以后，记得先____再关闭电脑。,保持,维持,坚持,,5,216
保存,这些照片我一直____在手机里。,保持,维持,坚持,,5,217
保存,请把重要资料____到公司的共享文件夹。,保持,维持,坚持,,5,218
保存,这个按钮可以____你刚才修改的内容。,保持,维持,坚持,,5,219
保存,她把小时候收到的信都____了下来。,保持,维持,坚持,,5,220
反复,他____检查文件，怕里面还有错误。,一再,屡次,再三,,5,221
反复,我____练习这个发音，终于说得比较自然了。,不断,老是,屡次,,5,222
反复,这个问题已经____讨论过了，不需要再说一次。,一再,再三,不断,,5,223
反复,她____修改文章，直到自己满意为止。,老是,屡次,一再,,5,224
再三,父母____提醒他出门要小心。,反复,一再,不断,,5,225
再三,老师____强调，考试时一定要看清题目。,不断,一再,屡次,,5,226
再三,他____道歉，希望对方能原谅他。,反复,老是,不断,,5,227
屡次,他____迟到，所以被老师批评了。,老是,再三,不断,,5,228
屡次,这个问题____出现，说明系统可能有漏洞。,反复,一再,老是,,5,229
屡次,公司____收到客户投诉，必须认真处理。,再三,不断,反复,,5,230
屡次,他____违反规定，最后被取消了资格。,一再,老是,再三,,5,231
一再,老师____提醒我们不要忘记带课本。,再三,老是,屡次,,5,232
一再,他____解释自己不是故意的。,反复,不断,再三,,5,233
一再,公司____推迟会议，让大家有点不满。,屡次,老是,不断,,5,234
一再,我已经____说明这个问题，但他还是没听懂。,反复,再三,屡次,,5,235
一再,她____拒绝对方的邀请，因为真的没有时间。,老是,不断,反复,,5,236
老是,他____忘记关灯，真让人头疼。,屡次,一再,再三,,5,237
老是,你____看手机，难怪听不懂老师在讲什么。,不断,反复,屡次,,5,238
老是,这台电脑____出问题，我想换一台新的。,一再,再三,不断,,5,239
老是,他____把“以后”和“之后”用错。,反复,屡次,再三,,5,240
老是,她____抱怨工作太多，却不想办法安排时间。,不断,一再,反复,,5,241
不断,科技____发展，很多工作方式也改变了。,反复,老是,再三,,5,242
不断,他____努力，终于通过了考试。,一再,屡次,老是,,5,243
不断,这几年，城市的交通系统____改善。,再三,反复,一再,,5,244
不断,学习语言需要____输入和练习。,老是,屡次,再三,,5,245
不断,雨____地下了一整天，路上很湿。,一再,反复,老是,,5,246
把,请你____门关上，外面太吵了。,被,,,,5,247
把,我已经____作业做完了。,被,,,,5,248
把,他不小心____杯子打破了。,被,,,,5,249
把,她____重要的文件放在桌上。,被,,,,5,250
把,老师让我们____这个句子改得更自然一点。,被,,,,5,251
被,我的手机昨天____别人拿走了。,把,,,,5,252
被,这个问题____老师解释清楚了。,把,,,,5,253
被,他____公司派去上海出差。,把,,,,5,254
被,那本书____我放在书包里了。,把,,,,5,255
被,她的建议____大家接受了。,把,,,,5,256
才,我等了半个小时，他____到。,就,,,,5,257
才,他做完作业以后，____可以出去玩。,就,,,,5,258
才,我看了老师的解释，____明白这个语法点。,就,,,,5,259
才,她昨天晚上十二点____睡觉，所以今天很累。,就,,,,5,260
才,这本书我读了三遍，____看懂里面的意思。,就,,,,5,261
才,他学中文学了一年，____敢跟中国人聊天。,就,,,,5,262
才,我到了车站以后，____发现自己忘了带钱包。,就,,,,5,263
才,会议开了两个小时，大家____决定下一步怎么做。,就,,,,5,264
才,他三十岁____开始认真学习英语。,就,,,,5,265
才,我问了很多人，____找到正确的答案。,就,,,,5,266
就,我一到家，____开始做作业。,才,,,,5,267
就,他刚坐下，老师____开始上课了。,才,,,,5,268
就,如果你有问题，____直接问我。,才,,,,5,269
就,这件事很简单，我十分钟____做完了。,才,,,,5,270
就,他每天早上六点____起床。,才,,,,5,271
就,我听了一遍，____记住了这个词。,才,,,,5,272
就,你只要多练习，____会慢慢进步。,才,,,,5,273
就,她看到消息以后，马上____回复了我。,才,,,,5,274
就,我们明天____出发，不要迟到。,才,,,,5,275
就,他还没吃早饭，____去上班了。,才,,,,5,276
猛然,他听到身后的声音，____回过头来。,顿然,突然,忽然,,5,277
猛然,他____推开门，冲进了房间。,突然,顿然,忽然,,5,278
顿然,听了老师的解释以后，我____明白了这个语法点。,猛然,突然,忽然,,5,279
顿然,经过这次失败，他____明白了努力的重要。,猛然,忽然,突然,,5,280
突然,他____问了一个很奇怪的问题。,忽然,猛然,顿然,,5,281
突然,她____站起来，说自己有事要先走。,顿然,猛然,忽然,,5,282
忽然,我走在路上，____看见了一个老朋友。,突然,猛然,顿然,,5,283
突然,他写作业的时候，____想到了一个好办法。,猛然,忽然,顿然,,5,284
忽然,风____大了起来，窗户被吹得一直响。,突然,顿然,猛然,,5,285
忽然,她____笑了，好像想起了什么有趣的事。,猛然,顿然,突然,,5,286
顿然,我本来很紧张，听到他的安慰以后____放松了。,忽然,突然,猛然,,5,287
突然,车子____停了下来，大家都吓了一跳。,忽然,顿然,猛然,,5,288
偶然间,我昨天____看到了一篇很有意思的中文文章。,偶然,正巧/恰巧,,,5,289
偶然,他____听到老师说考试改时间了。,偶然间,正巧/恰巧,,,5,290
偶然,我是在一次活动中____认识她的。,正巧/恰巧,偶然间,,,5,291
偶然间,她____发现这家小店的面很好吃。,偶然,正巧/恰巧,,,5,292
偶然间,我____翻到以前的照片，才想起那次旅行。,正巧/恰巧,偶然,,,5,293
偶然间,我____看见了他写在书里的名字。,偶然,正巧/恰巧,,,5,294
偶然,他____听到朋友提起这个机会，就去试了试。,正巧/恰巧,偶然间,,,5,295
偶然间,她____发现自己小时候住过的地方已经变了。,偶然,正巧/恰巧,,,5,296
偶然间,我____看到一条旧消息，才知道自己忘了回复。,偶然,正巧/恰巧,,,5,297
偶然间,他____走进那家书店，买到了找了很久的书。,正巧/恰巧,偶然,,,5,298
正巧/恰巧,我们到车站的时候，车____刚刚进站。,偶然间,偶然,,,5,299
正巧/恰巧,老师问的问题，____是我昨天复习过的内容。,偶然,偶然间,,,5,300
正巧/恰巧,我刚准备出门，____朋友来找我。,偶然,偶然间,,,5,301
正巧/恰巧,他想找人帮忙，____我那天有空。,偶然间,偶然,,,5,302
正巧/恰巧,我路过学校门口，____看见老师走出来。,偶然,偶然间,,,5,303
以免,请你早点出门，____上班迟到。,以便,所以,于是,,5,304
以免,重要文件要先保存，____电脑突然出问题。,所以,于是,以便,,5,305
以免,老师把规则说清楚，____学生误会。,于是,以便,所以,,5,306
以免,下雨天开车要慢一点，____发生危险。,以便,于是,所以,,5,307
以免,请把门关好，____冷空气进来。,所以,以便,于是,,5,308
以便,我把资料整理好了，____大家查找。,以免,所以,于是,,5,309
以便,请提前告诉我时间，____我安排工作。,所以,于是,以免,,5,310
以便,老师把重点写在黑板上，____学生复习。,于是,以免,所以,,5,311
以便,公司建立了新的系统，____员工提交申请。,以免,于是,所以,,5,312
以便,你可以把问题标出来，____以后再问老师。,所以,以免,于是,,5,313
所以,他昨天睡得很晚，____今天上课很困。,以免,以便,所以,,5,314
于是,这道题我看不懂，____去问了老师。,于是,以免,以便,,5,315
所以,今天下大雨，____我们决定不出门。,以便,于是,以免,,5,316
所以,她最近工作很多，____没有时间参加聚会。,以免,于是,以便,,5,317
所以,我忘了保存文件，____刚才写的内容都没了。,于是,以便,以免,,5,318
于是,他发现地址写错了，____马上把邮件改掉。,所以,以免,以便,,5,319
于是,我听不懂老师的话，____请同学帮我解释。,以便,所以,以免,,5,320
于是,她觉得这个方法不好，____换了另一个方法。,所以,以免,以便,,5,321
所以,大家都同意这个计划，____会议很快结束了。,以免,以便,于是,,5,322
于是,他看到天快黑了，____加快脚步回家。,所以,以便,以免,,5,323
几乎,我昨天太忙了，____没有时间吃饭。,差不多,,,,5,324
几乎,这道题太难，班上的学生____都做错了。,差不多,,,,5,325
几乎,他每天都练习中文，____没有休息过。,差不多,,,,5,326
几乎,我____听不懂他说的话，因为他说得太快了。,差不多,,,,5,327
几乎,这个房间____没有声音，安静得让人不习惯。,差不多,,,,5,328
差不多,我们____八点到达学校。,几乎,,,,5,329
差不多,这两件衣服的颜色____一样。,几乎,,,,5,330
差不多,我中文学了____一年了。,几乎,,,,5,331
差不多,这个问题我____明白了，只是还有一点不确定。,几乎,,,,5,332
差不多,他做完作业的时候，已经____十一点了。,几乎,,,,5,333
终于,我练习了很久，____能把这个句子说自然了。,最后,到底,,,5,334
终于,他找了半天，____找到了自己的钥匙。,最后,到底,,,5,335
终于,经过三个月的努力，她____通过了考试。,最后,到底,,,5,336
终于,我等了一个小时，公交车____来了。,最后,到底,,,5,337
终于,这个问题讨论了很久，____有了结果。,最后,到底,,,5,338
最后,我们先吃饭，然后去看电影，____回家。,终于,到底,,,5,339
最后,他试了很多方法，____选择了最简单的那个。,终于,到底,,,5,340
最后,会议开始时大家意见不同，____还是同意了这个方案。,终于,到底,,,5,341
最后,请你先写名字，____再检查一遍答案。,终于,到底,,,5,342
最后,故事的____，主人公离开了那个城市。,终于,到底,,,5,343
到底,你____想不想去？请给我一个明确的答案。,终于,最后,,,5,344
到底,这句话____是什么意思？我还是不太明白。,终于,最后,,,5,345
到底,他____去了哪里？大家都在找他。,终于,最后,,,5,346
到底,这个问题____应该怎么解决？,终于,最后,,,5,347
到底,我想知道你____为什么这么生气。,终于,最后,,,5,348
了解,我想多____中国文化，所以开始学中文。,理解,明白,,,5,349
了解,他对这个城市很____，知道哪里有好吃的。,理解,明白,,,5,350
了解,你先____一下公司的规定，再决定要不要申请。,理解,明白,,,5,351
了解,老师想____学生的学习情况。,理解,明白,,,5,352
了解,我不太____他的背景，只知道他以前在上海工作。,理解,明白,,,5,353
理解,我能____你的心情，但是这件事还是要处理。,了解,明白,,,5,354
理解,这篇文章的意思不难____。,了解,明白,,,5,355
理解,他虽然不同意我的决定，但还是____我的选择。,了解,明白,,,5,356
理解,如果你想____这个语法点，需要多看几个例句。,了解,明白,,,5,357
理解,父母有时候很难____孩子真正的想法。,了解,明白,,,5,358
明白,听完老师的解释，我终于____了。,了解,理解,,,5,359
明白,你____我的意思吗？,了解,理解,,,5,360
明白,我看了三遍，才____这句话是什么意思。,了解,理解,,,5,361
明白,他一听就____问题出在哪里。,了解,理解,,,5,362
明白,我不____你为什么突然改变主意。,了解,理解,,,5,363
经常,我____去那家咖啡店学习中文。,往往,通常,,,5,364
经常,他____忘记带钥匙，所以家人有点担心。,通常,往往,,,5,365
经常,她____和朋友一起练习口语。,通常,往往,,,5,366
经常,这个地方____下雨，出门最好带伞。,往往,通常,,,5,367
经常,我最近____听中文播客，提高听力。,通常,往往,,,5,368
往往,太紧张的时候，人____会忘记自己准备好的话。,经常,通常,,,5,369
往往,学语言只背单词，____很难真正说得自然。,通常,经常,,,5,370
往往,没有提前计划，事情____会变得更麻烦。,通常,经常,,,5,371
往往,工作压力太大时，人____容易忽略休息。,经常,通常,,,5,372
往往,刚开始学中文的人____会把“了”用错。,通常,经常,,,5,373
通常,我____早上七点起床，然后去上班。,经常,往往,,,5,374
通常,会议____在星期一上午举行。,往往,经常,,,5,375
通常,他____先看说明，再开始操作。,往往,经常,,,5,376
通常,这种问题____可以通过重启软件解决。,经常,往往,,,5,377
通常,我们____坐地铁去公司，因为比较方便。,往往,经常,,,5,378
认为,我____这个决定对公司很重要。,以为,觉得,,,5,379
认为,他____这个问题需要认真讨论。,觉得,以为,,,5,380
认为,很多人____学习语言最重要的是坚持。,以为,觉得,,,5,381
认为,我不____这是一个好方法。,觉得,以为,,,5,382
以为,我____今天不上课，所以没有带课本。,认为,觉得,,,5,383
以为,他____我已经知道这件事，就没有再告诉我。,觉得,认为,,,5,384
以为,我刚开始____这个语法很简单，结果越学越难。,认为,觉得,,,5,385
以为,她____会议是下午三点，没想到是两点。,觉得,认为,,,5,386
以为,我还____你生气了，原来你只是太累了。,认为,觉得,,,5,387
觉得,我____这个句子听起来不太自然。,认为,以为,,,5,388
觉得,她____今天有点冷，所以多穿了一件外套。,以为,认为,,,5,389
觉得,你____这个方法怎么样？,认为,以为,,,5,390
觉得,他说的话很有____，我们大家都听服了。,以为,认为,,,5,391
觉得,他____学习中文很有意思。,认为,以为,,,5,392
修改,这篇文章还有一些语法错误，需要再____一下。,调整,改变,变化,,5,393
修改,老师让我们把不自然的句子____得更清楚。,调整,改变,变化,,5,394
修改,我发现地址写错了，就马上____了邮件内容。,改变,调整,变化,,5,395
修改,提交报告以前，请先检查并____错误的地方。,变化,调整,改变,,5,396
修改,这个文件已经____过了，你可以重新下载。,调整,变化,改变,,5,397
调整,这个声音太大了，你可以____一下音量吗？,修改,改变,变化,,5,398
调整,公司根据新的计划____了上班时间。,改变,修改,变化,,5,399
调整,如果这个方法不合适，我们可以再____策略。,修改,变化,改变,,5,400
调整,老师____了课程内容，让学生更容易理解。,改变,修改,变化,,5,401
调整,他最近在____自己的学习习惯。,变化,修改,改变,,5,402
改变,这次经历____了他对工作的看法。,修改,调整,变化,,5,403
改变,我想____现在的生活方式，多运动一点。,调整,修改,变化,,5,404
改变,一个决定有时候会____人的一生。,变化,调整,修改,,5,405
改变,他搬到新城市以后，性格慢慢____了。,修改,变化,调整,,5,406
改变,如果结果不好，我们就需要____原来的计划。,调整,修改,变化,,5,407
变化,这几年，这个城市发生了很大的____。,修改,调整,改变,,5,408
变化,天气____太快，出门最好带外套。,改变,修改,调整,,5,409
变化,学习中文以后，我的想法有了一些____。,调整,改变,修改,,5,410
变化,他的表情没有什么____，看不出他在想什么。,修改,调整,改变,,5,411
变化,这个词的意思会根据语境____。,改变,修改,调整,,5,412
成为,他希望以后能____一名优秀的工程师。,变成,演变,,,5,413
成为,经过多年的努力，她终于____公司的经理。,变成,演变,,,5,414
成为,这件事后来____大家讨论的重点。,变成,演变,,,5,415
成为,学习中文已经____他每天生活的一部分。,变成,演变,,,5,416
成为,他在比赛中的表现让他____全校关注的人物。,变成,演变,,,5,417
变成,天气突然冷了，雨慢慢____了雪。,成为,演变,,,5,418
变成,他以前很害羞，现在____了一个很会表达的人。,成为,演变,,,5,419
