Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,
笔记本,bǐjìběn,Notebook,我买了一个新笔记本来记汉字,2,Unknown,5,
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,2,1.4,5,
必须,bǐxú,Must,你必须每天练习中文。,2,1.3,5,
不但,búdàn,not only,他不但聪明，而且非常勤奋,2,1.4,5,
部分,bùfen,Part,我只看了这本书的一部分,2,1.9,5,
不过,búguò,"adverb: however, but 
adverb: only, just",这里的菜很好吃，不过价格不过五块钱。,2,1.3,5,
不满,bùmǎn,dissatisfied,"(Adjective)员工们对新的政策感到不满
(Noun)这引起了许多人的不满",2,3.8,5,
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,2,1.4,5,
不太,bútài,not too; not very much,这个价格不太贵,2,Unknown,5,
不同,bùtóng,different,我们有不同的看法,2,1.4,5,
不一定,bùyīdìng,not necessarily; uncertain,贵的不一定就是最好的,2,2.5,5,
菜单,càidān,menu,菜单上有很多素菜,2,2.1,5,
参观,cānguān,visit,我们明天要去参观博物馆,2,1.2,5,
草地,cǎodì,lawn,孩子们在草地上玩游戏,2,1.2,5,
层,céng,noun: layer / floor (of a building),这栋楼有二十层，我的办公室在第十层。,2,Unknown,5,
常见,chángjiàn,commonly seen,这是一个很常见的问题,2,5.1,5,
常用,chángyòng,commonly used,这些是常用的汉字,2,5.3,5,
超过,chāoguò,Exceed,他的身高超过了一米八,2,Unknown,5,
超市,chāoshì,Supermarket,我去超市买点儿东西,2,4.2,5,
车辆,chēliàng,noun: vehicle,这个路口禁止一切车辆通行。,2,3.2,5,
成绩,chéngjì,results,她的考试成绩非常好,2,2.1,5,
重复,chóngfù,repeat,别总是重复同样的错误,2,2.7,5,
重新,chóngxīn,adverb: again / afresh,他决定重新开始，换了工作，也搬了新家。,2,4.2,5,
出口,chūkǒu,"noun: exit; export
verb: to export",这个商场的出口在左边，而他们主要把产品出口到国外。,2,6.2,5,
出生,chūshēng,born,他是2000年出生的。,2,3.6,5,
出院,chūyuàn,discharged; leave hospital,他昨天刚出院,2,7.16,5,
出租,chūzū,rent,这套房子正在出租,2,2.2,5,
出租车,chūzūchē,taxi,我需要叫一辆出租车,2,Unknown,5,
大部分,dàbùfèn,most,大部分学生都通过了考试,2,Unknown,5,
大多数,dàduōshù,most people; great majority of people,大多数人喜欢这个电影。,2,Unknown,5,
打工,dǎgōng,to work a part-time or casual job,很多大学生暑假去打工,2,3.5,5,
大量,dàliàng,"adjective: large amount of; massive
noun: large quantity",短时间内涌入了大量游客，景区一度很拥挤。,2,Unknown,5,
当时,dāngshí,at that time,我当时不知道该怎么办,2,1.3,5,
单位,dānwèi,"Can still refer to a person's workplace, especially in more formal or official contexts, or when the organization has some level of state affiliation.
Can also be used more generally to mean a ""unit"" within an organization or system.",我在一个政府单位工作,2,4.8,5,
道路,dào,"Scope: It tends to refer to main roads, highways, or a system of roads. It can also be used metaphorically to mean a path or way (e.g., a path to success).
Formality: It's more common in formal writing, official announcements, news reports, and technical contexts.",城市的道路越来越多了,2,5.1,5,
到处,dàochù,everywhere,节日的时候，城市里到处都是人,2,1.2,5,
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。",2,1.3,5,
打算,dǎsuàn,Plan,我打算下个月去旅行。,2,1.5,5,
大小,dàxiǎo,size,这些箱子的大小都不一样,2,5.1,5,
大衣,dàyī,overcoat,今天太冷了，我穿了大衣,2,7.16,5,
打印,dǎyìn,verb: to print,请把这份文件打印出来交给老师。,2,Unknown,5,
答应,dāying,promise,你答应过我的！,2,1.5,5,
大自然,dàzìrán,nature,我们应该保护大自然,2,2.3,5,
得出,déchū,to come to (a conclusion,我们得出了一个结论,2,Unknown,5,
等于,děngyú,Be equal to,二加二等于四,2,7.16,5,
度,dù,"noun: degree / extent / unit
verb: to spend (time, formal)",今天的温度是三十度，他决定在家度过这个炎热的下午。,2,Unknown,5,
段,duàn,paragraph,请读一下这段文章,2,Unknown,5,
短信,duǎnxìn,SMS / Text Message,我给你发了一个短信,2,2.4,5,
队,duì,team,他们是一支足球队,2,Unknown,5,
对话,duìhuà,dialogue,这是一段很有趣的对话,2,1.8,5,
对面,duìmiàn,Opposite side,银行就在学校对面,2,3.6,5,
队长,duìzhǎng,team leader; captain,队长负责安排训练,2,6.2,5,
多数,duōshù,most; majority,多数人都同意这个计划,2,2.5,5,
读音,dúyīn,pronunciation,这个汉字有两个读音,2,7.13,5,
方便,fāngbiàn,convenient,你什么时候方便见面？,2,1.5,5,
方便面,fāngbiànmiàn,noun: instant noodles,我太饿了，先泡一碗方便面吃吧。,2,Unknown,5,
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,2,1.8,5,
饭馆,fànguǎn,restaurant,这家饭馆的菜很好吃,2,Unknown,5,
方向,fāngxiàng,direction,请问火车站的方向是哪边？,2,1.9,5,
放心,fàngxīn,Don't worry,你放心，我会帮你的,2,1.5,5,
分数,fēnshù,score; mark; fraction,他的分数比我高。,2,7.6,5,
服务,fúwù,service,这家饭店的服务很好,2,1.7,5,
该,gāi,"auxiliary verb: should / ought to
pronoun: that / the said (formal/literary)",该文件已经过期，你该重新下载新的版本。,2,Unknown,5,
改变,gǎibiàn,change,你不想改变一下自己吗？,2,1.7,5,
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,2,1.5,5,
高级,gāojí,advanced / high-level,他上的是高级汉语课。,2,5.3,5,
个子,gèzi,Height,你弟弟个子真高！,2,4.2,5,
公共汽车,gōnggòngqìchē,public vehicle (formal version),这条路线的公共汽车班次不多,2,Unknown,5,
公交车,gōngjiāochē,public transport vehicle,在中国，很多人选择乘坐公交车出行,2,Unknown,5,
公斤,gōngjīn,kilogram,这个西瓜有五公斤重,2,4.3,5,
公里,gōnglǐ,kilometre,学校离我家有三公里远。,2,6.3,5,
公路,gōnglù,generally refers to a major road connecting cities and towns. (Not the same as expressway),我们沿着这条公路一直开。,2,3.8,5,
公路,gōnglù,noun: highway; road,那条公路非常宽。,2,3.8,5,
公平,gōngpíng,fair,老师对每个学生都很公平。,2,2.4,5,
公司,gōngsī,company,他在一家外国公司工作。,2,3.8,5,
观点,guāndiǎn,"viewpoint / point of view (more formal version, often used in writing, debates, essays, or academic discussions.)",我同意你的观点。,2,5.5,5,
广场,guǎngchǎng,square (not the shape),孩子们在广场上玩游戏。,2,2.1,5,
广告,guǎnggào,Advertisement,电视上正在播放一则新的广告。,2,2.3,5,
关机,guānjī,"to turn off (a machine/device),"" ""to shut down,"" or ""to power off.""",请把这个设备关机,2,Unknown,5,
顾客,gùkè,customer,顾客永远是第一位的。,2,2.3,5,
国际,guójì,international,他在一家国际学校上学。,2,6.1,5,
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,2,1.4,5,
故意,gùyì,deliberately,他不是故意打破杯子的。,2,1.5,5,
好处,hǎochu,benefit,多运动对身体有好处。,2,1.8,5,
好事,hǎoshì,good deed; good thing,他们结婚了，真是件好事！,2,2.3,5,
合适,héshì,appropriate,这件衣服对你来说很合适。,2,3.7,5,
湖,hú,lake,湖边的风景非常美丽。,2,Unknown,5,
坏处,huàichù,disadvantage; harm,抽烟对身体有坏处。,2,1.9,5,
画家,huàjiā,painter,他是一位著名的画家。,2,2.2,5,
忽然,hūrán,suddenly,天气忽然变冷了。,2,1.8,5,
护照,hùzhào,passport,出国旅行需要护照。,2,4.5,5,
急,jí,urgent;,别急，我们还有时间。,2,Unknown,5,
角,jiǎo,Animal horn,许多动物都有角，用来防御或在争斗中使用,2,Unknown,5,
角度,jiǎodù,"angle, perspective, point of view",从不同的角度看问题很重要。,2,6.1,5,
交给,jiāogěi,verb: to hand over / to give to,请把作业交给老师。,2,1.5,5,
交朋友,jiāopéngyǒu,make friends,他很容易交朋友。,2,Unknown,5,
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,2,1.5,5,
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,2,1.5,5,
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",2,1.5,5,
教学,jiàoxué,"teaching as a profession, a process, or a system","他的教学方法很有效
这所大学非常重视教学质量",2,Unknown,5,
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,2,1.5,5,
叫作,jiàozuò,"be called; be known as (used in more informal situations, names, and common terms.)",这种游戏叫作“狼人杀”。,2,Unknown,5,
家长,jiāzhǎng,parent,学校邀请家长来开会。,2,1.5,5,
接,jiē,"act of connecting, meeting, or taking",我去车站接朋友,2,Unknown,5,
街,jiē,street,这条街上有很多商店。,2,Unknown,5,
接到,jiēdào,successful completion of receiving something that was sent or communicated,我刚接到一个电话。,2,Unknown,5,
结果,jiéguǒ,Result,比赛的结果很令人满意。,2,1.4,5,
节目,jiémù,program,我最喜欢那个歌唱节目。,2,1.5,5,
节日,jiérì,festival,春节是中国最重要的节日。,2,2.1,5,
接受,jiēshòu,verb: to accept / to receive,他很快就接受了新的安排，也接受了大家的意见。,2,3.9,5,
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,2,1.7,5,
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,2,1.2,5,
计划,jìhuà,plan,我们下周有一个旅游计划。,2,2.2,5,
近,jìn,near,学校离我家很近,2,Unknown,5,
斤,jīn,此,我要买两斤苹果。,2,Unknown,5,
经过,jīngguò,后,我每天上学都会经过那家咖啡店。,2,1.5,5,
经理,jīnglǐ,manager,他是这家餐厅的经理。,2,7.15,5,
今后,jīnhòu,from now on; in the future,今后我要每天学习中文。,2,5.5,5,
进入,jìnrù,verb: to enter,请刷卡进入办公楼。,2,2.3,5,
进行,jìnxíng,to carry out / to proceed,比赛正在进行中。,2,1.8,5,
举,jǔ,to raise / to lift,请举手回答问题。,2,Unknown,5,
举行,jǔxíng,to hold (an event),学校下周将举行运动会。,2,2.2,5,
句子,jùzi,sentence,请用这个词造一个句子。,2,1.8,5,
开机,kāijī,to turn on (a machine/device),请先开机，然后登录系统,2,Unknown,5,
开学,kāixué,verb: school starts; beginning of school term,下个星期就要开学了。,2,3.6,5,
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,2,1.5,5,
靠,kào,to lean on / to rely on / to be near (very close enough),他靠在墙上. 我们靠自己的努力生活. 我们家靠着海边,2,Unknown,5,
考生,kǎoshēng,examinee,所有的考生请提前到达考场。,2,Unknown,5,
克,kè,gram,这块蛋糕有两百克。,2,Unknown,5,
刻,kè,Carve,他在石头上刻了名字。,2,Unknown,5,
可怕,kěpà,"This is used for things that cause literal fear or are objectively dangerous. In many cases, it’s used to describe a situation that is socially or professionally disastrous, rather than ""ghost-story"" scary.",这里的森林漆黑一片，感觉非常可怕。最可怕的是，我总觉得有人在背后盯着我。,2,3.7,5,
空气,kōngqì,atmosphere,山上的空气很新鲜,2,5.5,5,
快餐,kuàicān,fast food,我们中午吃快餐吧。,2,3.1,5,
来自,láizì,Come from,他来自韩国。,2,2.3,5,
老年,lǎonián,old age / elderly years,她在老年时喜欢种花。,2,3.4,5,
老是,lǎoshì,always (used negatively or to express annoyance),他上课老是迟到。,2,5.5,5,
凉快,liángkuai,cool and pleasant (weather),今天晚上挺凉快的。,2,4.5,5,
零下,língxià,below zero,昨天晚上气温降到零下五度。,2,Unknown,5,
例如,lìrú,"for example. This is used during formal and written scenarios, usually you will use 比如",很多水果都很健康，例如苹果和香蕉,2,2.4,5,
里头,lǐtou,inside (informal version),箱子里头有什么？,2,6.1,5,
流,liú,flow / shed,在筋疲力尽的战斗后，他脸上既流着痛苦的眼泪，身上又流着受伤的血，汗水也止不住地往下流。,2,Unknown,5,
流利,liúlì,fluent,他说汉语说得很流利,2,3.4,5,
流行,liúxíng,popular / fashionable,这首歌现在很流行。,2,5.2,5,
留学生,liúxuéshēng,international student,她是一名来自法国的留学生。,2,Unknown,5,
理想,lǐxiǎng,ideal / dream,我的理想是当医生。,2,2.4,5,
例子,lìzi,example,请给我一个简单的例子。,2,5.1,5,
路边,lùbiān,noun: roadside,路边停着一辆车。,2,3.7,5,
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,2,3.1,5,
旅游,lǚyóu,Travel,我打算去中国旅游。,2,1.4,5,
满意,mǎnyì,Satisfied,客人对服务很满意。,2,1.5,5,
面前,miànqián,in front of,他站在老师面前不敢说话,2,1.3,5,
名称,míngchēng,"name (formal, of a thing/place)",这个软件的名称是什么？,2,3.7,5,
名单,míngdān,name list,你的名字已经在名单上了。,2,2.7,5,
明星,míngxīng,celebrity / star,她梦想成为一位电影明星。,2,7.11,5,
目的,mùdì,objective,我们这次旅行的目的是放松一下。,2,1.7,5,
难过,nánguò,sad / upset,听到这个消息我很难过。,2,1.2,5,
难受,nánshòu,to feel unwell / uncomfortable,我今天有点儿难受，可能感冒了。,2,3.3,5,
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,2,1.3,5,
排球,páiqiú,volleyball,她是学校排球队的队长。,2,Unknown,5,
碰见,pèngjiàn,to run into / bump into (someone),我在超市碰见了老朋友。,2,Unknown,5,
平,píng,flat / level / equal,桌子不平，杯子总是倒。,2,Unknown,5,
瓶,píng,bottle,我买了一瓶水。,2,Unknown,5,
平安,píng'ān,sound and safe,祝你一路平安！,2,2.7,5,
平等,píngděng,equality / equal,每个人都应该受到平等对待。,2,Unknown,5,
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,2,1.8,5,
千克,qiānkè,noun: kilogram,这个西瓜有五千克重。,2,Unknown,5,
骑车,qíchē,to ride a bike,周末我们常常去公园骑车。,2,2.4,5,
起飞,qǐfēi,to take off (airplane),飞机已经起飞了。,2,7.3,5,
请客,qǐngkè,"to treat someone (to food, etc.)",他升职了，决定请客吃饭。,2,3.5,5,
青年,qīngnián,youth / young adults,现在的青年更关注社会问题。,2,2.5,5,
请求,qǐngqiú,"""asking nicely"" or ""pleading,""",我请求老板给我一天假。,2,2.1,5,
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,2,3.1,5,
晴天,qíngtiān,sunny day,今天天气很好，是个晴天。,2,4.4,5,
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,2,1.7,5,
球队,qiúduì,sports team,他是学校足球队的队员。,2,2.1,5,
秋天,qiūtiān,fall; autumn,秋天是我最喜欢的季节。,2,5.1,5,
球鞋,qiúxié,gym shoes,我新买了一双白色的球鞋。,2,Unknown,5,
气温,qìwēn,air temperature,今天的气温是二十度。,2,5.4,5,
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,2,1.3,5,
全体,quántǐ,all / entire (group of people),全体学生都参加了活动。,2,5.4,5,
取得,qǔdé,acquire; gain; obtain,她在比赛中取得了好成绩。,2,2.5,5,
人口,rénkǒu,noun: population,这个城市人口超过一千万。,2,7.18,5,
人数,rénshù,number of people,报名参加比赛的人数很多。,2,2.3,5,
热情,rèqíng,Enthusiasm,老师对我们非常热情。,2,2.1,5,
日报,rìbào,daily newspaper,他每天早上都看日报。,2,Unknown,5,
商量,shāngliang,discuss,我们一起商量一下怎么解决这个问题。,2,6.1,5,
商人,shāngrén,noun: businessperson / merchant,他是个成功的商人，在国外也有公司。,2,2.2,5,
少数,shǎoshù,small number,只有少数学生完成了额外作业。,2,Unknown,5,
生词,shēngcí,new word,请把这些生词记在本子上。,2,Unknown,5,
生活,shēnghuó,Life,他在城市里过着很简单的生活。,2,1.6,5,
声音,shēngyīn,"Sound, voice, volume",这里的环境很吵，到处都是嘈杂的声音。老师的声音虽然好听，但是声音太小了，我听不清楚。,2,1.1,5,
实际,shíjì,reality / actual,实际情况比我们想的复杂。,2,3.2,5,
实习,shíxí,Internship,我正在一家公司实习。,2,Unknown,5,
实现,shíxiàn,– to achieve / to realize,他终于实现了自己的梦想。,2,1.6,5,
使用,shǐyòng,"formal, more ""professional"" version of ""use.",请使用手机扫描二维码。,2,1.3,5,
实在,shízài,"1.Real, True, Actual
2. Honest, Sincere 
3. Really, Indeed, Truly, Actually
4. Substantial, Considerable, Significant
5.  Down-to-earth, Practical","1. 这才是实在的情况
2. 他说话很实在
3. 今天实在太热了
4. 这对我们来说是实在的帮助
5. 他是一个很实在的人，不会好高骛远。",2,2.3,5,
市长,shìzhǎng,mayor,市长今天参观了我们学校。,2,Unknown,5,
受到,shòudào,"to receive (abstract things like praise, support)",他受到了老师的表扬。,2,2.3,5,
收入,shōurù,income,他每个月的收入都很稳定。,2,6.1,5,
熟,shú,ripe/familiar,"苹果熟了
他对北京很熟",2,Unknown,5,
水平,shuǐpíng,level (of ability),他的汉语水平很高。,2,6.5,5,
顺利,shùnlì,smoothly,希望你考试顺利！,2,2.2,5,
说明,shuōmíng,to explain / instructions,请先看一下产品说明。,2,1.8,5,
数字,shùzì,number,这些数字我不太明白。,2,5.5,5,
司机,sījī,Driver,司机已经在楼下等你了。,2,2.1,5,
随时,suíshí,at any time,你可以随时联系我。,2,2.6,5,
所有,suǒyǒu,pronoun: all; every / noun: ownership; possession,所有学生都已经到了。,2,1.2,5,
态度,tàidu,attitude,他对工作的态度很认真。,2,3.11,5,
讨论,tǎolùn,discuss,我们一起讨论一下这个问题。,2,1.3,5,
特点,tèdiǎn,characteristic / feature,这家饭店的特点是菜又快又好吃,2,1.8,5,
疼,téng,hurt (milder version),我的头有点儿疼。,2,Unknown,5,
天上,tiānshàng,noun: in the sky; heaven,天上有很多星星。,2,3.6,5,
条件,tiáojiàn,condition / requirement,他符合申请奖学金的条件。,2,2.7,5,
提出,tíchū,put forward; propose; raise,他在会议上提出了一个好建议。,2,1.9,5,
提到,tídào,to mention,他从来没提到过他的家人。,2,Unknown,5,
提高,tígāo,to improve / raise,我想提高我的汉语水平。,2,2.2,5,
停车场,tíngchēchǎng,noun: parking lot; car park,商场旁边有一个很大的停车场。,2,2.4,5,
挺好,tǐnghǎo,very good,今天天气挺好的。,2,Unknown,5,
听讲,tīngjiǎng,attend a lecture,我喜欢在图书馆听讲座。,2,Unknown,5,
体育,tǐyù,Sports,我最喜欢的课程是体育。,2,3.7,5,
体育场,tǐyùchǎng,stadium,明天我们去体育场看比赛。,2,Unknown,5,
体育馆,tǐyùguǎn,gymnasium,学校的体育馆非常大。,2,Unknown,5,
通过,tōngguò,to pass / through,他顺利通过了考试,2,1.8,5,
同时,tóngshí,– at the same time / meanwhile,他是老师，同时也是作家。,2,2.6,5,
同事,tóngshì,Colleague,我的同事们都很友好。,2,6.4,5,
同样,tóngyàng,similarly (used as an adverb),他和我有同样的兴趣。,2,2.3,5,
通知,tōngzhī,to notify / notice,学校发了一个重要通知。,2,2.4,5,
外地,wàidì,noun/adjective: other places / out of town,他最近去外地出差了,2,3.2,5,
外卖,wàimài,Takeout,今天太累了，我们叫外卖吧,2,Unknown,5,
晚报,wǎnbào,evening paper,我爷爷每天都读晚报。,2,Unknown,5,
网球,wǎngqiú,Tennis,我周末常常打网球。,2,Unknown,5,
网站,wǎngzhàn,noun: website,我经常浏览这个网站。,2,2.5,5,
晚会,wǎnhuì,evening party / gala,我们学校周五有一个晚会。,2,4.8,5,
味道,wèidào,noun: taste / smell / flavor,这道菜味道很特别，有点辣但很好吃。,2,1.3,5,
温度,wēndù,temperature (in general),今天的温度是二十八度,2,5.4,5,
午睡,wǔshuì,nap / afternoon nap,我每天中午都要午睡半小时。,2,Unknown,5,
想法,xiǎngfǎ,idea; opinion;thought,你的想法很有意思。,2,1.6,5,
相机,xiàngjī,camera,我用相机拍了很多照片。,2,Unknown,5,
相同,xiāngtóng," Describes two or more things as being exactly the same, with no difference.",他们的看法不完全相同。,2,1.8,5,
笑话,xiàohua,joke (noun),他讲了一个很好笑的笑话。,2,4.2,5,
校园,xiàoyuán,campus,这个大学的校园很漂亮。,2,1.7,5,
校长,xiàozhǎng,Principal,校长在大会上发了言。,2,1.4,5,
小组,xiǎozǔ,"noun: group / team (for projects, competitions, etc.)",我们被分成三个小组，每组完成不同的任务。,2,2.4,5,
夏天,xiàtiān,summer,夏天的时候我喜欢去游泳。,2,4.2,5,
西餐,xīcān,western food,我今天中午吃了西餐。,2,Unknown,5,
习惯,xíguàn,Habit,我已经习惯早起了。,2,1.3,5,
行动,xíngdòng,"noun: action / operation
verb: to take action",说再多也没用，现在我们必须立刻行动，开始下一步计划。,2,2.4,5,
姓名,xìngmíng,noun: full name (surname + given name),请填写你的姓名和联系方式。,2,3.7,5,
行人,xíngrén,pedestrian,行人请走人行道。,2,3.7,5,
行为,xíngwéi,behavior,这种行为是不被接受的。,2,1.8,5,
信号,xìnhào,signal,这里的手机信号很差。,2,Unknown,5,
心情,xīnqíng,mood,他今天心情不好,2,1.6,5,
新闻,xīnwén,news,我每天早上看新闻。,2,1.7,5,
信息,xìnxī,information,你能告诉我更多信息吗？,2,4.3,5,
信心,xìnxīn,confidence,我对这次考试很有信心。,2,1.8,5,
信用卡,xìnyòngkǎ,Credit card,我用信用卡付了钱。,2,Unknown,5,
休假,xiūjià,have a holiday; take a vacation; be on furlough,他下周要休假去旅游。,2,6.4,5,
西医,xīyī,western medicine,他是学西医的，不是中医。,2,Unknown,5,
洗澡,xǐzǎo,verb: to bathe; to shower,运动后最好先洗澡。,2,4.4,5,
学期,xuéqī,Semester,这个学期我们有很多课程。,2,7.1,5,
样子,yàngzi,appearance / manner / pattern / model,你看他的样子，好像生病了。,2,1.4,5,
药店,yàodiàn,pharmacy,我去药店买了一些感冒药。,2,Unknown,5,
药片,yàopiàn,pill,每次吃两片药片，一天三次。,2,Unknown,5,
要求,yāoqiú,"asking firmly,"" ""insisting,"" or ""demanding.""",我要求你马上离开,2,1.8,5,
药水,yàoshuǐ,liquid medicine,医生给我开了一瓶药水。,2,Unknown,5,
也许,yěxǔ,perhaps,他也许明天才回来。,2,2.3,5,
一般,yìbān,"adjective: Ordinary / Average
adverb: Usually / Generally
comparative: The same as / As … as …",我一般七点起床，去一份一般的工作。同事们一般都很友好，还开玩笑说我跑得跟风一般快。,2,1.7,5,
一共,yígòng,in total / altogether,一共多少钱？,2,6.4,5,
意见,yìjiàn,Opinion,你对这个问题有什么意见？,2,2.3,5,
一路平安,yílùpíngān,safe journey; have a pleasant journey,祝你一路平安！,2,Unknown,5,
一路顺风,yílùshùnfēng,Bon voyag,明天你出发，祝你一路顺风！,2,8.5,5,
应该,yīnggāi,verb: should; ought to / adverb: probably,你应该早点告诉我这件事。,2,1.2,5,
影片,yǐngpiàn,film; movie,这部影片非常感人。,2,6.4,5,
