Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color
爱人,àirén,"Noun: husband or wife / spouse
In mainland China and formal contexts, it is the standard way to refer to one’s legal spouse.",她的爱人很支持她的工作,Her partner/lover really supports her work,Band2,7.15,5
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,Band2,1.4,5
半夜,bànyè,in the middle of the night,不要半夜打电话给我,Don’t call me in the middle of the night.,Band2,3.7,5
报名,bàomíng,sign up,你报名参加比赛了吗？,Did you sign up for the competition?,Band2,1.7,5
背,bēi,carry on the back,他背着一个很大的书包,He’s carrying a big backpack.,Band2,Unknown,5
遍,biàn,Times,这本书我读了三遍,I’ve read this book three times (completely).,Band2,Unknown,5
变成,biànchéng,become; change into,水变成了冰,Water turned into ice.,Band2,1.1,5
笔记本,bǐjìběn,Notebook,我买了一个新笔记本来记汉字,I bought a new notebook to write down Chinese characters.,Band2,Unknown,5
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,"I like many sports, for example, basketball and swimming.",Band2,1.4,5
必须,bǐxú,Must,你必须每天练习中文。,You must practice Chinese every day.,Band2,1.3,5
不但,búdàn,not only,他不但聪明，而且非常勤奋,"He is not only intelligent, but also very hardworking",Band2,1.4,5
部分,bùfen,Part,我只看了这本书的一部分,I only read part of this book.,Band2,1.9,5
不过,búguò,"adverb: however, but 
adverb: only, just",这里的菜很好吃，不过价格不过五块钱。,"The food here is delicious, but the price is only five dollars.",Band2,1.3,5
不满,bùmǎn,dissatisfied,"(Adjective)员工们对新的政策感到不满
(Noun)这引起了许多人的不满",He is very dissatisfied with the service,Band2,3.8,5
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,"Instead of hesitating, it’s better to just try once.",Band2,1.4,5
不太,bútài,not too; not very much,这个价格不太贵,This price is not too expensive.,Band2,Unknown,5
不同,bùtóng,different,我们有不同的看法,We have different opinions.,Band2,1.4,5
不一定,bùyīdìng,not necessarily; uncertain,贵的不一定就是最好的,Expensive doesn’t necessarily mean the best.,Band2,2.5,5
菜单,càidān,menu,菜单上有很多素菜,There are lots of vegetarian dishes on the menu.,Band2,2.1,5
参观,cānguān,visit,我们明天要去参观博物馆,We’re going to visit the museum tomorrow.,Band2,1.2,5
草地,cǎodì,lawn,孩子们在草地上玩游戏,The kids are playing on the grass.,Band2,1.2,5
层,céng,noun: layer / floor (of a building),这栋楼有二十层，我的办公室在第十层。,"This building has 20 floors, and my office is on the 10th.",Band2,Unknown,5
常见,chángjiàn,commonly seen,这是一个很常见的问题,This is a very common problem.,Band2,5.1,5
常用,chángyòng,commonly used,这些是常用的汉字,These are commonly used Chinese characters.,Band2,5.3,5
超过,chāoguò,Exceed,他的身高超过了一米八,Our income has exceeded last year’s.,Band2,Unknown,5
超市,chāoshì,Supermarket,我去超市买点儿东西,I'm going to the supermarket to buy something.,Band2,4.2,5
车辆,chēliàng,noun: vehicle,这个路口禁止一切车辆通行。,All vehicles are prohibited from passing through this intersection.,Band2,3.2,5
成绩,chéngjì,results,她的考试成绩非常好,Her exam results are excellent.,Band2,2.1,5
重复,chóngfù,repeat,别总是重复同样的错误,Don’t keep repeating the same mistakes.,Band2,2.7,5
重新,chóngxīn,adverb: again / afresh,他决定重新开始，换了工作，也搬了新家。,He decided to start over—he changed jobs and moved to a new home.,Band2,4.2,5
出口,chūkǒu,"noun: exit; export
verb: to export",这个商场的出口在左边，而他们主要把产品出口到国外。,"The mall’s exit is on the left, and they mainly export their products overseas.",Band2,6.2,5
出生,chūshēng,born,他是2000年出生的。,He was born in the year 2000.,Band2,3.6,5
出院,chūyuàn,discharged; leave hospital,他昨天刚出院,He was just discharged from the hospital yesterday.,Band2,7.16,5
出租,chūzū,rent,这套房子正在出租,This apartment is currently for rent.,Band2,2.2,5
出租车,chūzūchē,taxi,我需要叫一辆出租车,I need to call a taxi.,Band2,Unknown,5
大部分,dàbùfèn,most,大部分学生都通过了考试,Most of the students passed the exam.,Band2,Unknown,5
大多数,dàduōshù,most people; great majority of people,大多数人喜欢这个电影。,The majority of people like this movie.,Band2,Unknown,5
打工,dǎgōng,to work a part-time or casual job,很多大学生暑假去打工,Many college students work part-time during summer break.,Band2,3.5,5
大量,dàliàng,"adjective: large amount of; massive
noun: large quantity",短时间内涌入了大量游客，景区一度很拥挤。,"A large number of tourists poured in within a short time, and the scenic area became crowded for a while.",Band2,Unknown,5
当时,dāngshí,at that time,我当时不知道该怎么办,"At that time, I didn’t know what to do.",Band2,1.3,5
单位,dānwèi,"Can still refer to a person's workplace, especially in more formal or official contexts, or when the organization has some level of state affiliation.
Can also be used more generally to mean a ""unit"" within an organization or system.",我在一个政府单位工作,I work at a government organization.,Band2,4.8,5
道路,dào,"Scope: It tends to refer to main roads, highways, or a system of roads. It can also be used metaphorically to mean a path or way (e.g., a path to success).
Formality: It's more common in formal writing, official announcements, news reports, and technical contexts.",城市的道路越来越多了,There are more and more roads in the city.,Band2,5.1,5
到处,dàochù,everywhere,节日的时候，城市里到处都是人,"During holidays, the city is full of people everywhere.",Band2,1.2,5
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。","What you said makes a lot of sense.
He never listens to reason.",Band2,1.3,5
打算,dǎsuàn,Plan,我打算下个月去旅行。,I plan to travel next month.,Band2,1.5,5
大小,dàxiǎo,size,这些箱子的大小都不一样,These boxes are all different sizes.,Band2,5.1,5
大衣,dàyī,overcoat,今天太冷了，我穿了大衣,It’s too cold today—I wore a coat.,Band2,7.16,5
打印,dǎyìn,verb: to print,请把这份文件打印出来交给老师。,Please print this document and hand it to the teacher.,Band2,Unknown,5
答应,dāying,promise,你答应过我的！,You promised me!,Band2,1.5,5
大自然,dàzìrán,nature,我们应该保护大自然,We should protect nature.,Band2,2.3,5
得出,déchū,to come to (a conclusion,我们得出了一个结论,We came to a conclusion.,Band2,Unknown,5
等于,děngyú,Be equal to,二加二等于四,Two plus two equals four.,Band2,7.16,5
度,dù,"noun: degree / extent / unit
verb: to spend (time, formal)",今天的温度是三十度，他决定在家度过这个炎热的下午。,"The temperature today is 30 degrees, and he decided to spend the hot afternoon at home.",Band2,Unknown,5
段,duàn,paragraph,请读一下这段文章,Please read this paragraph,Band2,Unknown,5
短信,duǎnxìn,SMS / Text Message,我给你发了一个短信,I sent you a text message.,Band2,2.4,5
队,duì,team,他们是一支足球队,They are a soccer team.,Band2,Unknown,5
对话,duìhuà,dialogue,这是一段很有趣的对话,This is a very interesting dialogue.,Band2,1.8,5
对面,duìmiàn,Opposite side,银行就在学校对面,The bank is right across from the school.,Band2,3.6,5
队长,duìzhǎng,team leader; captain,队长负责安排训练,The captain is in charge of organizing training.,Band2,6.2,5
多数,duōshù,most; majority,多数人都同意这个计划,The majority of people agree with this plan.,Band2,2.5,5
读音,dúyīn,pronunciation,这个汉字有两个读音,This character has two pronunciations.,Band2,7.13,5
方便,fāngbiàn,convenient,你什么时候方便见面？,When is it convenient for you to meet?,Band2,1.5,5
方便面,fāngbiànmiàn,noun: instant noodles,我太饿了，先泡一碗方便面吃吧。,I'm so hungry—let me make a bowl of instant noodles first.,Band2,Unknown,5
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,We need to improve our work in every aspect.,Band2,1.8,5
饭馆,fànguǎn,restaurant,这家饭馆的菜很好吃,The food at this restaurant is really tasty.,Band2,Unknown,5
方向,fāngxiàng,direction,请问火车站的方向是哪边？,"Excuse me, which way is the train station?",Band2,1.9,5
放心,fàngxīn,Don't worry,你放心，我会帮你的,"Don’t worry, I’ll help you.",Band2,1.5,5
分数,fēnshù,score; mark; fraction,他的分数比我高。,His score is higher than mine.,Band2,7.6,5
服务,fúwù,service,这家饭店的服务很好,我们的工作是为客户服务,Band2,1.7,5
该,gāi,"auxiliary verb: should / ought to
pronoun: that / the said (formal/literary)",该文件已经过期，你该重新下载新的版本。,The said document has expired—you should download the latest version.,Band2,Unknown,5
改变,gǎibiàn,change,你不想改变一下自己吗？,Don’t you want to change yourself a bit?,Band2,1.7,5
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,I want to take this opportunity to express my thanks.,Band2,1.5,5
高级,gāojí,advanced / high-level,他上的是高级汉语课。,He’s taking an advanced Chinese class.,Band2,5.3,5
个子,gèzi,Height,你弟弟个子真高！,Your little brother is really tall!,Band2,4.2,5
公共汽车,gōnggòngqìchē,public vehicle (formal version),这条路线的公共汽车班次不多,The public bus services on this route are infrequent,Band2,Unknown,5
公交车,gōngjiāochē,public transport vehicle,在中国，很多人选择乘坐公交车出行,"In China, many people choose to travel by public bus",Band2,Unknown,5
公斤,gōngjīn,kilogram,这个西瓜有五公斤重,This watermelon weighs five kilograms.,Band2,4.3,5
公里,gōnglǐ,kilometre,学校离我家有三公里远。,The school is three kilometers away from my home.,Band2,6.3,5
公路,gōnglù,generally refers to a major road connecting cities and towns. (Not the same as expressway),我们沿着这条公路一直开。,We drove straight along this highway.,Band2,3.8,5
公路,gōnglù,noun: highway; road,那条公路非常宽。,That highway is very wide.,Band2,3.8,5
公平,gōngpíng,fair,老师对每个学生都很公平。,The teacher is fair to every student.,Band2,2.4,5
公司,gōngsī,company,他在一家外国公司工作。,He works at a foreign company.,Band2,3.8,5
观点,guāndiǎn,"viewpoint / point of view (more formal version, often used in writing, debates, essays, or academic discussions.)",我同意你的观点。,I agree with your point of view.,Band2,5.5,5
广场,guǎngchǎng,square (not the shape),孩子们在广场上玩游戏。,The children are playing games in the square.,Band2,2.1,5
广告,guǎnggào,Advertisement,电视上正在播放一则新的广告。,A new advertisement is playing on TV.,Band2,2.3,5
关机,guānjī,"to turn off (a machine/device),"" ""to shut down,"" or ""to power off.""",请把这个设备关机,Please turn off this device,Band2,Unknown,5
顾客,gùkè,customer,顾客永远是第一位的。,The customer is always the top priority.,Band2,2.3,5
国际,guójì,international,他在一家国际学校上学。,He studies at an international school.,Band2,6.1,5
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,Let the past stay in the past.,Band2,1.4,5
故意,gùyì,deliberately,他不是故意打破杯子的。,He didn’t break the cup on purpose.,Band2,1.5,5
好处,hǎochu,benefit,多运动对身体有好处。,Exercising more is beneficial for your health.,Band2,1.8,5
好事,hǎoshì,good deed; good thing,他们结婚了，真是件好事！,They got married—what a wonderful thing!,Band2,2.3,5
合适,héshì,appropriate,这件衣服对你来说很合适。,This piece of clothing suits you well.,Band2,3.7,5
湖,hú,lake,湖边的风景非常美丽。,The scenery by the lake is very beautiful.,Band2,Unknown,5
坏处,huàichù,disadvantage; harm,抽烟对身体有坏处。,Smoking is harmful to your health.,Band2,1.9,5
画家,huàjiā,painter,他是一位著名的画家。,He is a famous painter.,Band2,2.2,5
忽然,hūrán,suddenly,天气忽然变冷了。,The weather suddenly turned cold.,Band2,1.8,5
护照,hùzhào,passport,出国旅行需要护照。,You need a passport to travel abroad.,Band2,4.5,5
急,jí,urgent;,别急，我们还有时间。,"Don’t worry, we still have time.",Band2,Unknown,5
角,jiǎo,Animal horn,许多动物都有角，用来防御或在争斗中使用,"Xǔduō dòngwù dōu yǒu jiǎo, yòng lái fángyù huò zài zhēngdòu zhōng shǐyòng.",Band2,Unknown,5
角度,jiǎodù,"angle, perspective, point of view",从不同的角度看问题很重要。,It’s important to look at problems from different angles.,Band2,6.1,5
交给,jiāogěi,verb: to hand over / to give to,请把作业交给老师。,Please hand your homework to the teacher.,Band2,1.5,5
交朋友,jiāopéngyǒu,make friends,他很容易交朋友。,He makes friends easily.,Band2,Unknown,5
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,It’s quiet in the classroom; everyone is studying.,Band2,1.5,5
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,He is an experienced Chinese teacher.,Band2,1.5,5
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",The transportation in this city is very convenient. The traffic during rush hour is very congested,Band2,1.5,5
教学,jiàoxué,"teaching as a profession, a process, or a system","他的教学方法很有效
这所大学非常重视教学质量",His teaching methods are very effective. We are discussing the new teaching syllabus (or curriculum),Band2,Unknown,5
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,Band2,1.5,5
叫作,jiàozuò,"be called; be known as (used in more informal situations, names, and common terms.)",这种游戏叫作“狼人杀”。,"This kind of game is called ""Werewolf"".",Band2,Unknown,5
家长,jiāzhǎng,parent,学校邀请家长来开会。,The school invited the parents to a meeting.,Band2,1.5,5
接,jiē,"act of connecting, meeting, or taking",我去车站接朋友,I’m going to the station to pick up a friend.,Band2,Unknown,5
街,jiē,street,这条街上有很多商店。,There are many shops on this street.,Band2,Unknown,5
接到,jiēdào,successful completion of receiving something that was sent or communicated,我刚接到一个电话。,I just received a phone call.,Band2,Unknown,5
结果,jiéguǒ,Result,比赛的结果很令人满意。,The result of the match was very satisfying.,Band2,1.4,5
节目,jiémù,program,我最喜欢那个歌唱节目。,My favorite is that singing program.,Band2,1.5,5
节日,jiérì,festival,春节是中国最重要的节日。,Spring Festival is the most important holiday in China.,Band2,2.1,5
接受,jiēshòu,verb: to accept / to receive,他很快就接受了新的安排，也接受了大家的意见。,He quickly accepted the new arrangement and everyone’s suggestions.,Band2,3.9,5
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,"Next, we will discuss the marketing strategy.",Band2,1.7,5
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,"He finished eating, then went for a walk.",Band2,1.2,5
计划,jìhuà,plan,我们下周有一个旅游计划。,We have a travel plan for next week.,Band2,2.2,5
近,jìn,near,学校离我家很近,The school is very close to my home.,Band2,Unknown,5
斤,jīn,此,我要买两斤苹果。,I want to buy two jin of apples. (approx. 1 kg),Band2,Unknown,5
经过,jīngguò,后,我每天上学都会经过那家咖啡店。,I pass by that coffee shop every day on my way to school.,Band2,1.5,5
经理,jīnglǐ,manager,他是这家餐厅的经理。,He is the manager of this restaurant.,Band2,7.15,5
今后,jīnhòu,from now on; in the future,今后我要每天学习中文。,"From now on, I will study Chinese every day.",Band2,5.5,5
进入,jìnrù,verb: to enter,请刷卡进入办公楼。,Please swipe your card to enter the office building.,Band2,2.3,5
进行,jìnxíng,to carry out / to proceed,比赛正在进行中。,The competition is in progress.,Band2,1.8,5
举,jǔ,to raise / to lift,请举手回答问题。,Please raise your hand to answer the question.,Band2,Unknown,5
举行,jǔxíng,to hold (an event),学校下周将举行运动会。,The school will hold a sports day next week.,Band2,2.2,5
句子,jùzi,sentence,请用这个词造一个句子。,Please make a sentence with this word.,Band2,1.8,5
开机,kāijī,to turn on (a machine/device),请先开机，然后登录系统,"Please turn on the device first, then log in to the system.",Band2,Unknown,5
开学,kāixué,verb: school starts; beginning of school term,下个星期就要开学了。,School starts next week.,Band2,3.6,5
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,What’s your opinion on this issue?,Band2,1.5,5
靠,kào,to lean on / to rely on / to be near (very close enough),他靠在墙上. 我们靠自己的努力生活. 我们家靠着海边,He leaned against the wall. 我们靠自己的努力生活. 我们家靠着海边,Band2,Unknown,5
考生,kǎoshēng,examinee,所有的考生请提前到达考场。,"All test-takers, please arrive at the exam room early.",Band2,Unknown,5
克,kè,gram,这块蛋糕有两百克。,This piece of cake weighs 200 grams.,Band2,Unknown,5
刻,kè,Carve,他在石头上刻了名字。,He carved his name into the stone.,Band2,Unknown,5
可怕,kěpà,"This is used for things that cause literal fear or are objectively dangerous. In many cases, it’s used to describe a situation that is socially or professionally disastrous, rather than ""ghost-story"" scary.",这里的森林漆黑一片，感觉非常可怕。最可怕的是，我总觉得有人在背后盯着我。,"The forest here is pitch black and feels very scary. The most scary thing is, I constantly feel like someone is staring at me from behind.",Band2,3.7,5
空气,kōngqì,atmosphere,山上的空气很新鲜,The air in the mountains is very fresh.,Band2,5.5,5
快餐,kuàicān,fast food,我们中午吃快餐吧。,Let’s have fast food for lunch.,Band2,3.1,5
来自,láizì,Come from,他来自韩国。,He comes from South Korea.,Band2,2.3,5
老年,lǎonián,old age / elderly years,她在老年时喜欢种花。,"In her old age, she liked gardening.",Band2,3.4,5
老是,lǎoshì,always (used negatively or to express annoyance),他上课老是迟到。,He’s always late for class.,Band2,5.5,5
凉快,liángkuai,cool and pleasant (weather),今天晚上挺凉快的。,It’s quite cool this evening.,Band2,4.5,5
零下,língxià,below zero,昨天晚上气温降到零下五度。,Last night the temperature dropped to minus five degrees.,Band2,Unknown,5
例如,lìrú,"for example. This is used during formal and written scenarios, usually you will use 比如",很多水果都很健康，例如苹果和香蕉,"Many fruits are healthy, for example, apples and bananas.",Band2,2.4,5
里头,lǐtou,inside (informal version),箱子里头有什么？,What’s inside the box?,Band2,6.1,5
流,liú,flow / shed,在筋疲力尽的战斗后，他脸上既流着痛苦的眼泪，身上又流着受伤的血，汗水也止不住地往下流。,"After an exhausting battle, painful tears flowed down his face, blood flowed from his wounds on his body, and sweat poured down uncontrollably.",Band2,Unknown,5
流利,liúlì,fluent,他说汉语说得很流利,He speaks Chinese very fluently.,Band2,3.4,5
流行,liúxíng,popular / fashionable,这首歌现在很流行。,This song is very popular right now.,Band2,5.2,5
留学生,liúxuéshēng,international student,她是一名来自法国的留学生。,She’s an international student from France.,Band2,Unknown,5
理想,lǐxiǎng,ideal / dream,我的理想是当医生。,My dream is to become a doctor.,Band2,2.4,5
例子,lìzi,example,请给我一个简单的例子。,Please give me a simple example.,Band2,5.1,5
路边,lùbiān,noun: roadside,路边停着一辆车。,A car is parked by the roadside.,Band2,3.7,5
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,Many travelers are waiting at the airport.,Band2,3.1,5
旅游,lǚyóu,Travel,我打算去中国旅游。,I plan to travel to China,Band2,1.4,5
满意,mǎnyì,Satisfied,客人对服务很满意。,The customer is very satisfied with the service.,Band2,1.5,5
面前,miànqián,in front of,他站在老师面前不敢说话,He stood in front of the teacher and didn’t dare to speak.,Band2,1.3,5
名称,míngchēng,"name (formal, of a thing/place)",这个软件的名称是什么？,What’s the name of this software?,Band2,3.7,5
名单,míngdān,name list,你的名字已经在名单上了。,Your name is already on the list.,Band2,2.7,5
明星,míngxīng,celebrity / star,她梦想成为一位电影明星。,She dreams of becoming a movie star.,Band2,7.11,5
目的,mùdì,objective,我们这次旅行的目的是放松一下。,The purpose of this trip is to relax.,Band2,1.7,5
难过,nánguò,sad / upset,听到这个消息我很难过。,I was very sad to hear the news.,Band2,1.2,5
难受,nánshòu,to feel unwell / uncomfortable,我今天有点儿难受，可能感冒了。,"I feel a little unwell today, maybe I caught a cold.",Band2,3.3,5
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,My little brother is in Grade 3 and just started learning to write essays.,Band2,1.3,5
排球,páiqiú,volleyball,她是学校排球队的队长。,She’s the captain of the school volleyball team.,Band2,Unknown,5
碰见,pèngjiàn,to run into / bump into (someone),我在超市碰见了老朋友。,I ran into an old friend at the supermarket.,Band2,Unknown,5
平,píng,flat / level / equal,桌子不平，杯子总是倒。,"The table isn’t level, the cup keeps falling over.",Band2,Unknown,5
瓶,píng,bottle,我买了一瓶水。,I bought a bottle of water.,Band2,Unknown,5
平安,píng'ān,sound and safe,祝你一路平安！,Wish you a safe journey!,Band2,2.7,5
平等,píngděng,equality / equal,每个人都应该受到平等对待。,Everyone should be treated equally.,Band2,Unknown,5
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,"He’s usually quiet, but he’s very excited today.",Band2,1.8,5
千克,qiānkè,noun: kilogram,这个西瓜有五千克重。,This watermelon weighs 5 kilograms.,Band2,Unknown,5
骑车,qíchē,to ride a bike,周末我们常常去公园骑车。,We often go biking in the park on weekends.,Band2,2.4,5
起飞,qǐfēi,to take off (airplane),飞机已经起飞了。,The plane has already taken off.,Band2,7.3,5
请客,qǐngkè,"to treat someone (to food, etc.)",他升职了，决定请客吃饭。,He got promoted and decided to treat everyone to a meal.,Band2,3.5,5
青年,qīngnián,youth / young adults,现在的青年更关注社会问题。,Today’s youth are more concerned about social issues.,Band2,2.5,5
请求,qǐngqiú,"""asking nicely"" or ""pleading,""",我请求老板给我一天假。,I requested a day off from my boss.,Band2,2.1,5
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,This book is suitable for teenagers.,Band2,3.1,5
晴天,qíngtiān,sunny day,今天天气很好，是个晴天。,The weather is great today—it's a sunny day.,Band2,4.4,5
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,We’ll play basketball on the court this afternoon.,Band2,1.7,5
球队,qiúduì,sports team,他是学校足球队的队员。,He’s a member of the school football team.,Band2,2.1,5
秋天,qiūtiān,fall; autumn,秋天是我最喜欢的季节。,Autumn is my favorite season.,Band2,5.1,5
球鞋,qiúxié,gym shoes,我新买了一双白色的球鞋。,I bought a new pair of white sneakers.,Band2,Unknown,5
气温,qìwēn,air temperature,今天的气温是二十度。,Today’s temperature is 20 degrees Celsius.,Band2,5.4,5
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,"I have many hobbies, one of which is drawing.",Band2,1.3,5
全体,quántǐ,all / entire (group of people),全体学生都参加了活动。,All the students participated in the activity.,Band2,5.4,5
取得,qǔdé,acquire; gain; obtain,她在比赛中取得了好成绩。,She achieved good results in the competition.,Band2,2.5,5
人口,rénkǒu,noun: population,这个城市人口超过一千万。,The population of this city exceeds 10 million.,Band2,7.18,5
人数,rénshù,number of people,报名参加比赛的人数很多。,A lot of people signed up for the competition.,Band2,2.3,5
热情,rèqíng,Enthusiasm,老师对我们非常热情。,The teacher is very warm and welcoming to us.,Band2,2.1,5
日报,rìbào,daily newspaper,他每天早上都看日报。,He reads the daily newspaper every morning.,Band2,Unknown,5
商量,shāngliang,discuss,我们一起商量一下怎么解决这个问题。,Let’s discuss how to solve this problem.,Band2,6.1,5
商人,shāngrén,noun: businessperson / merchant,他是个成功的商人，在国外也有公司。,He’s a successful businessman with companies overseas.,Band2,2.2,5
少数,shǎoshù,small number,只有少数学生完成了额外作业。,Only a few students finished the extra homework.,Band2,Unknown,5
生词,shēngcí,new word,请把这些生词记在本子上。,Please write down these new words in your notebook.,Band2,Unknown,5
生活,shēnghuó,Life,他在城市里过着很简单的生活。,He lives a simple life in the city.,Band2,1.6,5
